COMPANY NAME,OBSC PERFECTION LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,665.55,,,,,,,,,
Market Capitalization,1720.15,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,55.55,95.12,114.54,142.31,219.54
Raw Material Cost,,,,,,36.6,65.43,67.3,77.67,167.49
Change in Inventory,,,,,,2.52,1.54,4.11,6.2,10.93
Power and Fuel,,,,,,1.1,2.31,3.65,4.87,
Other Mfr. Exp,,,,,,10.2,13.59,18.55,29.6,
Employee Cost,,,,,,1.54,2.75,4.28,5.71,9.68
Selling and admin,,,,,,2.47,3.88,4.4,5.39,
Other Expenses,,,,,,-0.92,-1.04,-0.3,-0.12,13.63
Other Income,,,,,,0.19,0.55,1.08,2.41,3.97
Depreciation,,,,,,1.46,2.14,2.73,4.05,7.38
Interest,,,,,,1.49,1.84,2.69,3.12,4.49
Profit before tax,,,,,,4.32,6.31,16.43,20.63,31.77
Tax,,,,,,0.72,1.73,4.22,3.87,4.77
Net profit,,,,,,3.6,4.57,12.21,16.76,27.01
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,34.83,40.32,46.79,59.38,71.52
Expenses,,,,,,27.84,33.97,38.3,47.9,59.3
Other Income,,,,,,0.12,1.52,0.88,1.28,1.0
Depreciation,,,,,,1.08,1.29,1.75,2.49,1.68
Interest,,,,,,1.1,0.65,0.89,1.58,1.33
Profit before tax,,,,,,4.93,5.93,6.73,8.69,10.21
Tax,,,,,,0.53,0.85,1.25,0.84,1.56
Net profit,,,,,,4.4,5.09,5.48,7.85,8.66
Operating Profit,,,,,,6.99,6.35,8.49,11.48,12.22
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,11.9,11.9,17.85,24.45,25.85
Reserves,,,,,,1.38,5.96,12.22,79.54,146.12
Borrowings,,,,,,18.98,33.41,41.48,26.98,68.54
Other Liabilities,,,,,,16.21,17.89,14.95,27.58,55.19
Total,,,,,,48.47,69.16,86.5,158.55,295.7
Net Block,,,,,,22.11,30.3,40.83,69.9,112.2
Capital Work in Progress,,,,,,1.68,4.9,2.18,2.33,5.67
Investments,,,,,,,,,,
Other Assets,,,,,,24.68,33.96,43.49,86.32,177.83
Total,,,,,,48.47,69.16,86.5,158.55,295.7
Receivables,,,,,,15.58,19.97,21.53,34.93,66.08
Inventory,,,,,,6.77,8.62,14.91,26.69,47.18
Cash & Bank,,,,,,0.39,0.61,0.58,16.6,16.66
No. of Equity Shares,,,,,,11900000.0,11900000.0,17900000.0,24452400.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,6.39,1.45,5.0,8.85,-1.95
Cash from Investing Activity,,,,,,-5.97,-13.83,-10.4,-32.37,-76.03
Cash from Financing Activity,,,,,,-1.02,12.59,5.38,39.54,78.04
Net Cash Flow,,,,,,-0.6,0.21,-0.02,16.02,0.06
PRICE:,,,,,,,,,151.35,280.6
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,1.19,1.19,1.78,2.45,2.58
