COMPANY NAME,GRANULES INDIA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,848.3,,,,,,,,,
Market Capitalization,21020.61,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1410.56,1684.62,2279.2,2598.65,3237.54,3764.92,4511.92,4506.37,4481.61,5365.64
Raw Material Cost,679.96,902.9,1338.97,1314.92,1590.28,2036.42,2352.65,2208.22,1724.94,2099.78
Change in Inventory,0.33,6.58,83.41,33.99,199.0,152.78,45.37,186.97,-0.76,224.08
Power and Fuel,38.67,48.22,57.68,59.74,68.85,74.66,95.69,100.64,100.74,128.87
Other Mfr. Exp,62.92,70.92,86.83,102.44,133.26,159.34,161.07,214.0,238.28,321.45
Employee Cost,161.62,189.33,240.04,301.14,410.63,403.11,474.79,600.18,661.81,891.18
Selling and admin,153.27,191.92,232.36,271.2,340.88,484.58,526.39,646.69,766.52,903.56
Other Expenses,15.61,9.43,22.33,57.64,37.02,32.58,31.51,65.31,40.84,56.68
Other Income,34.65,26.77,75.06,89.54,26.49,12.83,12.41,2.08,41.19,7.27
Depreciation,71.51,76.2,105.48,136.95,151.46,158.63,184.49,207.33,225.5,296.14
Interest,32.26,33.06,28.46,27.02,26.28,23.21,55.93,105.82,103.24,114.35
Profit before tax,229.72,195.99,325.52,451.13,704.37,558.0,687.18,547.23,660.17,784.98
Tax,65.2,63.4,89.11,115.73,154.9,145.25,170.58,141.92,158.65,189.96
Net profit,164.52,132.59,236.41,335.4,549.46,412.76,516.6,405.31,501.52,595.02
Dividend Amount,20.58,25.38,25.42,25.42,37.16,37.2,36.3,36.36,36.38,43.36
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,1175.78,1179.86,966.62,1137.7,1197.43,1210.1,1296.98,1387.94,1470.61,1476.77
Expenses,920.07,920.59,763.3,907.41,945.07,963.39,1018.75,1079.85,1118.51,1137.87
Other Income,1.87,2.06,3.26,5.68,32.67,-9.56,-1.15,-3.64,24.69,2.27
Depreciation,53.18,52.87,52.52,56.61,63.5,68.85,72.02,73.53,81.75,79.65
Interest,28.76,27.02,25.67,26.57,23.98,23.78,29.19,28.69,32.69,21.12
Profit before tax,175.64,181.44,128.39,152.79,197.55,144.52,175.87,202.23,262.35,240.4
Tax,46.0,46.79,31.15,35.19,45.52,31.88,45.26,52.03,60.79,60.44
Net profit,129.65,134.65,97.23,117.6,152.03,112.64,130.61,150.21,201.57,179.96
Operating Profit,255.71,259.27,203.32,230.29,252.36,246.71,278.23,308.09,352.1,338.9
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,22.87,25.38,25.42,25.42,24.77,24.8,24.2,24.24,24.25,24.78
Reserves,880.73,1278.79,1504.05,1818.3,2148.51,2561.74,2810.71,3201.31,3691.32,5060.22
Borrowings,656.5,978.44,991.18,892.11,849.21,1106.31,1136.24,1315.06,1454.75,1512.04
Other Liabilities,318.62,387.67,457.94,487.28,690.19,818.68,931.99,957.28,1050.89,1085.87
Total,1878.72,2670.28,2978.59,3223.11,3712.68,4511.53,4903.14,5497.89,6221.21,7682.91
Net Block,644.34,776.73,944.25,1203.97,1332.0,1541.17,1910.92,2095.62,2426.47,3250.12
Capital Work in Progress,267.43,514.52,495.95,294.2,239.08,356.23,239.39,271.7,440.19,409.54
Investments,108.23,156.56,210.42,19.34,18.99,19.67,21.21,21.52,22.04,0.84
Other Assets,858.72,1222.47,1327.97,1705.6,2122.61,2594.46,2731.62,3109.05,3332.51,4022.41
Total,1878.72,2670.28,2978.59,3223.11,3712.68,4511.53,4903.14,5497.89,6221.21,7682.91
Receivables,417.7,628.25,673.54,662.04,765.42,924.95,948.54,985.83,942.22,909.37
Inventory,269.18,279.95,384.21,438.43,782.18,978.55,1149.41,1300.55,1342.82,1673.03
Cash & Bank,49.8,115.64,89.04,283.94,271.04,409.46,312.79,386.39,596.38,949.06
No. of Equity Shares,228702770.0,253837562.0,254247562.0,254247562.0,247674796.0,248005776.0,242042756.0,242368716.0,242543716.0,247796921.0
New Bonus Shares,,,,,,,,,,
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,188.24,-0.65,262.24,476.19,432.48,332.06,738.75,439.41,866.57,793.25
Cash from Investing Activity,-326.09,-462.31,-269.82,-160.43,-277.26,-379.17,-191.62,-357.54,-689.05,-758.41
Cash from Financing Activity,55.87,528.62,-17.43,-212.86,-299.31,190.0,-440.29,7.66,-92.51,379.29
Net Cash Flow,-81.98,65.66,-25.01,102.9,-144.09,142.88,106.84,89.54,85.01,414.12
PRICE:,138.85,103.25,114.45,143.65,303.45,306.5,290.7,430.15,486.35,620.4
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,22.87,25.38,25.42,25.42,24.77,24.8,24.2,24.24,24.25,24.78
