COMPANY NAME,TD POWER SYSTEMS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,1586.6,,,,,,,,,
Market Capitalization,24787.2,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,379.93,434.88,459.02,514.89,593.58,797.42,872.3,1000.52,1278.76,1856.23
Raw Material Cost,255.35,318.73,341.06,388.45,435.83,561.41,558.38,686.39,900.06,1301.32
Change in Inventory,-2.28,8.54,21.47,29.08,39.94,-8.47,-31.99,31.2,69.21,60.31
Power and Fuel,4.96,6.35,6.66,7.19,7.12,8.29,8.49,10.54,11.23,13.71
Other Mfr. Exp,6.08,6.11,5.42,6.71,6.74,8.43,12.14,15.21,16.7,22.57
Employee Cost,63.55,69.47,66.22,72.8,79.59,80.77,90.89,107.79,123.75,165.57
Selling and admin,30.14,31.32,30.44,31.01,29.47,32.43,35.16,39.04,56.52,71.68
Other Expenses,6.81,0.97,0.43,0.21,3.95,0.72,1.61,1.71,4.24,6.22
Other Income,19.97,15.88,8.96,27.24,16.5,24.29,21.1,16.18,23.59,21.24
Depreciation,27.86,27.11,25.99,22.23,21.5,22.04,20.7,21.09,19.7,22.99
Interest,6.45,8.76,5.74,9.84,9.34,7.08,4.49,3.93,7.71,7.6
Profit before tax,-3.58,-9.52,7.49,32.77,56.48,92.07,129.55,162.2,231.65,326.12
Tax,0.85,4.9,4.29,2.83,11.28,21.58,32.74,43.85,57.08,87.34
Net profit,-4.43,-14.42,3.2,29.94,45.2,70.5,96.81,118.35,174.58,238.77
Dividend Amount,5.98,5.98,6.2,6.96,7.73,10.88,15.6,17.18,18.74,25.62
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,263.89,273.78,306.44,350.33,348.21,371.9,452.47,442.68,589.19,640.05
Expenses,222.06,225.37,250.83,289.06,282.74,303.07,369.85,362.26,491.33,518.42
Other Income,4.54,3.12,6.15,3.64,10.74,3.97,5.09,4.15,8.08,2.62
Depreciation,5.39,4.57,4.77,5.0,5.37,4.99,5.2,5.84,6.95,7.16
Interest,0.2,1.18,1.02,0.36,0.5,0.42,0.68,0.52,0.28,0.19
Profit before tax,40.78,45.78,55.97,59.55,70.34,67.39,81.83,78.21,98.71,116.9
Tax,11.76,10.44,14.7,14.61,17.32,17.32,21.63,21.88,26.51,30.6
Net profit,29.03,35.35,41.27,44.93,53.02,50.07,60.19,56.32,72.19,86.29
Operating Profit,41.83,48.41,55.61,61.27,65.47,68.83,82.62,80.42,97.86,121.63
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,33.24,33.24,31.01,30.93,30.93,31.1,31.21,31.23,31.24,31.24
Reserves,437.3,416.17,384.52,394.07,439.75,496.06,573.31,673.9,829.07,1040.52
Borrowings,45.34,68.6,61.39,67.67,52.0,70.97,,0.01,12.22,18.11
Other Liabilities,233.31,190.45,271.21,264.75,262.2,308.56,298.69,332.67,491.26,786.72
Total,749.19,708.46,748.13,757.42,784.88,906.69,903.21,1037.81,1363.79,1876.59
Net Block,233.35,213.27,197.82,180.05,173.94,166.35,163.3,185.73,207.28,293.7
Capital Work in Progress,0.69,0.63,1.49,0.65,0.57,0.63,0.24,0.56,16.59,17.32
Investments,0.01,0.01,9.96,19.94,19.94,19.94,19.94,9.98,0.01,0.01
Other Assets,515.14,494.55,538.86,556.78,590.43,719.77,719.73,841.54,1139.91,1565.56
Total,749.19,708.46,748.13,757.42,784.88,906.69,903.21,1037.81,1363.79,1876.59
Receivables,160.54,185.11,228.68,172.82,161.89,241.09,269.08,307.48,437.34,742.09
Inventory,79.98,81.66,112.64,144.41,188.78,209.15,198.56,249.77,376.58,503.06
Cash & Bank,108.38,95.18,127.97,158.2,164.3,161.34,169.27,211.36,198.95,198.59
No. of Equity Shares,33237588.0,33237588.0,31009223.0,30933414.0,30933414.0,31103498.0,156042635.0,156170101.0,156183612.0,156214831.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,-19.78,-2.66,48.19,55.67,-2.86,10.91,88.56,84.0,39.52,129.07
Cash from Investing Activity,8.97,2.67,-13.11,-0.02,-11.3,-13.84,-12.75,-34.24,-33.97,-105.13
Cash from Financing Activity,1.36,6.67,-44.83,-16.65,-19.72,10.88,-89.12,-15.69,-6.75,-20.56
Net Cash Flow,-9.46,6.69,-9.75,39.0,-33.87,7.94,-13.31,34.07,-1.19,3.38
PRICE:,46.18,37.99,24.0,16.97,29.64,68.93,158.8,296.7,410.5,851.35
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,16.62,16.62,15.67,15.47,15.47,15.55,15.6,15.62,15.62,15.62
