COMPANY NAME,ADITYA INFOTECH LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,3662.4,,,,,,,,,
Market Capitalization,43161.56,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,1238.18,1148.98,1646.21,2284.55,2782.43,3111.87,4220.81
Raw Material Cost,,,,807.32,839.45,1587.06,2108.38,2269.86,2758.2,2723.79
Change in Inventory,,,,-116.21,-119.64,232.41,209.33,-2.08,64.54,-283.12
Power and Fuel,,,,1.22,0.8,0.83,0.94,1.1,5.43,
Other Mfr. Exp,,,,1.06,8.15,1.97,2.55,3.58,-247.33,
Employee Cost,,,,76.04,63.83,84.5,103.32,133.93,203.58,342.92
Selling and admin,,,,148.18,35.2,38.63,109.22,139.56,192.88,
Other Expenses,,,,31.25,25.86,32.59,8.75,9.38,16.01,304.85
Other Income,,,,5.12,11.57,24.24,14.53,-11.7,259.38,12.84
Depreciation,,,,4.97,5.76,7.55,8.85,15.71,31.12,56.02
Interest,,,,36.54,26.49,20.38,23.22,30.91,41.81,30.2
Profit before tax,,,,20.51,35.37,129.35,143.18,164.62,434.09,492.75
Tax,,,,3.15,10.08,32.42,34.87,49.45,82.72,124.78
Net profit,,,,17.43,29.33,96.93,108.31,115.17,351.37,367.96
Dividend Amount,,,,,1.0,1.0,,,,19.32
Quarters,,,,,,,,,,
Report Date,,,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,,,636.02,668.91,829.5,977.44,740.04,919.64,1139.11,1422.03
Expenses,,,595.31,629.52,760.29,879.41,679.11,811.12,999.18,1165.28
Other Income,,,3.31,252.35,3.6,0.42,4.01,2.56,4.69,1.59
Depreciation,,,4.47,5.51,9.19,11.96,10.36,10.63,12.3,22.73
Interest,,,9.12,9.7,10.58,12.41,10.52,6.92,5.08,7.69
Profit before tax,,,30.43,276.53,53.04,74.08,44.06,93.53,127.24,227.92
Tax,,,7.93,42.83,12.85,19.11,11.18,23.56,31.25,58.8
Net profit,,,22.51,233.71,40.19,54.96,32.88,69.98,95.98,169.13
Operating Profit,,,40.71,39.39,69.21,98.03,60.93,108.52,139.93,256.75
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,2.5,2.5,2.5,2.05,2.05,10.98,11.78
Reserves,,,,161.53,189.21,284.48,309.54,422.16,1006.69,1865.08
Borrowings,,,,268.61,146.9,189.93,426.87,436.27,457.31,180.26
Other Liabilities,,,,342.02,364.38,737.58,970.3,783.7,1699.56,1933.88
Total,,,,774.66,702.99,1214.49,1708.76,1644.18,3174.54,3991.0
Net Block,,,,65.97,55.76,54.55,64.82,70.31,739.66,825.8
Capital Work in Progress,,,,,,4.17,6.56,15.5,30.16,71.01
Investments,,,,0.47,17.18,29.5,29.96,0.61,0.52,0.73
Other Assets,,,,708.22,630.05,1126.27,1607.42,1557.76,2404.2,3093.46
Total,,,,774.66,702.99,1214.49,1708.76,1644.18,3174.54,3991.0
Receivables,,,,330.9,379.3,524.93,614.96,734.27,1039.26,1404.36
Inventory,,,,251.39,70.34,302.68,511.05,509.21,870.53,1103.73
Cash & Bank,,,,36.89,151.72,200.8,371.47,70.64,181.87,199.59
No. of Equity Shares,,,,2500000.0,2500000.0,2500000.0,2050000.0,2050000.0,109810000.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,10.0,10.0,10.0,10.0,10.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,79.85,262.21,43.54,55.76,-180.41,27.21,13.48
Cash from Investing Activity,,,,-24.21,3.42,-88.66,-121.9,116.49,88.21,-140.57
Cash from Financing Activity,,,,-99.77,-143.63,19.81,109.13,-44.26,-18.95,156.43
Net Cash Flow,,,,-44.13,122.0,-25.31,43.0,-108.18,96.46,29.34
PRICE:,,,,,,,,,,1798.3
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,0.25,0.25,0.25,0.2,0.2,10.98,11.78
