COMPANY NAME,NURECA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,0.9541963015647226,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,351.5,,,,,,,,,
Market Capitalization,335.4,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,0.02,0.59,0.73,99.43,213.33,255.54,111.9,94.52,114.64,147.21
Raw Material Cost,0.02,0.6,1.23,67.49,119.9,159.53,47.08,63.19,86.49,111.62
Change in Inventory,,0.13,0.71,2.88,20.53,26.92,-30.72,-4.16,6.8,9.6
Power and Fuel,,,,0.04,0.01,0.16,0.19,0.12,0.14,0.18
Other Mfr. Exp,,,,1.68,1.58,1.65,1.31,0.96,0.79,0.61
Employee Cost,,,,3.16,4.58,9.83,15.51,11.57,14.36,15.43
Selling and admin,,0.1,0.17,19.66,56.22,65.85,35.06,31.19,26.75,21.52
Other Expenses,,,0.01,0.57,-10.11,-10.33,-2.83,-5.54,2.64,10.02
Other Income,,,,0.06,2.82,7.72,6.91,10.56,12.54,8.28
Depreciation,,,,0.37,0.41,1.43,2.3,2.24,2.15,1.85
Interest,,,,0.77,1.6,0.73,0.43,0.46,1.12,1.03
Profit before tax,,0.02,0.03,8.63,62.49,61.33,-10.96,-3.27,-0.46,2.83
Tax,,0.01,0.01,2.22,15.96,16.02,-2.54,-0.83,0.21,2.54
Net profit,,0.02,0.02,6.41,46.53,45.31,-8.42,-2.44,-0.67,0.3
Dividend Amount,,,,,2,3,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,19.56,23.31,32.37,27.21,31.75,34.32,37.84,39.64,35.41,40.4
Expenses,24.32,26.23,35.03,31.95,31.19,35.4,35.22,37.25,41.95,37.95
Other Income,-1.25,5.82,3.21,1.52,2,2.59,2.38,2.29,1.06,1.92
Depreciation,0.56,0.61,0.57,0.49,0.48,0.48,0.48,0.46,0.43,0.57
Interest,0.17,0.13,0.25,0.14,0.59,0.2,0.41,0.18,0.24,0.18
Profit before tax,-6.74,2.16,-0.27,-3.85,1.49,0.83,4.11,4.04,-6.15,3.62
Tax,-2.33,0.97,0.38,-0.56,-0.58,0.28,0.97,0.82,0.48,1.19
Net profit,-4.41,1.2,-0.65,-3.29,2.07,0.55,3.14,3.23,-6.63,2.43
Operating Profit,-4.76,-2.92,-2.66,-4.74,0.56,-1.08,2.62,2.39,-6.54,2.45
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,0.01,0.01,0.01,0.01,10,10,10,10,10,9.54
Reserves,,0.02,0.04,14.96,153.29,193.74,185.26,182.86,182.48,167.62
Borrowings,,,,9.7,3.81,4.33,3.25,2.43,4.11,2.21
Other Liabilities,0.07,0.31,1.23,9.19,18.79,11.47,8.18,9.05,9.58,14.17
Total,0.08,0.34,1.28,33.86,185.89,219.54,206.69,204.34,206.17,193.54
Net Block,,,0.06,1.06,3.37,9.78,8.08,6.33,7.8,12.29
Capital Work in Progress,,,,,0.3,0.42,,,,
Investments,,,,0.05,0.82,34.49,62.14,96.69,4.1,4.06
Other Assets,0.08,0.34,1.22,32.75,181.4,174.85,136.47,101.32,194.27,177.19
Total,0.08,0.34,1.28,33.86,185.89,219.54,206.69,204.34,206.17,193.54
Receivables,0.02,0.14,0.13,12.9,0.23,2.87,4.27,1.81,4.53,9.78
Inventory,,0.13,0.84,16.43,36.78,63.17,32.83,28.76,35.55,45.41
Cash & Bank,,0.04,0.08,0.04,126.45,84.19,70.86,45.2,127.34,41.35
No. of Equity Shares,10000,10000,10000,10000,10000175,10000175,10000175,10000175,10000175,9541920
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,-0.01,,,-7.85,35.1,1.83,12.05,-3,-18.82,0.32
Cash from Investing Activity,,,,-0.39,-110.48,-3.37,-18.3,17.84,8.83,16.5
Cash from Financing Activity,0.01,,,8.2,92.34,-7.3,-1.51,-1.28,-0.79,-18.61
Net Cash Flow,,,,-0.05,16.96,-8.84,-7.76,13.56,-10.77,-1.79
PRICE:,,,,,601.05,1368.15,299.55,255.3,211.48,206.75
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.001,0.001,0.001,0.001,1,1,1,1,1,0.95
