NURECA LTD,,,,,,,,,SCREENER.IN,
Narration,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,19.56,23.31,32.37,27.21,31.75,34.32,37.84,39.64,35.41,40.4
Expenses,24.32,26.23,35.03,31.95,31.19,35.4,35.22,37.25,41.95,37.95
Operating Profit,-4.76,-2.92,-2.66,-4.74,0.56,-1.08,2.62,2.39,-6.54,2.45
Other Income,-1.25,5.82,3.21,1.52,2,2.59,2.38,2.29,1.06,1.92
Depreciation,0.56,0.61,0.57,0.49,0.48,0.48,0.48,0.46,0.43,0.57
Interest,0.17,0.13,0.25,0.14,0.59,0.2,0.41,0.18,0.24,0.18
Profit before tax,-6.74,2.16,-0.27,-3.85,1.49,0.83,4.11,4.04,-6.15,3.62
Tax,-2.33,0.97,0.38,-0.56,-0.58,0.28,0.97,0.82,0.48,1.19
Net profit,-4.41,1.2,-0.65,-3.29,2.07,0.55,3.14,3.23,-6.63,2.43
OPM,-0.24335378323108384,-0.12526812526812528,-0.08217485325919062,-0.17420066152149946,0.01763779527559055,-0.03146853146853147,0.06923890063424946,0.06029263370332997,-0.18469358938153066,0.06064356435643565
