ENTERO HEALTHCARE SOLUTIONS LTD,,,,,,,,,SCREENER.IN,
Narration,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,1034.18,1097.04,1300.69,1359,1339.06,1403.82,1570.95,1706.52,1909.93,1940.5
Expenses,1005.31,1066.87,1258.24,1308.99,1290.14,1353.76,1508.88,1638.74,1823.89,1843.51
Operating Profit,28.87,30.17,42.45,50.01,48.92,50.06,62.07,67.78,86.04,96.99
Other Income,9.15,13.44,11.28,7.5,7.29,5.83,4.79,-3.57,4.01,3.01
Depreciation,7.14,6.61,7.49,8.1,8.49,8.87,9.83,9.8,14.79,12.31
Interest,17.32,9.7,11.46,9.97,10.49,10.66,12.4,14.01,17.31,20.57
Profit before tax,13.56,27.3,34.78,39.44,37.23,36.36,44.63,40.4,57.95,67.12
Tax,-7.61,6.77,8.74,9.99,5.81,6.13,8.02,6.52,12.82,15.06
Net profit,20.97,20.08,23.62,25.44,25.69,27.8,31.6,27.63,28.01,38.16
OPM,0.027915836701541318,0.027501276161306792,0.032636523691271555,0.036799116997792494,0.036533090376831515,0.03565984242994116,0.039511123842261055,0.03971825703771418,0.04504877142094213,0.04998196341149188
