INDEGENE LTD,,,,,,,,,,,,SCREENER.IN,
Narration,00:00:00,00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00,Trailing,Best Case,Worst Case
Sales,0,0,553.28,642.93,966.27,1664.61,2306.1,2589.6,2839.3,3510.5,3812.8,4340.369193110978,4083.757345181646
Expenses,0,0,511.26,499.27000000000004,735.9400000000002,1377.69,1910,2084.2,2291.5,2891.5,3174.9,3528.461753604951,3400.524862362885
Operating Profit,0,0,42.01999999999998,143.6599999999999,230.3299999999998,286.91999999999985,396.0999999999999,505.4000000000001,547.8000000000002,619,637.9000000000001,811.9074395060271,683.2324828187611
Other Income,0,0,6.55,-101.79,-2.63,-21.01,58,78.7,93.7,51.7,58.599999999999994,0,0
Depreciation,0,0,16.6,19.34,25.55,33.45,59.8,76.1,80.2,126.4,148.9,148.9,148.9
Interest,0,0,6.25,8.84,6.96,5.96,31.3,49.4,22,19.3,22,22,22
Profit before tax,0,0,25.72,13.69,195.19,226.5,363,458.6,539.3,525,525.5999999999999,641.0074395060271,512.3324828187612
Tax,0,0,11.62,26.12,45.78,63.68,96.9,121.9,132.6,123.9,124.69999999999999,0.23725266362252664,0.23725266362252664
Net profit,0,0,14.09,-6.3,149.41,164.76,266.1,336.7,406.7,401.1,400.9,488.9267170813666,390.78023660966767
EPS,0,0,88.0625,-39.375,933.8125,915.3333333333334,11.997294860234447,15.139388489208633,16.945833333333333,16.650062266500623,16.640053479252764,20.293755848514405,16.22001505567453
Price to earning,,,,,,,,,34.138185394639784,26.102004487658938,36.59543527064106,36.59543527064106,32.2785417176466
Price,0,0,0,0,0,0,0,0,578.5,434.6,608.95,742.6588285525023,523.5584326354463
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0,0,0,0,0,0,0,0,0.1177772313744775,0.13490401396160556,,,
OPM,0,0,0.07594707923655289,0.22344578725522207,0.2383702277831246,0.17236469803737806,0.17176184900914962,0.19516527649057774,0.19293487831507772,0.17632815838199686,0.16730486781368026,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,0.3020630085516969,0.2943570581075847,0.15035075146392307,0.23639629486140942,0.23639629486140942,0.15035075146392307
,,,,,,OPM,0.18385891210468802,0.1879710537208724,0.18243221785097108,0.187059534196926,0.16730486781368026,0.187059534196926,0.16730486781368026
,,,,,,Price to Earning,32.2785417176466,32.2785417176466,32.2785417176466,32.2785417176466,36.59543527064106,36.59543527064106,32.2785417176466
