POLY MEDICURE LTD,,,,,,,,,SCREENER.IN,
Narration,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,44.11,44.11,44.12,44.12,47.94,47.95,47.97,47.99,50.66,50.68
Reserves,227.43,294.18,337.25,390.7,917.63,1039.53,1193.65,1422.07,2714.99,3055.49
Borrowings,100.74,132.86,160.72,206.62,137.43,126.71,149.02,173.91,180.25,353.57
Other Liabilities,84.67,93.67,111.86,125.89,120.73,162.64,186.57,214.68,246.23,400.86
Total,456.95,564.82,653.95,767.33,1223.73,1376.83,1577.21,1858.65,3192.13,3860.6
Net Block,206.71,265.28,306.26,362.95,425.74,488.1,635.26,867.39,1084.32,1693.99
Capital Work in Progress,20,18.25,19.42,24.71,21.21,43.4,78.16,75.71,101.07,98.72
Investments,3.28,17.41,7.54,25.39,354.42,346.37,126.23,167.11,1076.3,754.94
Other Assets,226.96,263.88,320.73,354.28,422.36,498.96,737.56,748.44,930.44,1312.95
Total,456.95,564.82,653.95,767.33,1223.73,1376.83,1577.21,1858.65,3192.13,3860.6
Working Capital,142.29000000000002,170.20999999999998,208.87,228.39,301.63,336.32,550.99,533.76,684.21,912.09
Debtors,95.53,112.54,128.38,127.12,155.86,206.63,235.43,269.94,349.73,531.17
Inventory,61.95,72.99,83.79,112.09,126.48,168.36,208.65,221.03,285.57,433.84
Debtor Days,76.74527886604746,79.10852190659605,76.79865606817995,67.57861314612796,72.44225136890361,81.7595884916419,77.0862973760933,71.66149057029186,76.48241793137332,103.42812254935956
Inventory Turnover,7.333979015334947,7.11398821756405,7.281895214226041,6.125345704344723,6.208886780518658,5.479092421002613,5.342679127725857,6.220467809799575,5.844556501033022,4.320740365111562
Return on Equity,0.20302717831627015,0.20866711992669013,0.17148700736817266,0.22050503656685524,0.14071481094068788,0.134724316769044,0.144392003994781,0.1756799042215964,0.12241606855531251,0.10370971324814805
Return on Capital Emp,,0.2569033589035249,0.2242509178476965,0.2470575312835331,0.218637499713375,0.17383986638989465,0.1906842289132112,0.23583261110982962,0.20342188340846254,0.1401546137466358
