POLY MEDICURE LTD,,,,,,,,,SCREENER.IN,
Narration,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,378.07,384.78,420.02,424.21,440.83,403.21,443.88,493.66,534.51,525.38
Expenses,281.61,280.86,304.83,309.81,321.36,297.5,329.2,382.48,424.12,400.28
Operating Profit,96.46,103.92,115.19,114.4,119.47,105.71,114.68,111.18,110.39,125.1
Other Income,15.2,17.35,26.85,23.52,26.58,43.44,34.91,21.15,19.47,34.96
Depreciation,16.08,19.65,20.71,21.37,21.03,23.26,24.93,28.76,38.23,36.25
Interest,3.12,3.16,3.34,3.33,2.17,2.95,2.97,5.96,6.41,6.5
Profit before tax,92.46,98.46,117.99,113.22,122.85,122.94,121.69,97.61,85.22,117.31
Tax,24.1,24.42,30.53,28,31.02,29.87,29.9,26.8,20.18,32.03
Net profit,68.36,74.04,87.45,85.23,91.83,93.08,91.84,70.93,66.29,86.03
OPM,0.2551379374189965,0.2700764072976766,0.2742488452930813,0.2696777539426228,0.27101150103214394,0.26217107710622256,0.2583581148058034,0.22521573552647572,0.20652560288862698,0.23811336556397272
