QMS MEDICAL ALLIED SERVICES LTD,,,,,,,,,SCREENER.IN,
Narration,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,0,0,0,0,0,0,0,17.85,17.85,19.34
Reserves,0,0,0,0,0,0,0,60.66,71.86,84.86
Borrowings,0,0,0,0,0,0,0,34.54,60.28,74.48
Other Liabilities,0,0,0,0,0,0,0,22.27,39.97,34.17
Total,0,0,0,0,0,0,0,135.32,189.96,212.85
Net Block,0,0,0,0,0,0,0,23.58,52.42,54.62
Capital Work in Progress,0,0,0,0,0,0,0,2.06,3.19,2.83
Investments,0,0,0,0,0,0,0,2.11,3.23,5.46
Other Assets,0,0,0,0,0,0,0,107.57,131.12,149.94
Total,0,0,0,0,0,0,0,135.32,189.96,212.85
Working Capital,0,0,0,0,0,0,0,85.3,91.15,115.77
Debtors,0,0,0,0,0,0,0,41.39,57.93,67.32
Inventory,0,0,0,0,0,0,0,37.58,39.33,45.92
Debtor Days,0,0,0,0,0,0,0,123.88150881508815,135.73276415457696,142.27201667535172
Inventory Turnover,0,0,0,0,0,0,0,3.245077168706759,3.960844139333842,3.7611062717770034
Return on Equity,,,,,,,,0.11463507833397021,0.13476758443874706,0.0972168905950096
Return on Capital Emp,,,,,,,,0.27191508182220264,0.17715936739659371,0.1398971612863967
