QMS MEDICAL ALLIED SERVICES LTD,,,,,,,,,,,,SCREENER.IN,
Narration,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00,Trailing,Best Case,Worst Case
Sales,0,0,0,0,0,0,0,121.95,155.78,172.71,183.25,191.47993388111442,192.62540955193222
Expenses,0,0,0,0,0,0,0,103.59999999999998,130.37,146.83,155.35000000000002,161.87629611475086,163.2979938548031
Operating Profit,0,0,0,0,0,0,0,18.350000000000023,25.409999999999997,25.879999999999995,27.9,29.603637766363576,29.32741569712911
Other Income,0,0,0,0,0,0,0,0.46,1.72,1.05,1.16,0,0
Depreciation,0,0,0,0,0,0,0,3.44,3.83,3.94,4.819999999999999,4.819999999999999,4.819999999999999
Interest,0,0,0,0,0,0,0,3.13,4.64,6.55,6.9,6.9,6.9
Profit before tax,0,0,0,0,0,0,0,12.24,18.66,16.44,17.34,17.883637766363577,17.60741569712911
Tax,0,0,0,0,0,0,0,3.23,4.96,4.52,4.74,0.27335640138408307,0.27335640138408307
Net profit,0,0,0,0,0,0,0,9,12.09,10.13,10.75,12.995030902893948,12.794315904488279
EPS,0,0,0,0,0,0,0,4.663212435233161,6.2642487046632125,5.248704663212436,5.5591847468770546,6.720165356331534,6.6163689137635116
Price to earning,,,,,,,,24.815511111111107,11.805086848635236,13.717670286278379,35.372093023255815,35.372093023255815,21.42759031732013
Price,0,0,0,0,0,0,0,115.72,73.95,72,196.64,237.70631411582008,141.77284247237694
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0,0,0,0,0,0,0,0,0.7377998345740281,0.9545903257650542,,,
OPM,0,0,0,0,0,0,0,0.15047150471504733,0.16311464886378224,0.14984656360372875,0.15225102319236017,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,0.10867890614969833,0.10867890614969833,0.10867890614969833
,,,,,,OPM,0.15460438682177427,0.15460438682177427,0.15460438682177427,0.15460438682177427,0.15225102319236017,0.15460438682177427,0.15225102319236017
,,,,,,Price to Earning,21.42759031732013,21.42759031732013,21.42759031732013,21.42759031732013,35.372093023255815,35.372093023255815,21.42759031732013
