QMS MEDICAL ALLIED SERVICES LTD,,,,,,,,,SCREENER.IN,
Narration,00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,0,0.01,0.01,3.01,3.76,3.76,17.85,17.85,17.85,19.34
Reserves,0,0.01,3.07,6.4,16.56,27.27,52.55,60.66,70.19,84.88
Borrowings,0,0.05,4.55,11.6,19.6,31.97,25.52,2.37,77.25,90.92
Other Liabilities,0,5.02,10.26,12.47,20.46,19.49,21.81,54.44,23.74,24.89
Total,0,5.09,17.89,33.48,60.38,82.49,117.73,135.32,189.03,220.03
Net Block,0,0,0.12,3.24,10.18,7.97,25.36,23.58,22.33,24.66
Capital Work in Progress,0,0,0,0,0,0,1.15,2.06,2.93,2.64
Investments,0,0,0,0,0,0,0,2.11,48.33,63.09
Other Assets,0,5.09,17.77,30.24,50.2,74.52,91.22,107.57,115.44,129.64
Total,0,5.09,17.89,33.48,60.38,82.49,117.73,135.32,189.03,220.03
Working Capital,0,0.07000000000000028,7.51,17.769999999999996,29.740000000000002,55.03,69.41,53.129999999999995,91.7,104.74999999999999
Debtors,0,0.09,8.02,11.21,22.98,42.04,39.04,41.39,53.82,59.17
Inventory,0,4.39,8.95,15.69,20.31,24.25,29.93,37.58,39.28,45.92
Debtor Days,0,410.625,56.41356716130275,56.25034368985428,68.73473735966566,104.87014762165118,137.09447758322108,123.88150881508815,135.8151272123894,141.9644383093407
Inventory Turnover,0,0.01822323462414579,5.797765363128492,4.636073932441045,6.0083702609551946,6.033814432989691,3.4727697961911126,3.245077168706759,3.682281059063136,3.3129355400696863
Return on Equity,,0.5,0.9967532467532468,0.6716259298618491,0.5374015748031495,0.34450531743474055,0.090625,0.11463507833397021,0.11835529304861428,0.06419113413932068
Return on Capital Emp,,0.2857142857142857,1.2051948051948052,0.6480446927374303,0.5353684556047923,0.32841041585697633,0.13843443241882708,0.17386877828054298,0.16557663403339157,0.09621840579308048
