COMPANY NAME,QMS MEDICAL ALLIED SERVICES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,1.9337367778681855,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,196.64,,,,,,,,,
Market Capitalization,380.25,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,0.08,51.89,72.74,122.03,146.32,103.94,121.95,144.64,152.13
Raw Material Cost,,4.46,47.41,59.77,95.02,114.26,83.56,87.58,81.06,95.53
Change in Inventory,,4.39,4.57,6.74,4.61,3.95,5.68,7.65,-0.39,7.56
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,0.05,,4.45,5.47,3.76,4.63,6.5,5.46
Employee Cost,,,0.85,1.61,2.38,4.66,3.72,5.5,7.94,13.28
Selling and admin,,,3.08,0.71,7.09,5.4,5.04,5.52,9.97,9.34
Other Expenses,,,0.41,7.79,0.71,3.84,2.21,8.02,15.46,15.58
Other Income,,,0.01,0.04,0.06,1.42,0.74,0.46,0.46,0.35
Depreciation,,,0.03,0.36,0.74,1.16,1.07,3.44,3.4,3.51
Interest,,,0.26,0.56,1.41,2.44,2.29,3.13,5.96,7.89
Profit before tax,,0.01,4.38,8.72,14.9,14.46,8.71,12.24,14.42,9.45
Tax,,,1.31,2.4,3.99,3.77,2.33,3.23,4,2.76
Net profit,,0.01,3.07,6.32,10.92,10.69,6.38,9,10.42,6.69
Dividend Amount,,,,,,,,0.89,8.92,9.67
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,32.29,30.37,32.74,39.38,42.38,42.32,41.25,29.54,39.19,52.34
Expenses,28.34,25.53,27.41,34.04,34.56,35.99,35.12,25.77,34.8,45.34
Other Income,0.11,0.11,0.09,0.12,0.13,0.15,,0.13,0.07,0.25
Depreciation,0.88,0.77,0.83,0.91,0.9,0.83,0.83,0.92,1.22,1.31
Interest,0.99,0.84,1.07,1.31,2.73,1.77,1.73,2.06,2.38,2.05
Profit before tax,2.19,3.34,3.52,3.24,4.32,3.88,3.57,0.92,0.86,3.89
Tax,0.65,0.95,0.91,0.89,1.26,1.2,0.93,0.34,0.24,1.22
Net profit,1.54,2.4,2.61,2.35,3.07,2.68,2.64,0.58,0.63,2.67
Operating Profit,3.95,4.84,5.33,5.34,7.82,6.33,6.13,3.77,4.39,7
BALANCE SHEET,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,0.01,0.01,3.01,3.76,3.76,17.85,17.85,17.85,19.34
Reserves,,0.01,3.07,6.4,16.56,27.27,52.55,60.66,70.19,84.88
Borrowings,,0.05,4.55,11.6,19.6,31.97,25.52,2.37,77.25,90.92
Other Liabilities,,5.02,10.26,12.47,20.46,19.49,21.81,54.44,23.74,24.89
Total,,5.09,17.89,33.48,60.38,82.49,117.73,135.32,189.03,220.03
Net Block,,,0.12,3.24,10.18,7.97,25.36,23.58,22.33,24.66
Capital Work in Progress,,,,,,,1.15,2.06,2.93,2.64
Investments,,,,,,,,2.11,48.33,63.09
Other Assets,,5.09,17.77,30.24,50.2,74.52,91.22,107.57,115.44,129.64
Total,,5.09,17.89,33.48,60.38,82.49,117.73,135.32,189.03,220.03
Receivables,,0.09,8.02,11.21,22.98,42.04,39.04,41.39,53.82,59.17
Inventory,,4.39,8.95,15.69,20.31,24.25,29.93,37.58,39.28,45.92
Cash & Bank,,0.03,0.14,0.66,1.38,2.16,2.37,0.31,0.39,0.11
No. of Equity Shares,,10000,10000,3010000,3762500,3762500,17850000,1785000,17850000,19337443
New Bonus Shares,,,,,,,11287500,,,
Face value,,10,10,10,10,10,10,10,10,10
CASH FLOW:,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,0.02,0.26,4.18,1.88,-1.72,-7.54,1.36,26.09,18.77
Cash from Investing Activity,,,-0.15,-3.66,-7.84,2.37,-25.1,-1.78,-48.9,-18.27
Cash from Financing Activity,,0.01,,,6.69,0.13,31.74,-1.07,22.88,-0.78
Net Cash Flow,,0.03,0.11,0.52,0.73,0.78,-0.9,-1.48,0.07,-0.28
PRICE:,,,,,,,129.21,115.72,73.95,72
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.12875,1.12975,1.12975,0.33,0.41,0.41,1.93,1.93,1.93,1.93
