QMS MEDICAL ALLIED SERVICES LTD,,,,,,,,,,,,SCREENER.IN,
Narration,00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00,Trailing,Best Case,Worst Case
Sales,0,0.08,51.89,72.74,122.03,146.32,103.94,121.95,144.64,152.13,162.32,172.72647744963697,159.44743020713122
Expenses,0,0.07000000000000028,47.22999999999999,63.14000000000001,105.03999999999999,129.68,92.61000000000001,103.59999999999998,121.32000000000001,131.63,141.03,147.08068765444227,138.53419838659264
Operating Profit,0,0.009999999999999717,4.660000000000011,9.599999999999987,16.99000000000001,16.639999999999986,11.329999999999984,18.350000000000023,23.31999999999998,20.5,21.29,25.645789795194716,20.913231820538588
Other Income,0,0,0.01,0.04,0.06,1.42,0.74,0.46,0.46,0.35,0.45,0,0
Depreciation,0,0,0.03,0.36,0.74,1.16,1.07,3.44,3.4,3.51,4.279999999999999,4.279999999999999,4.279999999999999
Interest,0,0,0.26,0.56,1.41,2.44,2.29,3.13,5.96,7.89,8.219999999999999,8.219999999999999,8.219999999999999
Profit before tax,0,0.01,4.38,8.72,14.9,14.46,8.71,12.24,14.42,9.45,9.24,13.145789795194718,8.41323182053859
Tax,0,0,1.31,2.4,3.99,3.77,2.33,3.23,4,2.76,2.73,0.29545454545454547,0.29545454545454547
Net profit,0,0.01,3.07,6.32,10.92,10.69,6.38,9,10.42,6.69,6.52,9.261806446614461,5.927504237197643
EPS,0,0.008851515822084531,2.717415357379951,19.151515151515152,26.634146341463417,26.073170731707318,3.305699481865285,4.663212435233161,5.398963730569949,3.4663212435233164,3.3717101906640368,4.789590058283412,3.0653108039514647
Price to earning,,,,,,,39.087037617554856,24.815511111111107,13.697072936660268,20.77130044843049,58.32055214723926,58.32055214723926,29.40110916086028
Price,0,0,0,0,0,0,129.21,115.72,73.95,72,196.64,279.3315367580165,90.1235375589414
RATIOS:,,,,,,,,,,,,,
Dividend Payout,0,0,0,0,0,0,0,0.09888888888888889,0.8560460652591171,1.4454409566517188,,,
OPM,0,0.12499999999999646,0.08980535748699192,0.13197690404179252,0.1392280586740966,0.11372334609075989,0.1090051953049835,0.15047150471504733,0.16122787610619457,0.13475317162952738,0.13116067028092657,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,0.16609256901583414,0.04508027480982757,0.135387349304128,0.0669821862880431,0.135387349304128,0.04508027480982757
,,,,,,OPM,0.1325732756737867,0.1351432706222865,0.13474244372029057,0.14847630875047765,0.13116067028092657,0.14847630875047765,0.13116067028092657
,,,,,,Price to Earning,31.338294852199198,31.338294852199198,31.338294852199198,29.40110916086028,58.32055214723926,58.32055214723926,29.40110916086028
