COMPANY NAME,METROPOLIS HEALTHCARE LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,582.6,,,,,,,,,
Market Capitalization,12086.26,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,544.72,647.16,761.18,856.41,997.99,1228.34,1148.21,1207.71,1331.2,1645.85
Raw Material Cost,135.1,145.9,173.51,204.14,252.16,276.02,253.26,242.57,268.68,324.52
Change in Inventory,,,,,,,,,,
Power and Fuel,9.12,9.99,11.0,12.49,12.0,14.73,14.43,16.2,,17.83
Other Mfr. Exp,11.43,58.73,77.05,22.51,26.09,33.09,31.24,45.46,44.48,71.1
Employee Cost,127.8,147.56,176.62,190.72,199.24,233.65,253.52,276.39,315.03,378.55
Selling and admin,101.19,90.73,106.46,165.21,184.68,311.28,288.98,307.2,374.48,406.57
Other Expenses,19.88,13.68,13.97,24.13,34.03,11.49,13.43,31.96,20.22,41.38
Other Income,38.89,5.67,8.17,-16.56,12.04,33.51,15.22,9.12,15.11,15.9
Depreciation,17.23,19.02,20.07,39.27,45.94,63.22,89.22,94.47,108.68,133.72
Interest,1.94,3.54,4.12,12.65,11.56,25.02,31.85,27.89,23.89,28.9
Profit before tax,159.92,163.68,186.55,168.73,244.33,293.35,187.5,174.69,190.85,259.18
Tax,52.66,51.84,62.94,41.18,60.97,78.66,44.11,46.23,45.34,67.99
Net profit,101.66,104.24,120.15,127.33,183.1,214.18,142.88,127.82,144.97,190.02
Dividend Amount,49.98,,66.57,40.52,40.88,40.92,40.96,20.5,,103.68
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,331.0,313.36,349.79,322.77,345.29,386.06,429.19,405.91,424.68,450.22
Expenses,251.02,234.55,259.92,250.77,282.99,296.3,320.97,311.06,316.67,339.02
Other Income,2.54,2.46,3.13,2.56,6.97,7.52,0.89,-0.08,8.27,5.1
Depreciation,26.42,25.54,26.82,27.7,28.62,30.85,32.41,31.88,38.59,32.4
Interest,5.57,4.65,4.79,4.53,4.6,5.2,5.68,5.73,7.93,6.18
Profit before tax,50.53,51.08,61.39,42.33,36.05,61.23,71.02,57.16,69.76,77.72
Tax,14.01,12.96,14.7,10.86,6.82,15.98,18.13,15.07,18.8,20.83
Net profit,36.41,37.95,46.52,31.36,29.14,45.06,52.67,41.39,50.9,56.67
Operating Profit,79.98,78.81,89.87,72.0,62.3,89.76,108.22,94.85,108.01,111.2
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,9.54,9.54,10.04,10.13,10.22,10.23,10.24,10.25,10.36,41.47
Reserves,313.63,405.22,408.5,513.37,696.38,875.96,977.99,1085.91,1320.61,1471.69
Borrowings,0.93,0.73,17.78,66.7,112.27,378.56,266.38,197.06,204.12,231.91
Other Liabilities,187.63,110.4,113.42,160.3,181.39,255.76,240.11,254.21,324.0,385.82
Total,511.73,525.89,549.74,750.5,1000.26,1520.51,1494.72,1547.43,1859.09,2130.89
Net Block,202.36,207.44,212.81,296.37,343.11,1058.93,1120.67,1177.06,1446.96,1601.09
Capital Work in Progress,0.95,,5.77,2.99,,5.78,19.51,,,
Investments,141.84,102.18,33.29,14.32,10.08,15.51,14.81,54.83,71.0,142.4
Other Assets,166.58,216.27,297.87,436.82,647.07,440.29,339.73,315.54,341.13,387.4
Total,511.73,525.89,549.74,750.5,1000.26,1520.51,1494.72,1547.43,1859.09,2130.89
Receivables,80.29,100.68,136.85,128.25,122.98,135.49,121.89,126.28,147.95,170.29
Inventory,14.13,21.19,26.1,24.4,40.55,51.11,44.59,38.69,47.84,45.49
Cash & Bank,40.51,60.14,80.24,210.47,419.7,166.94,93.19,71.22,49.02,62.32
No. of Equity Shares,9543646.0,9543646.0,50178680.0,50630566.0,51116813.0,51172119.0,51210664.0,51226861.0,51800044.0,207327768.0
New Bonus Shares,,,,,,,,,,155495826.0
Face value,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,101.75,103.93,90.15,215.0,249.03,253.27,247.09,264.07,262.75,350.7
Cash from Investing Activity,-85.78,1.33,35.9,-103.87,63.08,-736.41,48.09,-89.09,-199.25,-220.09
Cash from Financing Activity,-17.3,-87.3,-118.15,-55.32,-32.69,162.52,-292.33,-181.2,-86.63,-115.29
Net Cash Flow,-1.32,17.96,7.9,55.8,279.42,-320.61,2.85,-6.21,-23.14,15.31
PRICE:,,,,321.11,560.3,508.94,312.08,430.9,391.14,434.0
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,3.82,3.82,20.07,20.25,20.45,20.47,20.48,20.49,20.72,20.73
