COMPANY NAME,VIMTA LABS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,599.3,,,,,,,,,
Market Capitalization,2678.86,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,,180.71,210.68,278.28,318.19,318.26
Raw Material Cost,,,,,,32.41,35.25,54.81,44.13,48.69
Change in Inventory,,,,,,-0.36,-2.98,-0.27,-0.11,-0.1
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,,,,31.69,33.54,36.36,43.96,42.9
Employee Cost,,,,,,61.52,60.85,76.05,91.14,99.28
Selling and admin,,,,,,22.61,18.68,23.93,38.26,34.85
Other Expenses,,,,,,2.17,6.4,6.58,5.56,5.65
Other Income,,,,,,3.02,0.81,0.23,3.33,4.01
Depreciation,,,,,,20.93,23.08,23.33,30.71,34.2
Interest,,,,,,3.77,2.17,1.5,2.65,2.12
Profit before tax,,,,,,8.27,28.54,55.68,65.0,54.48
Tax,,,,,,1.42,7.14,14.36,16.83,13.47
Net profit,,,,,,6.85,21.41,41.33,48.17,41.01
Dividend Amount,,,,,,,4.42,4.42,4.43,4.43
Quarters,,,,,,,,,,
Report Date,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00
Sales,79.85,77.38,81.82,83.49,65.54,74.58,79.69,74.88,84.74,89.92
Expenses,54.47,55.92,57.64,58.84,48.13,50.68,55.27,48.96,54.83,56.85
Other Income,0.76,1.12,0.67,0.59,0.26,-1.42,0.49,-0.93,-1.09,5.21
Depreciation,7.58,7.85,8.04,8.5,8.65,8.43,8.09,7.98,8.29,9.81
Interest,0.8,0.65,0.25,0.44,0.61,0.53,0.53,0.47,0.41,0.58
Profit before tax,17.76,14.08,16.56,16.3,8.41,13.52,16.29,16.54,20.12,27.89
Tax,4.55,3.84,3.87,4.1,2.08,3.39,3.93,4.26,4.88,6.4
Net profit,13.21,10.24,12.68,12.2,6.33,10.13,12.35,12.28,15.25,21.5
Operating Profit,25.38,21.46,24.18,24.65,17.41,23.9,24.42,25.92,29.91,33.07
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,,4.42,4.42,4.42,4.43,4.43
Reserves,,,,,,168.46,189.96,229.56,277.36,315.26
Borrowings,,,,,,33.26,30.41,19.35,14.99,19.19
Other Liabilities,,,,,,39.55,49.5,53.79,65.48,61.1
Total,,,,,,245.69,274.29,307.12,362.26,399.98
Net Block,,,,,,137.97,134.75,168.72,174.8,171.11
Capital Work in Progress,,,,,,1.82,17.46,0.31,12.31,58.57
Investments,,,,,,,,,,
Other Assets,,,,,,105.9,122.08,138.09,175.15,170.3
Total,,,,,,245.69,274.29,307.12,362.26,399.98
Receivables,,,,,,57.85,73.46,76.94,79.99,87.0
Inventory,,,,,,17.13,14.64,17.38,22.62,24.69
Cash & Bank,,,,,,6.67,6.8,11.42,39.78,25.79
No. of Equity Shares,,,,,,22107810.0,22107810.0,22107810.0,22128989.0,22170583.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,,24.35,37.18,59.07,87.94,60.89
Cash from Investing Activity,,,,,,-20.84,-31.92,-37.85,-57.26,-76.05
Cash from Financing Activity,,,,,,-0.67,-4.57,-16.61,-10.98,-1.9
Net Cash Flow,,,,,,2.84,0.69,4.61,19.7,-17.06
PRICE:,,,,,,29.85,80.7,158.08,156.93,221.93
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,4.42,4.42,4.42,4.43,4.43
