COMPANY NAME,VIDYA WIRES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,89.3,,,,,,,,,
Market Capitalization,1904.56,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,912.58,1011.44,1181.82,1480.77,1839.64
Raw Material Cost,,,,,,873.89,940.2,1102.31,1383.6,1713.51
Change in Inventory,,,,,,14.81,-3.06,0.27,10.05,16.37
Power and Fuel,,,,,,4.39,8.4,11.26,12.65,
Other Mfr. Exp,,,,,,8.07,9.74,9.94,14.11,
Employee Cost,,,,,,5.19,5.81,6.25,8.9,11.55
Selling and admin,,,,,,3.73,8.46,5.98,6.83,
Other Expenses,,,,,,1.11,-0.07,1.24,0.84,45.17
Other Income,,,,,,4.4,4.28,2.37,5.06,8.61
Depreciation,,,,,,2.16,2.73,2.68,2.83,3.65
Interest,,,,,,6.84,8.34,10.92,11.35,12.8
Profit before tax,,,,,,26.41,29.05,33.88,54.77,77.94
Tax,,,,,,6.68,7.55,8.11,14.22,20.29
Net profit,,,,,,19.73,21.5,25.76,40.56,57.66
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,,,,363.99,346.71,379.62,411.76,380.94,448.16,598.78
Expenses,,,,350.1,330.39,360.88,393.09,365.36,424.58,570.81
Other Income,,,,0.55,1.72,2.17,1.33,2.69,0.65,3.93
Depreciation,,,,0.72,0.72,0.7,0.87,0.77,0.91,1.1
Interest,,,,2.93,2.76,2.69,3.19,2.99,2.67,3.95
Profit before tax,,,,10.79,14.56,17.52,15.94,14.51,20.65,26.85
Tax,,,,2.47,4.05,4.84,3.83,4.0,5.22,7.23
Net profit,,,,8.33,10.52,12.69,12.12,10.5,15.42,19.61
Operating Profit,,,,13.89,16.32,18.74,18.67,15.58,23.58,27.97
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,4.0,4.0,4.0,16.0,21.27
Reserves,,,,,,74.33,95.86,121.77,150.28,458.56
Borrowings,,,,,,120.61,97.11,109.71,145.63,85.27
Other Liabilities,,,,,,11.81,12.11,12.7,19.41,40.42
Total,,,,,,210.75,209.08,248.18,331.32,605.52
Net Block,,,,,,32.45,38.05,39.8,41.16,70.71
Capital Work in Progress,,,,,,,,,3.47,72.34
Investments,,,,,,,,,,0.77
Other Assets,,,,,,178.3,171.03,208.38,286.69,461.7
Total,,,,,,210.75,209.08,248.18,331.32,605.52
Receivables,,,,,,92.87,87.17,93.73,142.32,202.78
Inventory,,,,,,59.46,58.86,70.18,90.64,129.83
Cash & Bank,,,,,,3.48,1.0,0.59,0.75,72.61
No. of Equity Shares,,,,,,4000000.0,4000000.0,4000000.0,160000000.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10.0,10.0,10.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,-15.87,37.54,2.17,-16.77,-9.29
Cash from Investing Activity,,,,,,-8.08,-5.65,-3.7,-7.59,-148.28
Cash from Financing Activity,,,,,,23.95,-31.84,1.69,24.57,182.24
Net Cash Flow,,,,,,,0.04,0.16,0.21,24.67
PRICE:,,,,,,,,,,50.15
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,0.4,0.4,0.4,16.0,21.27
