COMPANY NAME,SCAN STEELS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,48.3,,,,,,,,,
Market Capitalization,293.41,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,380.54,509.06,695.28,667.58,732.1,1000.18,1090.78,965.41,789.2,838.26
Raw Material Cost,259.92,357.98,529.94,474.46,496.26,737.87,867.78,769.65,503.62,623.26
Change in Inventory,-20.91,6.03,16.77,4.68,-11.81,-16.52,0.31,39.33,-47.44,25.68
Power and Fuel,56.56,62.6,77.95,91.43,91.75,89.15,95.38,100.19,96.01,
Other Mfr. Exp,12.04,16.7,29.69,31.97,31.99,35.52,38.2,45.36,47.27,
Employee Cost,11.92,14.29,20.43,25.86,26.14,27.44,30.34,31.11,37.47,40.09
Selling and admin,2.89,5.35,10.39,8.11,4.67,6.53,9.05,9.05,8.83,
Other Expenses,0.04,0.13,0.27,0.33,0.38,1.09,1.29,1.38,2.61,151.49
Other Income,2.04,1.17,0.89,0.96,4.35,2.15,5.94,2.02,4.43,1.62
Depreciation,20.03,17.31,12.52,12.6,13.98,12.81,13.29,15.4,15.69,15.73
Interest,13.21,36.41,14.66,15.23,11.13,9.54,19.7,10.46,8.6,8.47
Profit before tax,-14.94,5.49,17.09,13.23,48.34,65.86,22.0,24.16,26.09,26.52
Tax,-3.13,7.46,10.44,12.9,17.6,15.08,6.68,6.42,6.48,6.72
Net profit,-11.81,-1.97,6.65,0.32,30.75,50.77,15.32,17.73,19.61,19.81
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,219.48,256.98,233.55,139.95,174.51,241.19,232.0,132.96,191.64,281.66
Expenses,210.84,240.79,209.5,137.5,164.58,232.26,212.68,127.28,181.22,267.98
Other Income,0.09,1.22,1.79,1.42,0.05,1.35,0.05,0.06,-0.01,1.52
Depreciation,3.85,3.86,3.93,3.93,3.93,3.91,3.93,3.93,3.93,3.93
Interest,2.69,2.45,2.28,1.88,2.08,1.95,2.01,2.17,2.33,1.96
Profit before tax,2.19,11.1,19.63,-1.94,3.97,4.42,13.43,-0.36,4.15,9.31
Tax,0.61,2.99,5.06,-0.59,1.18,0.84,3.39,-0.11,1.05,2.4
Net profit,1.57,8.11,14.57,-1.35,2.8,3.58,10.04,-0.25,3.1,6.91
Operating Profit,8.64,16.19,24.05,2.45,9.93,8.93,19.32,5.68,10.42,13.68
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,51.55,52.35,52.35,52.35,52.35,52.35,52.35,52.35,58.6,58.6
Reserves,209.52,210.57,216.21,216.66,247.81,298.5,313.63,340.99,358.99,382.55
Borrowings,211.53,197.82,153.17,144.2,95.71,105.94,112.42,125.17,61.93,71.69
Other Liabilities,90.23,83.03,48.26,64.35,78.22,81.88,87.21,86.45,94.34,88.61
Total,562.83,543.77,469.99,477.56,474.09,538.67,565.61,604.96,573.86,601.45
Net Block,283.62,292.79,283.77,272.4,268.78,260.07,280.88,279.26,263.56,251.13
Capital Work in Progress,8.86,,0.72,1.81,0.44,4.74,2.18,0.98,20.15,41.21
Investments,2.16,1.2,0.82,0.8,0.45,7.98,13.06,25.57,20.85,37.79
Other Assets,268.19,249.78,184.68,202.55,204.42,265.88,269.49,299.15,269.3,271.32
Total,562.83,543.77,469.99,477.56,474.09,538.67,565.61,604.96,573.86,601.45
Receivables,53.99,60.38,33.07,30.25,28.18,55.11,42.66,25.03,10.99,21.1
Inventory,69.04,103.1,102.88,125.89,129.0,124.09,158.68,175.56,167.61,168.12
Cash & Bank,12.79,25.86,2.52,1.79,2.83,21.54,9.56,31.79,9.77,4.51
No. of Equity Shares,51552295.0,52352000.0,52352000.0,52352000.0,52352000.0,52352000.0,52352000.0,52352000.0,58602300.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,3.2,-69.49,4.1,30.26,35.28,48.81,53.29,78.28,6.99,37.09
Cash from Investing Activity,3.0,56.97,,-6.84,-0.27,-25.79,-31.97,-26.39,-15.02,-37.84
Cash from Financing Activity,0.54,25.59,-27.44,-24.15,-33.97,-4.32,-33.3,-29.67,-13.99,-4.51
Net Cash Flow,6.74,13.07,-23.34,-0.73,1.04,18.7,-11.97,22.22,-22.02,-5.25
PRICE:,12.12,21.8,38.15,16.0,18.25,31.15,27.68,62.2,34.06,28.84
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,5.16,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.86,5.86
