COMPANY NAME,VRAJ IRON & STEEL LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,135.16,,,,,,,,,
Market Capitalization,445.79,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,283.73,402.07,515.67,419.86,475.03,587.92
Raw Material Cost,,,,,206.95,302.85,381.5,284.38,345.57,464.45
Change in Inventory,,,,,-3.4,1.21,-1.06,1.62,2.23,8.79
Power and Fuel,,,,,19.52,20.39,25.05,25.95,32.59,
Other Mfr. Exp,,,,,18.66,21.92,19.53,19.9,19.05,
Employee Cost,,,,,5.45,6.44,7.29,8.55,11.08,14.81
Selling and admin,,,,,1.69,2.83,3.56,4.95,5.08,
Other Expenses,,,,,0.38,0.43,0.51,0.8,1.19,60.72
Other Income,,,,,0.23,0.34,1.75,4.41,3.83,8.68
Depreciation,,,,,7.22,7.14,6.44,5.84,7.93,22.87
Interest,,,,,6.05,4.24,3.48,2.9,2.04,2.13
Profit before tax,,,,,14.64,37.38,69.0,72.62,56.56,40.41
Tax,,,,,4.9,9.88,17.89,18.5,14.74,10.89
Net profit,,,,,9.73,27.5,51.11,54.12,41.83,29.53
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,80.6,118.54,114.6,87.55,119.88,153.01,138.31,132.98,146.43,170.21
Expenses,69.86,100.62,93.52,73.97,108.69,136.64,125.08,119.57,141.26,145.3
Other Income,1.27,0.93,0.47,1.19,1.1,1.07,2.03,2.0,2.2,2.45
Depreciation,1.48,1.46,1.3,1.39,1.57,3.68,5.22,5.24,5.44,6.96
Interest,0.71,0.49,0.5,0.34,0.39,0.32,0.24,0.38,0.68,0.82
Profit before tax,9.82,16.9,19.75,13.04,10.33,13.44,9.8,9.79,1.25,19.58
Tax,2.56,4.29,4.97,3.38,2.84,3.54,2.47,2.61,0.25,5.56
Net profit,7.26,12.6,14.78,9.66,7.5,9.9,7.33,7.18,1.0,14.02
Operating Profit,10.74,17.92,21.08,13.58,11.19,16.37,13.23,13.41,5.17,24.91
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,4.94,4.94,4.94,24.72,32.98,32.98
Reserves,,,,,50.78,78.29,129.66,163.63,351.36,381.73
Borrowings,,,,,45.78,42.51,24.55,63.27,2.28,42.64
Other Liabilities,,,,,21.92,19.88,26.4,16.89,18.12,23.08
Total,,,,,123.42,145.62,185.55,268.51,404.74,480.43
Net Block,,,,,62.32,56.41,52.95,47.82,195.06,273.26
Capital Work in Progress,,,,,,,0.19,63.65,3.4,7.41
Investments,,,,,11.21,11.21,12.0,11.14,25.31,26.16
Other Assets,,,,,49.89,78.0,120.41,145.9,180.97,173.6
Total,,,,,123.42,145.62,185.55,268.51,404.74,480.43
Receivables,,,,,6.99,11.83,12.9,11.53,21.19,32.52
Inventory,,,,,22.49,31.93,31.71,41.87,50.74,67.62
Cash & Bank,,,,,3.4,3.97,8.95,40.15,39.87,5.69
No. of Equity Shares,,,,,4944350.0,4944350.0,4944350.0,24721750.0,32982619.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,23.82,7.42,62.87,19.22,13.64,31.13
Cash from Investing Activity,,,,,-6.31,-0.54,-40.37,-55.51,-102.85,-70.11
Cash from Financing Activity,,,,,-15.57,-6.31,-22.52,36.28,90.06,38.23
Net Cash Flow,,,,,1.94,0.57,-0.01,-0.01,0.85,-0.75
PRICE:,,,,,,,,,153.37,94.67
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.49,0.49,0.49,2.47,3.3,3.3
