COMPANY NAME,RATHI STEEL & POWER LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,23.85,,,,,,,,,
Market Capitalization,205.98,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,381.75,350.01,350.27,37.53,427.3,542.52,726.55,493.19,503.15,716.05
Raw Material Cost,329.72,243.42,318.2,58.65,366.02,451.4,609.54,365.78,398.29,584.24
Change in Inventory,-5.0,-53.73,5.23,-8.8,-0.21,1.42,21.84,-9.29,20.42,11.75
Power and Fuel,43.63,35.33,45.85,20.73,26.26,40.79,56.72,54.66,45.1,
Other Mfr. Exp,19.52,18.11,25.28,15.18,12.93,14.67,34.36,25.47,34.18,
Employee Cost,3.66,5.94,9.73,6.57,5.24,6.16,6.84,9.53,12.1,16.27
Selling and admin,6.43,3.11,4.33,4.72,2.74,2.37,4.16,6.52,10.75,
Other Expenses,0.71,0.85,0.35,0.33,0.71,0.6,5.11,0.78,1.13,98.83
Other Income,3.6,-72.67,-26.56,62.47,200.67,-37.86,76.24,22.93,7.0,0.44
Depreciation,23.39,18.78,8.4,8.5,16.49,13.46,8.33,8.74,9.57,8.61
Interest,16.61,14.25,0.12,2.15,7.23,13.11,12.1,11.74,5.5,7.42
Profit before tax,-63.32,-116.18,-83.32,-25.63,190.14,-36.48,87.47,23.61,13.95,12.87
Tax,,2.0,,,,,0.25,0.07,,
Net profit,-63.31,-118.18,-83.32,-25.63,190.14,-36.49,87.22,23.53,13.95,12.86
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,101.22,118.35,127.73,121.43,104.43,149.57,155.29,156.3,160.02,244.44
Expenses,95.13,114.39,121.76,116.29,101.41,141.67,149.17,150.07,153.68,234.67
Other Income,0.06,20.0,0.09,5.13,1.62,0.16,0.11,0.14,0.07,0.12
Depreciation,2.17,2.28,2.3,2.33,2.4,2.54,2.59,2.62,2.62,0.77
Interest,3.2,1.48,1.08,1.0,1.71,1.72,1.75,2.12,1.88,1.67
Profit before tax,0.78,20.2,2.68,6.94,0.53,3.8,1.89,1.63,1.91,7.45
Tax,,0.07,,,,,,,,
Net profit,0.79,20.13,2.69,6.94,0.53,3.8,1.89,1.63,1.91,7.45
Operating Profit,6.09,3.96,5.97,5.14,3.02,7.9,6.12,6.23,6.34,9.77
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,31.31,31.31,31.31,31.31,31.31,31.31,31.31,85.06,86.36,95.26
Reserves,-243.41,-361.59,-444.91,-470.54,-219.75,-256.24,-100.41,27.61,41.77,54.63
Borrowings,671.59,686.95,686.96,686.96,435.82,323.61,122.0,10.4,46.63,44.8
Other Liabilities,73.61,69.05,76.75,94.7,95.77,97.63,151.73,96.43,90.66,132.5
Total,533.1,425.72,350.11,342.43,343.15,196.31,204.63,219.5,265.42,327.19
Net Block,250.17,232.25,227.36,221.52,208.02,67.37,65.91,70.35,83.38,98.42
Capital Work in Progress,,,,,,,,,6.27,4.93
Investments,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.11,0.11,0.39
Other Assets,282.77,193.31,122.59,120.75,134.97,128.78,138.56,149.04,175.66,223.45
Total,533.1,425.72,350.11,342.43,343.15,196.31,204.63,219.5,265.42,327.19
Receivables,104.95,31.74,16.44,12.42,18.73,6.8,8.09,16.26,24.77,56.54
Inventory,78.72,13.13,12.68,8.29,10.64,24.99,35.07,29.59,50.09,55.93
Cash & Bank,3.85,2.7,2.37,2.94,2.64,1.31,1.22,6.5,1.29,2.26
No. of Equity Shares,31308111.0,31308111.0,31308111.0,31308111.0,31308111.0,31308111.0,31308111.0,85063003.0,86363000.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,4.81,,,2.88,196.32,-11.75,105.33,24.15,-11.06,-1.32
Cash from Investing Activity,-2.71,,,-2.31,1.08,128.04,-5.84,-10.17,-26.6,-22.15
Cash from Financing Activity,-1.67,,,,-197.71,-117.63,-99.58,-8.7,32.45,24.44
Net Cash Flow,0.43,,,0.57,-0.3,-1.33,-0.09,5.28,-5.21,0.97
PRICE:,3.47,2.33,2.1,2.1,2.1,2.1,2.1,60.63,33.22,13.8
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,3.13,3.13,3.13,3.13,3.13,3.13,3.13,8.51,8.64,8.64
