COMPANY NAME,CENTURY PLYBOARDS (INDIA) LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,789.45,,,,,,,,,
Market Capitalization,17539.45,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1818.31,2023.94,2280.39,2317.03,2130.36,3027.02,3646.57,3885.95,4527.8,5397.18
Raw Material Cost,908.12,1042.21,1176.14,1129.76,1002.31,1606.36,1868.26,2085.17,2576.0,2827.44
Change in Inventory,13.03,56.23,25.2,-30.77,-38.23,104.28,-47.94,49.82,142.24,50.98
Power and Fuel,42.68,71.0,89.48,88.62,75.26,106.19,119.25,144.9,208.9,
Other Mfr. Exp,35.81,50.08,57.2,52.96,48.18,66.7,78.19,90.72,110.67,
Employee Cost,273.31,314.46,346.17,359.04,332.13,418.13,475.46,540.37,691.85,824.49
Selling and admin,192.39,202.93,242.75,243.54,243.69,335.17,378.3,440.37,511.24,
Other Expenses,66.49,67.98,88.58,132.6,55.05,66.31,96.21,113.33,84.25,1145.84
Other Income,21.99,7.41,3.48,12.69,5.51,21.48,23.4,43.82,-3.63,2.56
Depreciation,59.34,90.66,59.48,76.31,68.65,74.28,77.51,94.74,137.19,182.08
Interest,30.21,35.83,46.94,38.9,12.79,11.43,16.98,30.83,69.03,113.49
Profit before tax,244.98,212.43,202.33,177.22,259.58,468.21,511.87,439.16,277.28,357.38
Tax,51.5,46.29,53.46,51.94,68.36,155.04,127.81,113.84,91.2,89.05
Net profit,190.46,163.06,148.45,150.58,191.47,313.06,383.3,326.39,185.32,262.7
Dividend Amount,22.25,22.25,22.25,22.25,22.25,33.38,22.25,22.25,22.25,22.25
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,937.4,1060.72,1005.38,1183.62,1140.47,1198.33,1169.36,1385.53,1350.08,1492.21
Expenses,831.32,923.45,894.21,1072.31,1010.97,1063.76,1041.2,1210.91,1179.84,1314.84
Other Income,9.31,7.84,-4.94,-2.46,2.33,2.02,1.88,1.92,-5.91,4.67
Depreciation,22.91,25.38,33.63,33.6,34.0,35.97,36.7,47.58,48.31,49.49
Interest,8.32,10.21,14.95,17.22,17.9,18.96,22.19,31.09,31.25,28.96
Profit before tax,84.16,109.52,57.65,58.03,79.93,81.66,71.15,97.87,84.77,103.59
Tax,21.49,31.11,23.55,18.05,21.1,28.5,18.22,26.92,19.73,24.18
Net profit,63.06,79.54,34.43,39.96,58.45,52.47,51.86,68.9,63.87,78.08
Operating Profit,106.08,137.27,111.17,111.31,129.5,134.57,128.16,174.62,170.24,177.37
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25,22.25
Reserves,692.65,829.3,952.67,1068.36,1245.15,1534.59,1892.07,2189.43,2342.86,2587.64
Borrowings,611.43,575.43,531.92,295.07,164.7,236.43,326.75,771.04,1586.3,1764.88
Other Liabilities,257.18,296.16,303.85,273.87,379.32,437.15,474.96,569.43,616.8,728.76
Total,1583.51,1723.14,1810.69,1659.55,1811.42,2230.42,2716.03,3552.15,4568.21,5103.53
Net Block,312.06,655.04,842.54,784.67,761.93,776.48,1068.8,1913.41,2042.4,2812.61
Capital Work in Progress,299.08,126.43,26.84,16.0,28.49,176.6,236.21,266.63,729.87,179.58
Investments,,0.02,0.34,0.22,110.8,0.31,0.13,2.8,2.8,5.61
Other Assets,972.37,941.65,940.97,858.66,910.2,1277.03,1410.89,1369.31,1793.14,2105.73
Total,1583.51,1723.14,1810.69,1659.55,1811.42,2230.42,2716.03,3552.15,4568.21,5103.53
Receivables,342.18,357.2,295.68,256.84,302.68,352.44,390.34,416.79,500.01,617.62
Inventory,300.62,382.76,461.31,397.98,369.17,526.39,528.97,645.6,986.55,1087.08
Cash & Bank,67.22,21.12,26.24,24.75,90.84,261.03,278.21,67.14,49.14,59.01
No. of Equity Shares,223552990.0,223552990.0,223552990.0,223552990.0,223552990.0,223552990.0,223552990.0,223552990.0,223552990.0,
New Bonus Shares,,,,,,,,,,
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,220.5,304.6,265.82,400.13,370.52,276.18,437.87,251.68,-2.73,457.04
Cash from Investing Activity,-304.35,-250.37,-146.99,-24.55,-225.98,-319.85,-479.6,-578.12,-678.07,-424.9
Cash from Financing Activity,112.21,-100.31,-115.92,-377.4,-140.11,34.87,38.84,353.01,660.28,-22.14
Net Cash Flow,28.36,-46.08,2.91,-1.82,4.44,-8.8,-2.89,26.57,-20.53,10.0
PRICE:,259.5,326.6,208.3,110.95,318.25,716.3,466.2,640.05,708.95,701.5
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22
