COMPANY NAME,GREENLAM INDUSTRIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,260.95,,,,,,,,,
Market Capitalization,6658.08,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1075.8,1144.72,1280.71,1320.59,1199.59,1703.4,2025.96,2306.33,2569.34,3046.08
Raw Material Cost,563.08,600.67,706.42,705.96,606.47,976.46,1082.48,1155.53,1257.45,1459.59
Change in Inventory,-3.65,2.37,18.64,35.56,4.87,32.16,3.19,68.09,30.86,46.79
Power and Fuel,26.74,32.11,37.31,33.77,33.27,53.93,73.85,84.25,102.7,127.82
Other Mfr. Exp,17.36,15.3,15.69,16.58,15.7,34.42,36.56,45.92,56.43,68.16
Employee Cost,152.91,173.78,192.86,222.86,208.8,260.65,315.05,427.13,512.73,617.56
Selling and admin,164.01,172.26,140.17,149.24,118.61,192.21,254.92,326.02,354.23,438.16
Other Expenses,9.53,4.04,48.21,48.7,47.97,30.01,33.4,39.59,42.01,56.66
Other Income,2.32,1.6,1.36,3.63,-5.19,3.83,17.95,20.34,10.94,2.09
Depreciation,36.64,35.95,36.84,52.49,55.56,58.5,63.25,87.09,113.72,141.51
Interest,28.55,18.05,16.96,21.84,16.92,14.08,23.48,44.29,65.48,96.22
Profit before tax,75.65,96.53,106.25,108.34,95.97,119.13,164.11,184.94,106.39,89.28
Tax,25.98,31.9,29.14,21.66,22.27,28.55,35.6,46.93,38.04,33.26
Net profit,49.66,64.61,77.11,86.67,73.76,90.73,128.7,138.39,69.69,56.26
Dividend Amount,3.62,6.04,7.24,9.66,12.07,14.48,19.05,21.05,10.2,10.2
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,563.37,624.09,604.71,680.81,602.04,681.77,673.79,808.26,706.37,857.66
Expenses,492.23,540.56,540.69,599.38,538.5,617.77,629.71,703.87,638.14,749.44
Other Income,3.1,8.75,3.13,8.16,1.31,,2.45,1.22,-3.62,2.04
Depreciation,24.48,25.76,26.31,26.81,27.27,33.33,35.12,35.5,35.73,35.16
Interest,14.32,13.38,13.79,15.53,16.25,19.91,25.89,23.99,23.3,23.04
Profit before tax,35.44,53.14,27.05,47.25,21.33,10.76,-14.48,46.12,5.58,52.06
Tax,10.18,12.35,7.16,12.8,8.79,9.29,1.23,14.35,6.17,11.51
Net profit,25.3,40.97,20.27,34.62,12.71,2.08,-15.36,32.33,-0.17,39.46
Operating Profit,71.14,83.53,64.02,81.43,63.54,64.0,44.08,104.39,68.23,108.22
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,12.07,12.07,12.07,12.07,12.07,12.07,12.7,12.76,25.51,25.51
Reserves,286.07,344.06,416.34,488.6,561.41,642.29,945.4,1064.41,1101.38,1153.75
Borrowings,298.47,251.69,269.71,294.16,307.14,397.84,628.03,1109.3,1198.79,1160.41
Other Liabilities,194.25,215.5,229.26,308.93,291.02,323.91,449.0,539.44,576.06,659.49
Total,790.86,823.32,927.38,1103.76,1171.64,1376.11,2035.13,2725.91,2901.74,2999.16
Net Block,323.83,330.51,330.32,428.72,413.1,467.51,506.0,986.29,1749.47,1708.84
Capital Work in Progress,5.36,1.0,21.72,16.7,18.18,9.06,380.25,611.0,28.39,9.99
Investments,,,0.01,0.01,106.41,160.71,241.97,147.43,55.98,52.42
Other Assets,461.67,491.81,575.33,658.33,633.95,738.83,906.91,981.19,1067.9,1227.91
Total,790.86,823.32,927.38,1103.76,1171.64,1376.11,2035.13,2725.91,2901.74,2999.16
Receivables,158.29,170.55,176.62,137.8,135.11,129.02,142.7,151.47,155.1,218.68
Inventory,228.05,256.29,307.55,371.03,378.11,503.43,513.49,609.1,664.71,763.93
Cash & Bank,7.85,10.4,10.62,30.74,18.73,15.78,16.05,32.93,42.61,63.97
No. of Equity Shares,24136374.0,24136374.0,24136374.0,24136374.0,24136374.0,120681870.0,126993000.0,127573851.0,255147702.0,255147702.0
New Bonus Shares,,,,,,,,,127573851.0,
Face value,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,185.36,108.74,64.11,96.26,213.04,71.16,169.29,193.64,210.44,292.38
Cash from Investing Activity,-22.37,-37.59,-57.11,-53.8,-154.17,-136.31,-535.18,-526.74,-166.86,-79.97
Cash from Financing Activity,-160.38,-69.27,-6.08,-22.06,-70.87,62.22,366.1,349.96,-33.86,-191.05
Net Cash Flow,2.61,1.88,0.92,20.41,-12.0,-2.93,0.21,16.86,9.72,21.36
PRICE:,65.8,119.78,94.8,49.71,93.73,181.73,149.98,252.78,235.85,204.26
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,24.15,24.15,24.15,24.15,24.15,24.14,25.4,25.51,25.51,25.51
