COMPANY NAME,SHEELA FOAM LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,806.95,,,,,,,,,
Market Capitalization,8812.16,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1679.71,1888.98,2066.13,2121.46,2437.19,2865.58,2873.32,2982.31,3439.2,3820.84
Raw Material Cost,923.88,1061.2,1153.89,1026.23,1323.94,1811.2,1722.91,1638.03,1985.49,2084.73
Change in Inventory,13.89,15.53,11.67,1.44,6.0,9.78,12.09,-59.41,58.2,11.64
Power and Fuel,11.43,11.79,12.79,13.01,12.62,15.68,17.67,22.62,23.9,28.66
Other Mfr. Exp,116.66,123.78,115.77,146.69,115.75,132.26,140.01,154.36,225.44,216.1
Employee Cost,153.15,162.65,177.32,220.35,231.7,255.48,283.51,349.27,434.5,499.41
Selling and admin,316.13,375.89,455.86,436.07,360.34,300.59,367.91,425.53,527.82,544.6
Other Expenses,-23.77,-47.37,-48.85,-19.86,34.69,44.92,55.24,29.0,47.8,63.71
Other Income,23.13,20.83,27.55,28.0,50.24,78.88,85.62,136.25,154.04,60.3
Depreciation,30.39,35.24,39.53,59.04,72.87,80.78,89.62,115.79,182.61,178.58
Interest,10.97,8.67,9.62,13.0,17.68,16.97,21.07,68.62,120.55,95.15
Profit before tax,177.89,193.49,189.42,256.37,323.84,296.36,273.09,255.93,103.33,181.84
Tax,52.33,59.78,55.68,62.08,83.69,77.63,72.25,61.42,14.41,42.38
Net profit,125.55,133.71,133.74,193.43,237.72,217.33,198.93,182.44,89.35,159.61
Dividend Amount,,,,,,,,,,10.92
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,878.89,845.15,809.76,812.71,967.11,849.61,821.41,874.94,1074.43,1050.06
Expenses,802.71,764.61,749.91,742.38,879.04,822.88,746.18,787.81,960.04,933.44
Other Income,31.84,70.32,61.12,31.83,8.03,60.53,9.74,2.69,15.66,34.11
Depreciation,29.92,41.34,39.51,47.87,45.35,49.88,46.12,49.52,47.34,35.6
Interest,25.2,26.98,28.23,28.28,28.76,35.28,29.17,28.07,17.03,20.88
Profit before tax,52.9,82.54,53.23,26.01,21.99,2.1,9.68,12.23,65.68,94.25
Tax,14.44,14.37,6.64,5.86,5.48,-10.41,4.85,4.62,16.11,16.8
Net profit,30.77,64.62,46.01,19.94,16.71,13.08,6.54,9.66,52.13,91.28
Operating Profit,76.18,80.54,59.85,70.33,88.07,26.73,75.23,87.13,114.39,116.62
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,24.39,24.39,24.39,24.39,24.39,24.39,48.78,54.35,54.59,54.6
Reserves,439.26,572.87,705.71,895.35,1159.9,1368.17,1549.4,2865.84,2962.07,3197.36
Borrowings,59.35,47.93,30.55,310.14,334.23,466.47,571.1,1493.11,1462.35,907.98
Other Liabilities,395.35,397.51,401.15,414.0,550.84,496.42,532.65,908.54,881.17,948.84
Total,918.35,1042.7,1161.8,1643.88,2069.36,2355.45,2701.93,5321.84,5360.18,5108.78
Net Block,318.42,348.38,411.68,850.75,893.89,883.04,865.0,3128.59,3080.33,3197.63
Capital Work in Progress,36.21,52.23,0.74,17.97,32.56,119.89,287.49,165.62,131.24,32.19
Investments,,98.05,317.56,231.43,410.61,618.21,768.36,877.98,872.71,587.88
Other Assets,563.72,544.04,431.82,543.73,732.3,734.31,781.08,1149.65,1275.9,1291.08
Total,918.35,1042.7,1161.8,1643.88,2069.36,2355.45,2701.93,5321.84,5360.18,5108.78
Receivables,138.81,147.31,152.16,215.77,302.15,269.39,281.98,363.77,345.61,441.53
Inventory,146.53,172.58,187.14,226.86,315.31,314.46,331.33,339.37,349.91,392.6
Cash & Bank,209.39,158.24,20.3,44.62,58.1,41.13,42.54,48.95,47.48,36.39
No. of Equity Shares,48782808.0,48782808.0,48782808.0,48782808.0,48782808.0,48782808.0,97565616.0,108697341.0,109194142.0,109198924.0
New Bonus Shares,16260936.0,,,,,,,,,
Face value,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,122.02,133.72,137.87,157.3,253.87,197.15,217.56,405.95,247.39,409.32
Cash from Investing Activity,1.98,-80.07,-245.68,-287.14,-208.27,-306.38,-272.22,-2258.49,-23.84,298.27
Cash from Financing Activity,-66.7,-20.1,-27.0,157.1,-32.35,92.68,56.12,1854.29,-226.32,-715.72
Net Cash Flow,57.3,33.55,-134.82,27.27,13.26,-16.55,1.46,1.75,-2.77,-8.13
PRICE:,562.6,746.03,629.75,642.95,988.53,1737.4,993.9,943.7,710.0,465.05
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,9.76,9.76,9.76,9.76,9.76,9.76,9.76,10.87,10.87,10.92
