,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,808,"1,048","1,059","1,357","1,405","1,515","1,262","1,056","1,141","1,202","1,335","1,459","1,430"
Expenses,487,605,661,827,935,843,766,713,866,786,806,861,945
Operating Profit,320,443,398,530,470,672,496,343,275,415,529,599,485
OPM %,40%,42%,38%,39%,33%,44%,39%,32%,24%,35%,40%,41%,34%
Other Income,4,1,2,1,5,1,2,2,3,2,3,8,4
Interest,18,26,36,56,56,75,84,80,83,93,127,134,129
Depreciation,9,11,13,17,23,26,27,29,30,31,32,33,35
Profit before tax,297,407,351,459,397,572,387,236,164,294,373,440,325
Tax %,26%,25%,26%,26%,26%,26%,27%,26%,30%,28%,28%,27%,29%
Net Profit,221,304,260,340,293,423,281,175,114,212,269,320,231
EPS in Rs,2.63,3.63,3.10,4.05,3.25,4.70,3.12,1.93,1.26,2.33,2.96,3.52,2.53
Raw PDF,,,,,,,,,,,,,
