,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM
Sales,33,74,110,138,196,209,383,674,820,"1,119","1,138","1,227","1,304"
Expenses,25,60,93,110,152,151,278,447,486,646,756,734,772
Operating Profit,8,14,17,29,44,58,104,227,334,473,381,493,532
OPM %,24%,19%,16%,21%,22%,28%,27%,34%,41%,42%,34%,40%,41%
Other Income,0,0,0,2,1,0,1,9,13,5,21,20,20
Interest,2,3,3,5,7,10,15,25,36,71,68,104,112
Depreciation,1,2,2,2,5,4,4,9,11,12,14,14,13
Profit before tax,5,9,12,23,34,44,86,202,300,396,320,395,426
Tax %,27%,33%,35%,33%,34%,23%,21%,23%,24%,24%,23%,25%,
Net Profit,3,6,8,16,22,34,67,157,229,302,247,298,320
EPS in Rs,1.55,2.66,3.43,1.25,1.80,2.06,4.14,9.63,14.08,15.79,11.30,13.60,14.62
Dividend Payout %,0%,0%,0%,0%,0%,5%,9%,12%,12%,11%,12%,7%,
