,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,208,276,284,351,325,366,259,188,273,265,305,384,350
Expenses,126,151,148,221,220,222,164,150,163,142,173,257,201
Operating Profit,82,125,136,131,105,144,95,37,110,123,133,127,148
OPM %,39%,45%,48%,37%,32%,39%,37%,20%,40%,47%,43%,33%,42%
Other Income,1,2,2,1,7,4,6,4,4,6,5,5,4
Interest,12,13,24,22,14,16,18,19,21,27,27,29,29
Depreciation,2,3,3,4,3,3,3,5,3,3,4,4,3
Profit before tax,68,111,111,107,94,129,80,17,89,99,107,100,120
Tax %,25%,28%,25%,17%,23%,24%,25%,4%,23%,26%,25%,25%,25%
Net Profit,51,80,83,89,73,98,60,16,69,73,81,75,91
EPS in Rs,3.13,4.87,5.08,4.62,3.60,4.47,2.75,0.74,3.14,3.35,3.69,3.43,4.15
Raw PDF,,,,,,,,,,,,,
