,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,23,23,23,23,23,23,23,23,21,21,21,42
Reserves,517,544,572,595,658,659,750,903,912,"1,075","1,196","1,262"
Borrowings,68,182,333,523,754,221,494,497,944,"1,467","1,695","2,036"
Other Liabilities,382,613,653,672,916,975,"1,120","1,519","1,431","2,184","2,009","2,404"
Total Liabilities,990,"1,361","1,581","1,813","2,350","1,877","2,387","2,942","3,307","4,747","4,921","5,744"
Fixed Assets,22,22,43,37,35,69,64,114,130,135,127,122
CWIP,0,0,0,0,0,1,0,1,10,27,45,79
Investments,41,43,88,136,195,86,117,171,57,70,99,174
Other Assets,927,"1,296","1,450","1,641","2,120","1,720","2,207","2,657","3,110","4,513","4,650","5,368"
Total Assets,990,"1,361","1,581","1,813","2,350","1,877","2,387","2,942","3,307","4,747","4,921","5,744"
