COMPANY NAME,BODAL CHEMICALS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,155.62,,,,,,,,,
Market Capitalization,1959.94,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1233.48,1142.22,1423.5,1374.82,1226.43,2055.25,1574.28,1394.62,1748.43,2012.24
Raw Material Cost,807.41,714.73,962.55,879.08,828.19,1235.79,832.14,691.94,936.3,1075.24
Change in Inventory,10.08,9.05,76.5,-4.19,33.23,84.28,-63.25,-7.55,50.37,-34.86
Power and Fuel,55.19,65.93,82.37,81.94,76.23,255.45,196.95,247.88,293.16,293.42
Other Mfr. Exp,66.0,76.24,99.44,107.34,104.16,161.09,126.66,124.14,153.12,162.5
Employee Cost,41.96,47.27,63.72,87.19,77.82,110.55,94.93,102.88,114.95,128.44
Selling and admin,36.82,37.09,41.65,50.84,47.5,106.01,79.11,64.11,77.33,87.05
Other Expenses,9.79,13.68,14.12,26.23,39.02,50.84,47.89,45.44,53.3,62.54
Other Income,15.03,7.55,13.35,10.06,15.78,-1.66,11.61,8.79,-1.24,34.63
Depreciation,28.9,12.09,21.25,28.4,30.49,46.62,53.09,60.49,68.51,69.63
Interest,8.7,5.31,9.08,19.03,16.65,29.48,41.03,54.25,81.58,78.82
Profit before tax,203.82,186.48,219.17,100.64,55.38,142.04,50.84,4.73,19.31,54.37
Tax,70.89,61.89,76.99,14.6,15.62,43.39,12.8,-1.74,0.81,6.55
Net profit,132.91,122.56,143.2,87.16,41.98,104.23,38.03,6.47,18.5,47.83
Dividend Amount,8.73,9.78,9.78,9.79,9.79,9.8,1.26,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,393.59,421.96,428.63,443.47,450.87,454.2,480.45,489.57,588.02,709.04
Expenses,368.48,387.5,395.97,398.97,403.61,406.59,457.46,467.53,519.46,640.1
Other Income,5.45,2.46,5.07,0.65,2.35,4.05,19.9,15.09,2.59,6.15
Depreciation,17.01,17.03,17.2,17.26,17.01,17.51,17.42,17.46,17.25,17.4
Interest,15.6,21.33,19.54,19.71,21.0,21.63,19.92,19.44,17.83,18.57
Profit before tax,-2.05,-1.44,0.99,8.18,11.6,12.52,5.55,0.23,36.07,39.12
Tax,-4.1,-0.27,1.23,2.76,-2.91,2.99,-0.44,,4.01,8.75
Net profit,2.04,-1.18,-0.24,5.42,14.5,9.53,5.99,0.24,32.06,30.38
Operating Profit,25.11,34.46,32.66,44.5,47.26,47.61,22.99,22.04,68.56,68.94
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,21.82,24.44,24.44,24.47,24.47,24.5,25.13,25.16,25.19,25.19
Reserves,340.87,672.52,804.92,906.88,950.84,1027.86,1052.58,1057.08,1079.66,1132.36
Borrowings,150.94,181.05,171.36,257.34,453.69,675.68,760.17,903.8,910.91,813.19
Other Liabilities,193.04,193.64,289.57,266.67,312.27,385.18,282.57,294.5,323.56,365.6
Total,706.67,1071.65,1290.29,1455.36,1741.27,2113.22,2120.45,2280.54,2339.32,2336.34
Net Block,221.5,436.55,608.56,655.94,796.83,816.67,967.17,1313.57,1301.33,1238.85
Capital Work in Progress,9.17,18.7,25.51,6.86,14.45,69.53,193.47,67.74,60.77,66.86
Investments,17.38,16.93,6.17,3.19,6.44,0.27,0.19,13.22,0.21,0.12
Other Assets,458.62,599.47,650.05,789.37,923.55,1226.75,959.62,886.01,977.01,1030.51
Total,706.67,1071.65,1290.29,1455.36,1741.27,2113.22,2120.45,2280.54,2339.32,2336.34
Receivables,188.29,283.64,329.75,454.16,467.67,589.63,420.28,380.81,398.91,438.63
Inventory,130.82,113.31,207.63,219.05,307.21,444.63,292.53,267.25,337.24,323.59
Cash & Bank,16.71,5.88,9.8,19.51,16.29,15.15,18.68,33.24,36.06,21.29
No. of Equity Shares,109107370.0,122188765.0,122188765.0,122330165.0,122330165.0,122481665.0,125623465.0,125789565.0,125944065.0,125944065.0
New Bonus Shares,,,,,,,,,,
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,103.64,7.08,185.98,9.56,-13.02,-13.52,289.9,204.25,113.78,175.97
Cash from Investing Activity,-67.26,-256.27,-128.15,-78.79,-167.66,-170.29,-315.05,-278.11,-40.8,8.81
Cash from Financing Activity,-22.71,236.22,-51.21,75.91,178.12,181.2,32.66,80.98,-73.46,-191.46
Net Cash Flow,13.67,-12.97,6.61,6.68,-2.55,-2.61,7.5,7.11,-0.47,-6.68
PRICE:,160.5,120.6,126.75,42.4,90.1,100.95,57.7,73.45,58.37,51.2
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,10.91,12.22,12.22,12.23,12.23,12.25,12.56,12.58,12.59,12.59
