COMPANY NAME,SHREE HARI CHEMICALS EXPORT LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,247.65,,,,,,,,,
Market Capitalization,156.34,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,,,138.33,141.2,184.5
Raw Material Cost,,,,,,,,73.41,82.83,125.9
Change in Inventory,,,,,,,,-12.07,3.38,0.21
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,,,,,,27.6,28.59,
Employee Cost,,,,,,,,13.66,14.74,17.32
Selling and admin,,,,,,,,5.98,4.71,
Other Expenses,,,,,,,,1.86,3.13,34.91
Other Income,,,,,,,,4.36,0.87,3.13
Depreciation,,,,,,,,2.28,2.15,2.35
Interest,,,,,,,,2.62,2.37,2.16
Profit before tax,,,,,,,,3.21,6.93,5.2
Tax,,,,,,,,0.92,1.83,1.07
Net profit,,,,,,,,2.29,5.1,4.12
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,32.49,30.87,36.28,39.02,35.03,24.32,74.49,44.49,41.22,54.91
Expenses,31.13,29.61,32.45,34.6,33.98,25.64,69.21,42.32,40.77,46.43
Other Income,0.25,0.13,0.38,0.24,0.13,0.21,0.56,0.29,2.07,0.72
Depreciation,0.58,0.5,0.5,0.54,0.61,0.55,0.55,0.55,0.7,0.71
Interest,0.58,0.62,0.64,0.6,0.51,0.56,0.5,0.56,0.54,0.54
Profit before tax,0.45,0.27,3.07,3.52,0.06,-2.22,4.79,1.35,1.28,7.95
Tax,0.17,0.07,0.83,0.89,0.04,-0.55,1.26,0.13,0.23,2.02
Net profit,0.28,0.21,2.24,2.63,0.02,-1.67,3.53,1.22,1.04,5.92
Operating Profit,1.36,1.26,3.83,4.42,1.05,-1.32,5.28,2.17,0.45,8.48
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,,,4.45,4.93,5.54
Reserves,,,,,,,,15.84,27.05,38.76
Borrowings,,,,,,,,26.83,26.19,33.21
Other Liabilities,,,,,,,,24.44,28.32,29.61
Total,,,,,,,,71.56,86.49,107.12
Net Block,,,,,,,,17.57,16.71,20.92
Capital Work in Progress,,,,,,,,0.67,4.7,11.3
Investments,,,,,,,,0.74,0.95,2.17
Other Assets,,,,,,,,52.58,64.13,72.73
Total,,,,,,,,71.56,86.49,107.12
Receivables,,,,,,,,21.8,28.17,24.38
Inventory,,,,,,,,8.7,12.27,12.76
Cash & Bank,,,,,,,,3.86,0.66,7.61
No. of Equity Shares,,,,,,,,4446300.0,4932400.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,,,9.96,-0.8,6.63
Cash from Investing Activity,,,,,,,,-1.47,-6.05,-15.51
Cash from Financing Activity,,,,,,,,-5.31,3.69,12.82
Net Cash Flow,,,,,,,,3.17,-3.15,3.95
PRICE:,,,,,,,,79.02,153.0,93.5
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,0.44,0.49,0.55
