COMPANY NAME,ALLCARGO LOGISTICS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,8.03,,,,,,,,,
Market Capitalization,1202.71,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,5583.36,6049.19,6894.86,7346.24,10498.1,19062.06,18050.77,12968.68,16021.53,2058.0
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,-3.35,-0.53,-0.36,,,
Power and Fuel,32.89,30.26,24.75,26.38,35.29,17.93,20.39,23.54,23.78,
Other Mfr. Exp,3785.04,4316.36,4990.23,5369.41,8075.71,15640.44,14354.83,9913.27,12760.03,
Employee Cost,943.29,931.46,1071.02,1113.63,1316.4,1615.57,1907.13,1944.07,2067.05,213.0
Selling and admin,306.46,312.09,312.35,282.66,346.92,438.99,527.36,500.81,547.11,
Other Expenses,42.37,66.77,39.6,39.01,77.34,67.34,100.5,116.29,93.2,1612.0
Other Income,45.66,27.37,37.16,96.58,-34.67,274.13,118.72,233.27,87.79,37.0
Depreciation,166.17,159.06,155.93,231.6,306.09,237.57,278.01,400.02,428.73,204.0
Interest,37.38,35.34,36.06,74.69,143.25,96.21,85.57,139.54,160.88,62.0
Profit before tax,315.42,225.22,302.08,305.44,159.08,1221.61,895.34,164.41,28.54,4.0
Tax,77.63,51.26,54.24,71.1,63.97,257.02,242.13,24.41,-20.64,-4.0
Net profit,231.82,171.35,241.96,223.0,172.9,925.72,629.59,149.7,35.6,8.0
Dividend Amount,49.14,49.14,86.0,73.71,49.14,73.71,79.85,98.28,206.39,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,3211.59,3347.56,3762.69,483.0,519.0,513.0,491.0,537.0,516.0,514.0
Expenses,3111.31,3249.13,3632.37,434.0,457.0,470.0,440.0,475.0,455.0,454.0
Other Income,45.96,20.18,13.37,6.0,26.0,22.0,12,-1.0,4.0,23.0
Depreciation,104.25,106.03,103.99,56.0,46.0,48.0,63.0,51.0,51.0,52.0
Interest,38.21,30.63,36.19,18.0,18.0,18.0,17.0,15.0,16.0,15.0
Profit before tax,3.78,-18.05,3.51,-19.0,24.0,-1.0,-17.0,-5.0,-2.0,16.0
Tax,-13.58,-5.59,-0.77,-33.0,30.0,-26.0,-5.0,-14.0,-4.0,-4.0
Net profit,10.95,-5.64,5.37,17.0,-6.0,25.0,-9.0,9.0,2.0,20.0
Operating Profit,100.28,98.43,130.32,49.0,62.0,43.0,51.0,62.0,61.0,60.0
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,49.14,49.14,49.14,49.14,49.14,49.14,49.14,196.56,196.56,300.0
Reserves,1743.08,1915.24,1949.64,2096.56,2234.4,3112.62,2765.08,2325.07,2226.0,274.0
Borrowings,589.64,474.16,598.24,1603.34,2065.37,2317.31,1179.5,1846.14,2036.32,693.0
Other Liabilities,870.31,966.36,1317.35,1551.9,2964.36,4124.93,3237.13,2795.71,3010.27,469.0
Total,3252.17,3404.9,3914.37,5300.94,7313.27,9604.0,7230.85,7163.48,7469.15,1736.0
Net Block,1539.56,1560.38,1596.66,1967.99,3164.56,3491.76,2131.88,2834.35,2716.17,785.0
Capital Work in Progress,75.32,9.97,165.17,269.25,2.59,2.88,15.4,46.82,28.73,1.0
Investments,290.87,324.94,239.38,509.76,324.06,566.64,581.3,243.87,171.17,
Other Assets,1346.42,1509.61,1913.16,2553.94,3822.06,5542.72,4502.27,4038.44,4553.08,950.0
Total,3252.17,3404.9,3914.37,5300.94,7313.27,9604.0,7230.85,7163.48,7469.15,1736.0
Receivables,752.21,838.63,942.15,1150.09,2175.7,3076.26,2038.05,2227.68,2338.35,429.0
Inventory,10.14,9.58,8.88,7.76,9.85,7.93,3.0,3.0,,
Cash & Bank,187.3,244.65,240.64,587.8,381.22,644.35,1308.76,558.79,685.08,131.0
No. of Equity Shares,245695524.0,245695524.0,245695524.0,245695524.0,245695524.0,245695524.0,245695524.0,982782096.0,982782096.0,
New Bonus Shares,,,,,,,,737086572.0,,
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,358.52,308.24,324.44,319.46,329.75,850.34,1582.76,-145.73,261.08,315.0
Cash from Investing Activity,-285.14,-18.27,-294.51,-997.97,43.89,-563.28,-382.02,-316.51,92.6,56.0
Cash from Financing Activity,-84.03,-222.34,-74.63,738.27,-316.08,-18.79,-856.61,-46.47,-187.0,-373.0
Net Cash Flow,-10.65,67.63,-44.7,59.76,57.56,268.27,344.13,-508.71,166.68,-2.0
PRICE:,11.42,9.99,7.82,3.97,8.38,24.33,24.14,24.94,9.96,7.18
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,98.28,149.78
