COMPANY NAME,SMRUTHI ORGANICS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,121.85,,,,,,,,,
Market Capitalization,139.47,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,79.35,97.34,137.41,131.07,126.5,133.37,141.04,127.64,126.01,101.97
Raw Material Cost,49.12,58.51,93.34,78.09,63.68,82.14,95.89,75.01,68.0,45.26
Change in Inventory,0.17,-2.27,2.8,-5.39,-2.78,2.08,4.42,2.66,-0.61,-0.1
Power and Fuel,8.36,9.67,10.42,10.63,8.86,8.8,9.43,10.03,11.55,
Other Mfr. Exp,0.51,1.08,2.0,1.84,1.87,2.1,2.27,2.55,2.37,
Employee Cost,7.95,9.27,12.86,13.57,15.64,13.73,15.82,17.16,17.35,17.56
Selling and admin,1.45,2.23,3.02,3.29,2.86,3.62,4.65,5.99,6.28,
Other Expenses,2.18,11.05,1.98,3.02,2.28,6.63,7.62,7.61,7.67,26.02
Other Income,0.98,0.21,0.88,4.42,0.56,0.58,0.11,0.08,0.09,-0.34
Depreciation,3.97,4.07,4.14,4.39,3.95,4.26,4.57,5.65,5.5,6.35
Interest,4.37,4.09,3.58,3.18,1.09,0.98,0.82,1.41,1.87,1.68
Profit before tax,2.59,-4.69,9.75,12.09,24.05,13.77,4.5,4.97,4.9,4.66
Tax,1.01,-1.47,2.89,3.65,6.95,3.39,0.36,1.38,1.34,1.24
Net profit,1.58,-3.21,6.86,8.45,17.11,10.38,4.13,3.59,3.56,3.43
Dividend Amount,,,0.76,1.15,3.44,3.44,2.29,1.72,1.72,1.72
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,23.48,39.66,27.27,29.39,31.25,38.09,18.99,31.6,22.29,29.09
Expenses,24.66,35.58,26.82,26.5,27.08,33.41,18.76,26.59,18.29,25.3
Other Income,,0.06,,0.01,,0.08,0.09,0.01,-0.44,0.01
Depreciation,1.45,1.59,1.29,1.33,1.37,1.5,1.41,1.51,1.67,1.75
Interest,0.32,0.37,0.41,0.44,0.51,0.52,0.46,0.66,0.25,0.31
Profit before tax,-2.95,2.18,-1.25,1.13,2.29,2.74,-1.55,2.85,1.64,1.74
Tax,-0.65,0.67,-0.33,0.36,0.81,0.51,-0.45,0.79,0.24,0.67
Net profit,-2.29,1.52,-0.92,0.78,1.48,2.23,-1.1,2.06,1.4,1.07
Operating Profit,-1.18,4.08,0.45,2.89,4.17,4.68,0.23,5.01,4.0,3.79
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,3.82,3.82,3.82,3.82,11.45,11.45,11.45,11.45,11.45,11.45
Reserves,28.46,25.25,32.56,38.65,49.05,55.72,56.71,58.17,60.18,62.07
Borrowings,32.67,31.42,27.67,15.66,9.9,2.83,5.7,11.7,16.8,8.36
Other Liabilities,20.5,24.71,36.86,29.62,21.42,17.61,31.79,36.87,23.31,21.67
Total,85.45,85.2,100.91,87.75,91.82,87.61,105.65,118.19,111.74,103.55
Net Block,29.73,30.27,29.94,31.7,31.0,33.33,37.04,39.99,44.97,46.89
Capital Work in Progress,1.3,0.53,1.69,0.19,0.84,0.8,1.99,1.43,2.55,2.97
Investments,0.05,0.05,0.05,0.05,0.05,0.05,0.12,0.13,0.16,0.2
Other Assets,54.37,54.35,69.23,55.81,59.93,53.43,66.5,76.64,64.06,53.49
Total,85.45,85.2,100.91,87.75,91.82,87.61,105.65,118.19,111.74,103.55
Receivables,21.08,25.26,36.39,24.57,21.35,28.5,36.96,41.03,32.47,19.3
Inventory,19.44,21.05,22.7,17.09,18.13,19.93,23.99,29.78,28.31,28.35
Cash & Bank,1.57,1.73,4.16,3.57,16.14,0.57,1.75,0.57,0.51,2.27
No. of Equity Shares,3815430.0,3815430.0,3815430.0,3815430.0,11446290.0,11446290.0,11446290.0,11446290.0,11446290.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,9.17,5.14,12.07,21.43,22.82,2.17,12.11,4.4,9.98,22.26
Cash from Investing Activity,-0.48,-3.21,-4.5,-4.52,-3.4,7.15,-10.25,-7.16,-11.42,-8.92
Cash from Financing Activity,-8.68,-1.77,-5.15,-17.49,-6.86,-12.11,-1.52,2.66,1.4,-12.07
Net Cash Flow,0.02,0.16,2.43,-0.58,12.57,-2.79,0.34,-0.11,-0.04,1.27
PRICE:,,33.0,48.33,23.97,222.3,223.95,128.5,146.1,110.25,96.5
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14,1.14
