COMPANY NAME,ALICON CASTALLOY LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,729.35,,,,,,,,,
Market Capitalization,1197.0,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,771.64,1013.49,1188.9,957.19,848.57,1078.05,1401.16,1559.37,1720.36,1775.73
Raw Material Cost,389.5,513.4,645.82,463.22,393.46,550.17,722.12,749.31,903.35,970.71
Change in Inventory,4.55,13.87,46.32,-24.44,7.7,4.69,10.24,-6.54,5.58,20.44
Power and Fuel,54.79,71.57,77.53,66.88,56.62,66.41,91.9,86.1,87.71,96.14
Other Mfr. Exp,79.97,113.95,129.81,96.65,116.09,154.31,203.21,227.49,238.72,219.7
Employee Cost,118.38,154.1,165.04,143.04,135.04,138.1,164.9,199.99,203.16,212.45
Selling and admin,47.9,65.46,69.76,56.04,70.84,60.5,75.18,94.11,97.71,95.59
Other Expenses,0.56,0.7,0.81,1.03,1.07,0.62,0.42,0.5,0.82,1.11
Other Income,3.75,9.47,3.16,2.79,2.86,3.16,3.24,3.78,3.43,-4.74
Depreciation,27.3,32.21,38.09,44.03,48.79,53.09,63.56,77.52,91.27,105.83
Interest,26.07,29.87,35.34,39.34,36.14,30.12,31.24,40.69,44.52,42.77
Profit before tax,35.47,55.57,76.18,25.31,1.08,32.58,62.11,80.9,62.11,47.13
Tax,10.8,16.89,23.24,8.28,3.01,8.4,10.69,19.53,16.05,12.69
Net profit,24.68,38.68,52.95,17.03,-1.93,24.18,51.42,61.37,46.06,34.44
Dividend Amount,5.21,8.35,9.55,1.72,,3.63,10.08,12.09,8.94,8.17
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,419.3,439.98,463.75,392.1,424.53,417.95,428.18,430.09,494.93,578.01
Expenses,361.69,382.45,407.72,357.84,377.86,368.85,373.41,386.01,449.25,523.77
Other Income,1.47,0.74,0.77,0.83,1.08,-1.81,0.72,-1.92,0.52,1.06
Depreciation,20.85,22.44,23.0,23.5,22.34,24.88,26.64,27.42,26.89,26.84
Interest,10.84,10.35,11.29,10.54,12.34,9.82,9.83,9.13,9.4,10.2
Profit before tax,27.39,25.48,22.51,1.05,13.07,12.59,19.02,5.61,9.91,18.26
Tax,6.85,6.44,5.7,0.27,3.63,3.28,5.13,2.31,1.97,6.82
Net profit,20.54,19.04,16.81,0.78,9.43,9.31,13.89,3.3,7.94,11.45
Operating Profit,57.61,57.53,56.03,34.26,46.67,49.1,54.77,44.08,45.68,54.24
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,6.13,6.68,6.82,6.89,6.96,8.06,8.06,8.06,8.13,8.17
Reserves,155.05,245.73,301.44,308.05,310.04,440.93,479.8,547.15,585.14,620.13
Borrowings,247.74,268.38,310.15,356.52,354.09,264.62,300.86,330.79,365.58,354.4
Other Liabilities,176.0,260.33,255.81,229.95,235.85,294.58,298.85,344.2,336.26,458.89
Total,584.92,781.12,874.22,901.41,906.94,1008.19,1087.57,1230.2,1295.11,1441.59
Net Block,258.37,293.11,337.05,370.17,365.9,388.4,407.85,474.58,524.58,570.03
Capital Work in Progress,11.64,5.19,21.18,23.47,27.77,26.21,25.07,22.12,63.85,77.12
Investments,0.01,0.01,0.01,0.01,0.01,0.01,2.76,2.76,4.87,4.87
Other Assets,314.9,482.81,515.98,507.76,513.26,593.57,651.89,730.74,701.81,789.57
Total,584.92,781.12,874.22,901.41,906.94,1008.19,1087.57,1230.2,1295.11,1441.59
Receivables,183.72,322.08,339.71,338.27,323.3,402.53,440.93,523.09,497.83,534.68
Inventory,64.87,89.68,119.67,105.97,125.5,131.0,152.84,135.92,134.0,160.94
Cash & Bank,15.76,16.18,12.44,9.16,18.87,10.97,11.95,12.04,12.34,19.8
No. of Equity Shares,12256222.0,13365510.0,13640121.0,13775121.0,13910121.0,16111840.0,16111840.0,16111840.0,16261840.0,16336840.0
New Bonus Shares,,,,,,,,,,
Face value,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,35.19,40.81,101.59,57.08,112.16,77.18,86.85,157.74,204.15,238.86
Cash from Investing Activity,-60.11,-62.71,-96.25,-67.84,-46.72,-71.73,-81.66,-106.95,-180.98,-141.08
Cash from Financing Activity,23.03,22.15,-6.64,6.38,-54.58,-8.99,-4.22,-51.49,-22.9,-90.34
Net Cash Flow,-1.89,0.25,-1.3,-4.39,10.86,-3.54,0.98,-0.7,0.27,7.44
PRICE:,451.35,578.85,585.9,176.1,424.25,660.9,676.8,823.85,658.8,586.3
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.23,1.34,1.36,1.38,1.39,1.61,1.61,1.61,1.63,1.63
