COMPANY NAME,STEEL STRIPS WHEELS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,372.4,,,,,,,,,
Market Capitalization,5856.55,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,3559.95,4040.54,4357.1,4429,5182.8
Raw Material Cost,,,,,,2221.65,2688.31,2854.32,2878.09,3463.18
Change in Inventory,,,,,,34.51,24.67,18.27,19.89,64.63
Power and Fuel,,,,,,82.4,103.01,126.01,127.94,141.12
Other Mfr. Exp,,,,,,305.56,306.26,317.97,326.81,421.79
Employee Cost,,,,,,235.89,283.9,358.18,380.04,429.96
Selling and admin,,,,,,280.79,214.93,245.3,239.84,258.74
Other Expenses,,,,,,15.39,25.95,10.03,11.83,22.41
Other Income,,,,,,13.03,12.35,486.76,3.03,3.18
Depreciation,,,,,,76.87,80.44,104.22,111.13,136.05
Interest,,,,,,85.42,83.54,102.67,117.24,123.22
Profit before tax,,,,,,303.52,291.22,743.43,259,254.14
Tax,,,,,,98.06,97.42,68.75,63.71,63.93
Net profit,,,,,,205.46,193.79,674.68,195.28,190.22
Dividend Amount,,,,,,11.71,15.65,15.69,19.61,23.58
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,1068.67,1025.29,1095.1,1074.68,1233.93,1186.78,1200.57,1320.81,1474.63,1509.82
Expenses,958.8,912.28,975.82,956.99,1099.82,1065.25,1089.17,1193.41,1324.84,1346.87
Other Income,477.9,1.34,0.58,0.37,1.01,0.83,0.92,0.32,1.21,1.04
Depreciation,36.8,28.52,27.54,27.46,27.61,32.43,32.3,34.57,36.75,38.25
Interest,28,31.13,30.39,26.25,29.48,28.8,31.95,31.5,30.96,32.26
Profit before tax,522.97,54.7,61.93,64.35,78.03,61.13,48.07,61.65,83.29,93.48
Tax,7.4,13.88,15.81,16.63,17.37,13.88,12.56,15.04,22.44,24.03
Net profit,515.56,40.81,46.11,47.71,60.66,47.24,35.52,46.61,60.85,69.45
Operating Profit,109.87,113.01,119.28,117.69,134.11,121.53,111.4,127.4,149.79,162.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,15.61,15.65,15.69,15.69,15.72
Reserves,,,,,,936.23,1119.06,1426.54,1609.99,1789.1
Borrowings,,,,,,777.9,638.93,1048.38,827.64,828.37
Other Liabilities,,,,,,971.85,1007.72,801.95,945.59,1198.18
Total,,,,,,2701.59,2781.36,3292.56,3398.91,3831.37
Net Block,,,,,,1359.62,1348.57,1627.8,1782.36,1970.95
Capital Work in Progress,,,,,,96.94,163.36,362.56,287.77,154.48
Investments,,,,,,0.19,4.15,3.7,10.49,10.5
Other Assets,,,,,,1244.84,1265.28,1298.5,1318.29,1695.44
Total,,,,,,2701.59,2781.36,3292.56,3398.91,3831.37
Receivables,,,,,,392.34,348.75,439.73,486.37,608.96
Inventory,,,,,,646.99,733.95,696.95,742.76,952.16
Cash & Bank,,,,,,57.91,44,42.88,10.1,11.4
No. of Equity Shares,,,,,,31218940,156513200,156929325,156929325,157180425
New Bonus Shares,,,,,,,,,,
Face value,,,,,,5,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,406.11,348.12,192.89,516.64,331.65
Cash from Investing Activity,,,,,,-153.51,-127.94,-364.99,-195.74,-186.23
Cash from Financing Activity,,,,,,-247.88,-234.09,170.99,-353.68,-144.11
Net Cash Flow,,,,,,4.71,-13.91,-1.12,-32.79,1.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,162.05,147.95,220.9,178.41,170.43
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,15.61,15.65,15.69,15.69,15.72
