COMPANY NAME,UNO MINDA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,1284.0,,,,,,,,,
Market Capitalization,74146.79,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,3386.26,4470.56,5908.09,6222.03,6373.74,8313.0,11236.49,14030.89,16774.61,19657.59
Raw Material Cost,2122.92,2796.23,3658.75,3828.0,3985.19,5353.2,7445.72,9160.96,10771.64,12824.19
Change in Inventory,6.52,33.05,36.27,17.72,65.9,81.2,221.26,97.2,-96.47,197.91
Power and Fuel,87.88,111.45,149.09,148.49,149.85,208.97,331.86,381.01,402.31,462.16
Other Mfr. Exp,149.75,205.88,253.98,241.77,232.02,304.46,386.26,463.06,475.79,581.24
Employee Cost,451.55,587.1,791.83,944.36,982.26,1207.02,1460.84,1779.25,2165.42,2584.19
Selling and admin,170.16,207.74,266.88,293.69,286.1,363.54,507.57,634.3,907.93,1087.36
Other Expenses,36.53,60.1,97.78,110.43,79.23,71.62,83.52,124.25,81.27,65.13
Other Income,13.82,70.3,26.16,4.82,48.76,128.1,148.82,245.81,218.11,255.73
Depreciation,136.17,164.85,234.38,340.07,375.3,391.75,429.93,526.22,614.93,703.56
Interest,39.75,35.09,63.15,94.17,73.65,62.32,69.52,113.02,170.36,187.02
Profit before tax,211.89,405.47,454.68,243.59,324.8,559.42,891.35,1191.83,1306.6,1616.38
Tax,46.47,97.69,134.07,68.62,100.53,146.78,191.12,267.12,286.03,332.32
Net profit,165.17,310.19,285.62,155.18,206.63,355.8,653.55,880.31,942.95,1197.13
Dividend Amount,17.46,24.37,28.84,10.49,23.12,42.84,85.95,114.82,129.18,153.02
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,3794.02,3817.51,4244.79,4183.99,4528.32,4489.09,4814.03,5018.06,5336.41,5556.85
Expenses,3319.98,3409.8,3762.42,3727.0,4001.61,3945.97,4262.27,4464.54,4733.58,4985.17
Other Income,93.93,47.74,59.13,48.93,62.31,59.29,76.3,50.16,69.98,53.86
Depreciation,149.25,141.73,150.86,157.63,164.71,159.31,173.42,179.02,191.81,176.63
Interest,31.99,36.25,46.03,47.3,40.78,43.99,45.39,52.78,44.86,46.06
Profit before tax,386.73,277.47,344.61,300.99,383.53,399.11,409.25,371.88,436.14,402.85
Tax,85.01,66.67,78.45,46.62,94.29,90.08,86.46,71.4,84.38,87.34
Net profit,287.89,198.47,245.01,232.56,266.21,290.7,303.99,276.63,325.81,295.83
Operating Profit,474.04,407.71,482.37,456.99,526.71,543.12,551.76,553.52,602.83,571.68
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,15.87,17.41,52.44,52.44,54.39,57.12,114.6,114.82,114.83,115.49
Reserves,1043.58,1374.28,1651.72,1808.64,2202.18,3381.33,4041.26,4827.95,5612.37,6714.08
Borrowings,509.51,613.74,1082.6,1316.7,1159.23,948.17,1395.3,1706.33,2472.88,2740.12
Other Liabilities,828.68,1359.68,1443.87,2403.07,2561.63,2411.25,2715.95,3234.51,3530.19,4128.77
Total,2397.64,3365.11,4230.63,5580.85,5977.43,6797.87,8267.11,9883.61,11730.27,13698.46
Net Block,884.87,1350.5,1861.16,2674.23,2796.77,2804.68,3316.11,3930.59,4749.02,5657.73
Capital Work in Progress,116.95,210.79,150.13,360.04,134.3,346.52,292.73,215.74,730.39,746.39
Investments,111.12,155.23,355.58,398.32,531.09,606.71,869.22,951.38,848.24,951.21
Other Assets,1284.7,1648.59,1863.76,2148.26,2515.27,3039.96,3789.05,4785.9,5402.62,6343.13
Total,2397.64,3365.11,4230.63,5580.85,5977.43,6797.87,8267.11,9883.61,11730.27,13698.46
Receivables,499.55,789.73,899.22,863.24,1198.82,1376.65,1723.3,2065.4,2495.61,2706.27
Inventory,237.56,417.52,560.97,609.52,750.56,1046.43,1331.43,1637.9,1716.77,2131.02
Cash & Bank,374.16,159.47,110.06,340.91,238.18,234.2,173.23,254.44,203.59,358.13
No. of Equity Shares,79326780.0,87041155.0,262216965.0,262216965.0,271928704.0,285620441.0,573013714.0,574094575.0,574163845.0,577421816.0
New Bonus Shares,,,,,,,,,,
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,334.62,364.0,413.97,1048.55,342.71,382.88,802.64,979.34,1071.47,1720.35
Cash from Investing Activity,-267.3,-639.93,-815.24,-809.86,-360.53,-697.22,-1184.56,-950.56,-1479.43,-1651.11
Cash from Financing Activity,252.84,44.0,368.48,-95.9,-40.24,311.0,301.01,90.49,365.23,9.85
Net Cash Flow,320.16,-231.93,-32.79,142.79,-58.06,-3.34,-80.91,119.27,-42.73,79.09
PRICE:,73.69,176.87,162.38,119.6,271.05,466.15,481.0,684.75,875.5,1031.6
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,49.38,54.15,54.38,54.38,54.39,57.12,57.3,57.41,57.42,57.74
