COMPANY NAME,WHEELS INDIA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,2175.7,,,,,,,,,
Market Capitalization,5315.89,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,2172.87,2562.59,3441.33,2671.61,2413.37,3966.49,4640.25,4977.3,4744.4,5464.94
Raw Material Cost,1423.81,1766.99,2494.23,1821.17,1697.43,3044.73,3459.53,3588.29,3260.8,3740.04
Change in Inventory,-5.56,18.93,75.48,-37.54,20.81,142.85,65.59,-19.71,-50.6,4.31
Power and Fuel,89.89,104.98,140.83,102.05,101.79,151.43,170.16,179.99,157.54,162.91
Other Mfr. Exp,100.42,111.98,134.74,96.56,89.53,144.45,186.09,186.72,197.39,240.46
Employee Cost,252.85,275.44,339.36,310.41,299.68,379.25,456.95,513.22,507.22,591.42
Selling and admin,51.65,65.34,90.47,66.45,55.03,75.64,97.31,101.22,108.32,189.55
Other Expenses,62.97,58.18,71.88,65.49,47.81,59.22,115.2,122.28,110.04,132.05
Other Income,4.06,22.65,7.51,8.03,2.36,15.63,26.06,16.39,11.19,31.32
Depreciation,63.92,70.45,78.65,77.92,85.6,100.96,74.37,84.91,93.22,115.28
Interest,48.16,44.86,65.91,66.52,58.87,71.49,106.43,122.5,121.56,119.76
Profit before tax,77.7,105.95,108.25,35.53,0.8,97.8,65.86,74.85,148.9,209.1
Tax,18.46,30.46,32.1,-11.79,0.68,23.62,14.43,15.95,36.71,51.05
Net profit,59.24,75.08,76.51,49.06,1.82,76.47,55.35,62.77,110.9,155.01
Dividend Amount,15.64,18.04,19.25,13.59,2.41,19.97,16.77,18.05,28.17,35.28
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,1271.48,1165.88,1176.47,1124.86,1277.19,1265.5,1263.97,1371.45,1564.02,1491.0
Expenses,1174.13,1086.4,1093.01,1039.74,1173.89,1171.85,1171.37,1271.22,1437.66,1379.18
Other Income,5.41,3.99,2.43,3.29,2.6,4.5,6.77,8.0,12.05,4.44
Depreciation,21.85,22.53,22.68,24.05,23.95,26.46,27.49,29.34,31.99,32.91
Interest,30.62,29.47,30.76,30.94,30.39,30.73,29.58,30.36,29.09,28.57
Profit before tax,50.29,31.47,32.45,33.42,51.56,40.96,42.3,48.53,77.33,54.78
Tax,12.02,7.74,8.01,7.95,13.02,10.37,10.52,11.64,18.52,15.84
Net profit,38.51,23.6,24.0,25.04,38.24,29.88,30.99,36.07,58.09,38.31
Operating Profit,97.35,79.48,83.46,85.12,103.3,93.65,92.6,100.23,126.36,111.82
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,12.03,12.03,24.06,24.06,24.06,24.06,24.06,24.43,24.43,24.43
Reserves,456.66,574.59,616.28,639.67,636.63,709.63,730.92,815.32,897.57,1017.03
Borrowings,369.07,358.57,494.77,649.5,697.67,875.86,818.99,777.77,736.76,768.12
Other Liabilities,531.54,717.68,879.71,673.79,1117.94,1364.41,1473.6,1486.62,1530.54,1704.59
Total,1369.3,1662.87,2014.82,1987.02,2476.3,2973.96,3047.57,3104.14,3189.3,3514.17
Net Block,526.34,557.36,710.43,752.99,883.45,903.11,1060.38,1149.43,1295.28,1506.11
Capital Work in Progress,21.93,64.62,65.38,197.71,113.86,125.51,114.2,77.47,50.34,68.72
Investments,19.05,21.44,23.36,23.29,23.14,24.5,22.16,32.07,46.27,78.34
Other Assets,801.98,1019.45,1215.65,1013.03,1455.85,1920.84,1850.83,1845.17,1797.41,1861.0
Total,1369.3,1662.87,2014.82,1987.02,2476.3,2973.96,3047.57,3104.14,3189.3,3514.17
Receivables,436.0,483.39,586.47,472.43,740.98,891.34,769.0,726.34,800.82,817.69
Inventory,279.23,374.25,435.17,411.66,547.87,799.88,884.04,882.5,769.03,746.43
Cash & Bank,9.37,9.66,8.93,6.04,3.47,4.23,4.76,5.3,4.91,4.16
No. of Equity Shares,12032279.0,12032279.0,24064558.0,24064558.0,24064558.0,24064558.0,24064558.0,24433012.0,24433012.0,24433012.0
New Bonus Shares,,,12032279.0,12032279.0,12032279.0,12032279.0,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,155.23,131.08,183.51,183.79,148.2,27.61,370.2,329.35,400.47,477.35
Cash from Investing Activity,-75.23,-135.1,-230.33,-242.05,-117.61,-120.37,-151.53,-149.73,-213.23,-291.7
Cash from Financing Activity,-75.1,9.32,37.79,69.87,-31.08,83.81,-215.72,-146.03,-187.53,-174.76
Net Cash Flow,4.9,5.3,-9.03,11.61,-0.49,-8.95,2.95,33.59,-0.29,10.89
PRICE:,652.85,1125.18,921.25,336.05,452.5,512.15,448.65,597.95,579.5,997.25
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.44,2.44,2.44
