COMPANY NAME,DIAMOND POWER INFRASTRUCTURE LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,366.8,,,,,,,,,
Market Capitalization,21937.25,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1520.62,2004.36,2562.93,3152.68,2778.02,2234.51,1131.15,343.37,1115.39,1910.1
Raw Material Cost,1317.71,2002.41,2398.84,3127.65,2486.87,1823.15,1056.11,335.71,939.46,1599.75
Change in Inventory,47.23,306.01,174.84,372.0,-122.44,-275.61,-327.13,85.83,9.43,70.11
Power and Fuel,7.9,10.05,13.15,13.08,11.14,7.38,4.15,7.71,16.66,
Other Mfr. Exp,18.19,31.68,40.09,27.67,25.86,20.47,9.44,17.3,55.1,
Employee Cost,9.33,23.86,28.09,39.04,31.86,26.42,22.19,7.94,13.79,23.91
Selling and admin,29.18,31.77,43.65,58.27,21.04,60.3,40.94,17.82,33.03,
Other Expenses,0.41,-13.19,-18.05,-23.08,15.39,28.68,318.39,-0.01,0.01,132.93
Other Income,1.43,3.38,14.91,7.75,-14.64,14.58,124.66,0.45,0.56,-6.8
Depreciation,19.8,25.35,33.77,36.13,50.87,58.16,93.95,19.56,20.28,30.71
Interest,26.7,53.18,91.98,122.63,176.86,234.65,191.33,6.71,12.64,38.97
Profit before tax,140.06,148.64,121.16,131.04,-178.95,-285.73,-807.82,16.91,34.41,147.14
Tax,29.67,23.09,17.1,20.1,5.48,-14.62,-13.12,-0.12,-0.09,3.77
Net profit,110.39,125.55,104.06,110.93,-184.43,-272.81,-804.76,17.03,34.5,143.37
Dividend Amount,11.16,14.88,3.72,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,134.41,223.86,250.3,307.42,333.81,301.82,438.33,474.08,695.87,689.88
Expenses,116.44,199.72,237.26,291.48,320.06,270.91,392.4,404.96,618.19,612.92
Other Income,2.88,-0.04,0.18,0.09,0.24,-3.49,0.1,0.64,3.34,7.68
Depreciation,5.4,4.89,4.92,4.98,5.48,7.3,7.4,7.86,8.16,11.71
Interest,1.16,2.67,4.32,4.8,0.86,3.69,9.82,11.1,14.36,14.24
Profit before tax,14.29,16.54,3.98,6.25,7.65,16.43,28.81,50.8,58.5,58.69
Tax,-0.12,-0.02,-0.02,-0.02,-0.02,0.03,1.08,1.08,1.59,0.24
Net profit,14.42,16.56,4.0,6.27,7.66,16.41,27.73,49.72,56.91,58.45
Operating Profit,17.97,24.14,13.04,15.94,13.75,30.91,45.93,69.12,77.68,76.96
BALANCE SHEET,,,,,,,,,,
Report Date,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,37.21,37.21,37.21,54.0,54.0,57.0,269.71,52.7,52.7,52.7
Reserves,509.03,617.28,715.58,932.34,789.97,564.92,385.12,-1026.04,-931.36,-656.9
Borrowings,465.54,758.03,1215.36,1357.31,2017.71,2207.37,1605.63,455.96,462.72,2536.5
Other Liabilities,175.83,325.94,540.04,612.33,290.07,544.12,194.08,2035.49,2203.09,471.31
Total,1187.61,1738.46,2508.19,2955.98,3151.75,3373.41,2454.54,1518.11,1787.15,2403.61
Net Block,263.58,358.24,331.74,514.22,459.09,1339.48,1245.68,1057.42,1167.59,1200.7
Capital Work in Progress,149.99,208.47,390.23,444.64,693.73,133.25,136.7,197.7,134.92,152.32
Investments,7.08,7.08,17.48,18.79,12.04,16.91,6.94,,,
Other Assets,766.96,1164.67,1768.74,1978.33,1986.89,1883.77,1065.22,262.99,484.64,1050.59
Total,1187.61,1738.46,2508.19,2955.98,3151.75,3373.41,2454.54,1518.11,1787.15,2403.61
Receivables,232.83,263.32,466.04,324.0,568.53,785.91,351.14,58.79,175.61,464.23
Inventory,356.27,631.59,893.72,1210.11,1130.57,805.43,481.27,120.28,205.53,369.23
Cash & Bank,40.66,62.58,101.71,100.99,64.34,94.74,50.64,9.84,13.6,103.78
No. of Equity Shares,37886121.0,37206371.0,37886121.0,54000495.0,54000495.0,57000495.0,269710679.0,52697106.0,526971060.0,
New Bonus Shares,,,,12402124.0,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,-25.21,-22.98,-119.23,118.85,-362.37,-140.32,-257.73,15.77,77.32,-80.43
Cash from Investing Activity,-2.4,-182.24,-197.26,-260.24,-191.84,-101.51,48.77,-19.24,-68.71,-142.77
Cash from Financing Activity,27.11,226.3,355.62,138.05,554.11,248.42,210.27,4.19,-5.89,135.53
Net Cash Flow,-0.5,21.08,39.13,-3.34,-0.1,6.58,1.31,0.73,2.73,-87.67
PRICE:,11.54,8.18,5.43,4.82,4.4,2.49,3.46,53.24,89.53,118.82
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,49.61,49.61,49.61,54.0,54.0,57.0,269.71,52.7,52.7,52.7
