COMPANY NAME,SUSAN ELECTRICALS INDIA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,314.4,,,,,,,,,
Market Capitalization,639.2,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,48.59,54.77,78.38,102.73,135.44,268.91
Raw Material Cost,,,,,42.98,50.29,71.79,91.78,117.25,234.58
Change in Inventory,,,,,,,0.69,1.69,4.64,12.54
Power and Fuel,,,,,0.55,0.62,0.56,1.18,1.43,1.68
Other Mfr. Exp,,,,,2.05,0.37,1.21,1.43,0.73,1.91
Employee Cost,,,,,0.6,0.85,0.64,4.22,4.69,5.9
Selling and admin,,,,,1.16,1.43,0.28,2.84,4.13,5.14
Other Expenses,,,,,0.39,-0.02,3.25,-0.67,-0.15,0.16
Other Income,,,,,0.15,0.15,0.16,0.11,0.31,0.61
Depreciation,,,,,0.2,0.24,0.27,0.7,0.96,1.52
Interest,,,,,0.75,0.78,0.53,1.96,3.51,6.55
Profit before tax,,,,,0.06,0.36,0.7,1.09,7.84,24.62
Tax,,,,,-0.02,0.04,-0.02,0.34,2.19,6.38
Net profit,,,,,0.08,0.32,0.72,0.76,5.65,18.25
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,,2025-06-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,,,,,,,25.16,153.75,115.61,95.36
Expenses,,,,,,,24.11,137.82,99.45,83.99
Other Income,,,,,,,0.01,0.37,0.24,0.06
Depreciation,,,,,,,0.25,1.07,0.45,0.51
Interest,,,,,,,1.25,4.49,2.06,2.33
Profit before tax,,,,,,,-0.44,10.74,13.89,8.59
Tax,,,,,,,-0.03,2.81,3.56,2.19
Net profit,,,,,,,-0.42,7.93,10.32,6.39
Operating Profit,,,,,,,1.05,15.93,16.16,11.37
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,0.75,1.26,2.26,2.98,5.02,15.59
Reserves,,,,,0.51,0.83,1.44,3.23,12.96,22.89
Borrowings,,,,,4.4,12.33,14.71,24.79,45.27,66.72
Other Liabilities,,,,,16.09,14.73,15.28,7.08,10.43,24.85
Total,,,,,21.75,29.15,33.69,38.08,73.68,130.05
Net Block,,,,,,,6.32,9.67,10.13,12.83
Capital Work in Progress,,,,,,,,,,
Investments,,,,,,,,,,
Other Assets,,,,,21.75,29.15,27.37,28.41,63.55,117.22
Total,,,,,21.75,29.15,33.69,38.08,73.68,130.05
Receivables,,,,,12.1,20.82,21.53,13.03,25.05,46.31
Inventory,,,,,2.08,2.31,3.0,10.44,28.66,50.66
Cash & Bank,,,,,2.06,0.28,0.12,0.35,0.98,0.85
No. of Equity Shares,,,,,748500.0,1258500.0,2258500.0,2981845.0,5021845.0,15588795.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,,4.44,-5.49,-18.39,-9.71
Cash from Investing Activity,,,,,,,-3.09,-4.57,-4.07,-7.56
Cash from Financing Activity,,,,,,,-1.51,10.29,23.09,17.15
Net Cash Flow,,,,,,,-0.17,0.23,0.63,-0.12
PRICE:,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.07,0.13,0.23,0.3,0.5,1.56
