COMPANY NAME,INFOBEANS TECHNOLOGIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,165.67,,,,,,,,,
Market Capitalization,1606.58,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,83.35,95.41,115.52,156.58,180.34,271.41,385.32,368.52,394.78,513.57
Raw Material Cost,,,,,,,,,,
Change in Inventory,4.09,-0.72,-2.74,-0.63,,,,,,
Power and Fuel,0.54,0.54,0.64,0.58,0.35,0.52,1.02,0.66,1.02,0.76
Other Mfr. Exp,0.98,0.9,1.13,1.88,1.37,3.24,3.12,2.38,3.51,5.76
Employee Cost,56.98,60.05,72.8,99.79,117.06,174.74,269.07,269.54,273.75,323.35
Selling and admin,12.12,11.46,15.66,21.85,17.11,21.63,29.92,35.25,42.1,59.48
Other Expenses,2.13,2.43,2.91,2.75,5.37,5.54,11.04,9.2,6.02,11.51
Other Income,0.92,2.07,4.95,8.1,15.31,17.57,13.41,14.57,13.42,25.29
Depreciation,2.88,2.43,2.53,9.6,16.12,17.97,30.14,29.39,26.56,24.25
Interest,0.14,0.1,0.03,1.95,3.22,4.61,7.81,5.76,2.42,1.33
Profit before tax,12.59,18.85,22.03,25.65,35.05,60.73,46.61,30.91,52.82,112.42
Tax,-0.7,2.11,3.14,4.48,-1.78,5.75,10.65,8.44,14.85,25.76
Net profit,13.29,16.73,18.9,21.17,36.83,54.98,35.96,22.47,37.97,86.66
Dividend Amount,0.27,1.2,0.24,,7.21,2.42,2.42,2.43,2.44,9.7
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,96.94,96.96,98.27,96.33,103.22,111.85,125.44,134.46,141.82,152.77
Expenses,79.49,81.33,79.18,81.98,83.91,88.64,94.09,104.61,113.58,121.34
Other Income,2.55,3.07,4.3,3.31,2.74,12.39,4.21,3.5,5.25,4.0
Depreciation,6.72,6.7,6.69,6.63,6.54,6.37,6.44,5.7,5.74,5.88
Interest,1.4,0.65,0.69,0.65,0.43,0.38,0.35,0.32,0.28,0.26
Profit before tax,11.88,11.35,16.01,10.38,15.08,28.85,28.77,27.33,27.47,29.29
Tax,2.64,3.6,3.35,3.32,4.58,5.53,6.16,8.04,6.03,7.67
Net profit,9.24,7.75,12.66,7.06,10.5,23.32,22.61,19.29,21.44,21.62
Operating Profit,17.45,15.63,19.09,14.35,19.31,23.21,31.35,29.85,28.24,31.43
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,17.67,24.02,24.02,24.02,24.02,24.17,24.25,24.3,24.37,96.96
Reserves,36.63,82.4,102.5,120.42,157.01,207.6,247.29,271.49,307.86,316.59
Borrowings,4.15,0.25,0.19,33.35,38.51,30.84,36.47,24.49,19.7,14.67
Other Liabilities,5.66,8.56,6.97,35.44,25.88,136.5,97.66,68.66,48.71,54.97
Total,64.11,115.23,133.68,213.23,245.42,399.11,405.67,388.94,400.64,483.19
Net Block,4.97,3.83,10.11,101.2,82.19,223.17,216.51,169.62,126.14,113.23
Capital Work in Progress,0.21,3.37,,,,,,,3.01,10.23
Investments,9.75,35.13,48.77,56.11,71.05,35.51,69.6,83.3,114.45,165.31
Other Assets,49.18,72.9,74.8,55.92,92.18,140.43,119.56,136.02,157.04,194.42
Total,64.11,115.23,133.68,213.23,245.42,399.11,405.67,388.94,400.64,483.19
Receivables,13.26,21.13,21.56,33.67,39.49,67.56,64.23,76.22,86.43,107.66
Inventory,4.09,3.37,3.37,,,,,,,
Cash & Bank,16.18,28.27,33.92,15.86,36.05,61.77,44.54,37.38,47.08,59.38
No. of Equity Shares,17673600.0,24015600.0,24015600.0,24015600.0,24015600.0,24170000.0,24252000.0,24298000.0,24368000.0,96959000.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,9.32,8.73,19.52,59.88,35.76,80.67,77.27,43.54,50.03,84.91
Cash from Investing Activity,-6.6,-29.45,-12.16,-46.75,-20.26,-47.2,-71.11,-24.46,-27.33,-51.25
Cash from Financing Activity,3.9,32.81,-1.37,-11.96,-3.66,-15.08,-13.92,-15.03,-13.0,-21.36
Net Cash Flow,6.62,12.09,5.99,1.17,11.84,18.39,-7.76,4.05,9.7,12.3
PRICE:,,18.43,17.5,16.58,36.14,181.6,112.49,91.51,72.81,123.74
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,7.07,9.61,9.61,9.61,9.61,9.67,9.7,9.72,9.75,9.7
