COMPANY NAME,KSOLVES INDIA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,269.35,,,,,,,,,
Market Capitalization,638.91,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,10.13,28.21,47.07,78.31,108.64,137.43,162.67
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,0.11,,,0.05,0.19,0.15,
Other Mfr. Exp,,,,0.06,0.05,0.11,0.49,0.3,0.36,
Employee Cost,,,,5.6,11.57,20.54,34.69,45.99,63.72,80.4
Selling and admin,,,,3.06,4.06,5.57,9.32,13.92,22.85,
Other Expenses,,,,0.08,0.32,0.54,0.68,1.73,2.33,33.94
Other Income,,,,,0.21,1.27,0.63,0.34,0.45,0.83
Depreciation,,,,0.29,0.43,0.49,0.55,0.87,2.22,3.19
Interest,,,,0.02,0.03,0.18,0.23,0.12,0.45,0.86
Profit before tax,,,,0.91,11.96,20.91,32.93,45.86,45.8,45.11
Tax,,,,0.22,3.02,5.02,8.22,11.72,11.49,10.79
Net profit,,,,0.68,8.94,15.89,24.72,34.15,34.32,34.33
Dividend Amount,,,,,5.92,6.82,13.05,23.13,,26.09
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,30.45,31.57,34.82,37.7,33.34,37.67,39.67,42.3,43.03,41.44
Expenses,17.5,19.56,21.61,23.62,24.79,27.73,27.6,28.6,30.43,28.88
Other Income,0.05,0.1,0.11,0.08,0.16,0.1,0.14,0.16,0.44,0.67
Depreciation,0.28,0.3,0.65,0.51,0.76,0.77,0.79,0.78,0.85,0.86
Interest,,,0.09,0.05,0.14,0.26,0.16,0.21,0.23,0.21
Profit before tax,12.72,11.81,12.58,13.6,7.81,9.01,11.26,12.87,11.96,12.16
Tax,3.32,2.86,3.4,3.29,1.95,2.58,2.86,3.08,2.27,2.96
Net profit,9.4,8.95,9.19,10.32,5.86,6.43,8.41,9.8,9.69,9.21
Operating Profit,12.95,12.01,13.21,14.08,8.55,9.94,12.07,13.7,12.6,12.56
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,0.02,1.48,11.86,11.86,11.86,11.86,11.86
Reserves,,,,0.86,11.88,4.82,10.53,11.98,8.9,17.52
Borrowings,,,,0.19,0.08,,,,14.22,5.7
Other Liabilities,,,,1.02,3.77,7.01,11.7,15.71,21.41,26.97
Total,,,,2.09,17.21,23.69,34.09,39.55,56.39,62.05
Net Block,,,,1.18,1.02,1.07,1.1,2.42,7.44,5.84
Capital Work in Progress,,,,,,,,,,
Investments,,,,0.01,0.03,,,,,
Other Assets,,,,0.9,16.16,22.62,32.99,37.13,48.95,56.21
Total,,,,2.09,17.21,23.69,34.09,39.55,56.39,62.05
Receivables,,,,,3.64,9.26,15.13,16.05,21.11,31.04
Inventory,,,,,,,,,,
Cash & Bank,,,,0.06,8.09,6.94,8.61,7.92,10.48,7.08
No. of Equity Shares,,,,20000.0,1482000.0,11856000.0,11856000.0,11856000.0,11856000.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,1.11,5.02,10.19,20.71,33.24,34.11,30.77
Cash from Investing Activity,,,,-0.78,-0.41,0.91,-0.22,-1.9,-7.59,-0.79
Cash from Financing Activity,,,,-0.37,3.43,-12.3,-18.81,-32.6,-23.41,-33.48
Net Cash Flow,,,,-0.03,8.03,-1.19,1.68,-1.26,3.11,-3.5
PRICE:,,,,,43.75,177.28,221.13,559.48,436.65,247.6
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,2.4,2.37,2.37,2.37,2.37,2.37
