COMPANY NAME,ONWARD TECHNOLOGIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,287.2,,,,,,,,,
Market Capitalization,639.0,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,223.56,244.46,261.02,271.55,240.37,307.27,440.93,472.39,491.32,543.85
Raw Material Cost,2.79,3.72,4.4,0.45,1.74,0.01,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,1.27,1.52,1.73,1.79,1.43,1.43,2.16,2.12,1.61,1.79
Other Mfr. Exp,0.91,1.23,1.52,6.28,5.18,25.86,31.43,36.15,37.64,48.39
Employee Cost,165.78,186.15,188.96,211.17,189.23,239.17,353.33,357.84,380.27,395.96
Selling and admin,35.97,37.95,38.54,25.27,23.04,16.15,23.5,20.47,22.88,21.33
Other Expenses,5.64,2.62,3.45,3.22,2.51,3.04,3.24,3.61,4.22,4.53
Other Income,2.52,4.75,1.18,1.06,5.34,21.33,5.4,7.27,7.21,3.88
Depreciation,4.33,5.49,5.66,11.33,10.44,10.11,12.98,12.97,13.39,15.8
Interest,2.8,3.03,2.74,3.46,2.32,1.01,1.66,1.34,2.22,2.89
Profit before tax,6.59,7.5,15.2,9.64,9.82,31.82,18.03,45.16,36.3,57.04
Tax,2.49,0.79,5.06,3.41,2.48,8.15,6.55,11.24,9.22,12.72
Net profit,4.1,6.72,10.13,6.24,7.34,23.68,11.48,33.92,27.08,44.32
Dividend Amount,1.52,1.55,2.37,2.41,4.9,6.61,6.69,11.26,11.34,17.95
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,118.44,117.6,123.04,123.39,127.29,133.15,138.97,134.62,137.12,149.43
Expenses,108.79,105.9,115.08,112.18,113.44,116.01,119.1,115.09,121.81,131.06
Other Income,2.82,1.82,1.56,1.13,2.69,2.47,1.13,-1.64,1.92,1.73
Depreciation,3.12,3.32,3.33,3.3,3.44,3.18,4.21,4.04,4.36,4.64
Interest,0.34,0.51,0.59,0.59,0.53,0.5,0.96,0.71,0.71,0.68
Profit before tax,9.01,9.69,5.6,8.45,12.57,15.93,15.83,13.14,12.16,14.78
Tax,2.32,2.6,2.06,2.42,2.15,3.19,3.89,3.04,2.6,3.61
Net profit,6.68,7.09,3.54,6.04,10.41,12.73,11.94,10.1,9.55,11.17
Operating Profit,9.65,11.7,7.96,11.21,13.85,17.14,19.87,19.53,15.31,18.37
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,15.2,15.54,15.8,16.04,16.34,22.02,22.31,22.52,22.69,22.44
Reserves,27.22,34.26,45.22,52.03,58.14,141.19,151.56,184.61,201.62,231.06
Borrowings,25.27,22.54,17.76,34.72,25.1,18.7,16.73,28.27,32.16,39.84
Other Liabilities,22.5,28.08,27.36,32.66,38.1,44.72,49.75,49.54,54.08,74.07
Total,90.19,100.42,106.14,135.45,137.68,226.63,240.35,284.94,310.55,367.41
Net Block,18.21,15.6,15.44,28.04,29.81,56.73,53.62,62.55,64.55,88.86
Capital Work in Progress,,0.11,0.18,,0.08,,,0.64,1.94,0.02
Investments,,,,,0.1,,,,,
Other Assets,71.98,84.71,90.52,107.41,107.69,169.9,186.73,221.75,244.06,278.53
Total,90.19,100.42,106.14,135.45,137.68,226.63,240.35,284.94,310.55,367.41
Receivables,48.54,45.6,48.91,49.8,40.83,66.56,109.72,100.86,109.41,120.0
Inventory,,,,,,,,,,
Cash & Bank,3.57,7.86,5.17,22.14,29.47,60.44,47.5,31.47,24.72,110.95
No. of Equity Shares,15196270.0,15542070.0,15804840.0,16042570.0,16338770.0,22020870.0,22305270.0,22519570.0,22685570.0,22753870.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,14.37,16.41,10.58,28.77,32.94,-3.93,5.75,62.35,31.52,65.08
Cash from Investing Activity,-11.15,-4.86,-5.05,-5.37,-10.0,-31.62,6.22,-62.25,-17.16,-21.24
Cash from Financing Activity,-0.26,-9.91,-8.75,-9.95,-12.24,56.57,-14.21,-16.17,-21.22,-31.32
Net Cash Flow,2.97,1.65,-3.22,13.45,10.7,21.02,-2.25,-16.07,-6.85,12.51
PRICE:,80.0,87.35,66.6,43.25,113.5,359.3,288.35,442.7,252.0,210.15
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.52,1.55,1.58,1.6,1.63,2.2,2.23,2.25,2.27,2.28
