COMPANY NAME,TATVA CHINTAN PHARMA CHEM LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,1326.5,,,,,,,,,
Market Capitalization,3102.96,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,135.81,206.31,263.24,300.36,433.65,423.61,393.5,382.71,505.86
Raw Material Cost,,74.16,118.57,148.61,156.06,258.17,220.39,182.36,176.74,269.24
Change in Inventory,,3.08,4.33,15.84,4.06,63.53,-5.71,8.18,-22.2,44.71
Power and Fuel,,4.65,6.25,8.96,9.92,22.62,23.61,34.78,34.44,
Other Mfr. Exp,,7.57,8.03,15.31,16.45,23.96,18.03,19.59,17.57,
Employee Cost,,12.27,16.31,20.53,23.83,30.92,41.28,54.84,52.98,62.93
Selling and admin,,16.15,25.04,27.15,30.67,51.88,44.87,39.05,42.95,
Other Expenses,,0.93,2.32,3.21,0.78,1.06,8.94,2.52,1.28,125.24
Other Income,,1.46,1.24,1.35,5.17,8.84,2.15,7.36,2.2,3.55
Depreciation,,2.95,4.02,4.79,6.73,8.18,9.56,25.61,27.66,36.85
Interest,,2.63,3.95,4.27,4.45,5.11,8.6,6.73,1.51,2.85
Profit before tax,,19.04,27.39,47.6,60.7,104.12,44.77,43.56,7.58,57.01
Tax,,6.75,6.85,9.81,8.43,8.25,-0.7,13.22,1.87,14.96
Net profit,,12.29,20.54,37.79,52.26,95.87,45.49,30.35,5.71,42.05
Dividend Amount,,,,,10.04,4.43,4.43,4.68,2.34,4.68
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,84.21,98.27,105.46,83.49,85.9,107.86,116.86,123.52,131.33,134.14
Expenses,73.21,82.67,92.85,77.91,78.83,98.9,99.54,101.3,105.84,106.01
Other Income,1.21,4.53,1.17,0.38,0.04,0.72,1.16,1.01,1.73,-0.35
Depreciation,6.58,6.23,6.67,6.81,6.92,7.26,8.97,9.05,9.07,9.76
Interest,0.38,0.21,0.31,0.17,0.42,0.39,0.41,0.51,0.49,1.44
Profit before tax,5.25,13.69,6.8,-1.02,-0.23,2.03,9.1,13.67,17.66,16.58
Tax,1.79,4.07,1.6,-0.35,-0.38,1.0,2.45,3.75,2.49,6.26
Net profit,3.46,9.61,5.21,-0.66,0.14,1.03,6.65,9.92,15.17,10.32
Operating Profit,11.0,15.6,12.61,5.58,7.07,8.96,17.32,22.22,25.49,28.13
BALANCE SHEET,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,8.04,8.04,8.04,20.09,22.17,22.17,23.39,23.39,23.39
Reserves,,51.08,71.67,109.66,145.88,450.92,492.63,713.69,715.43,758.37
Borrowings,,56.15,77.15,90.69,90.25,119.94,170.26,14.27,36.39,120.37
Other Liabilities,,28.44,30.65,40.54,58.59,65.28,73.8,67.37,61.03,101.56
Total,,143.71,187.51,248.93,314.81,658.31,758.86,818.72,836.24,1003.69
Net Block,,57.04,66.71,111.18,120.45,159.61,196.25,426.89,525.75,610.97
Capital Work in Progress,,9.94,6.04,4.89,9.81,51.49,230.74,76.54,27.23,23.35
Investments,,0.53,,,,,,10.05,,4.0
Other Assets,,76.2,114.76,132.86,184.55,447.21,331.87,305.24,283.26,365.37
Total,,143.71,187.51,248.93,314.81,658.31,758.86,818.72,836.24,1003.69
Receivables,,28.81,41.26,49.57,90.74,56.6,84.4,69.85,82.53,119.03
Inventory,,28.82,35.59,63.56,72.02,169.96,162.5,152.77,133.95,196.07
Cash & Bank,,7.76,15.75,10.83,5.34,176.99,44.76,38.29,14.1,8.79
No. of Equity Shares,,8035000.0,8035000.0,8035000.0,20087500.0,22165062.0,22165062.0,23392055.0,23392055.0,
New Bonus Shares,,,,,12052500.0,,,,,
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,12.59,7.36,25.31,19.69,20.38,27.78,98.04,24.67,31.49
Cash from Investing Activity,,-30.17,-16.77,-40.18,-20.66,-196.81,-101.23,-120.62,-65.17,-115.84
Cash from Financing Activity,,7.34,17.4,9.95,-4.71,234.96,37.8,30.52,16.57,78.93
Net Cash Flow,,-10.24,7.99,-4.92,-5.68,58.54,-35.65,7.94,-23.93,-5.42
PRICE:,,,,,,2308.4,1669.05,1078.6,677.15,1052.4
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,0.8,0.8,0.8,2.01,2.22,2.22,2.34,2.34,2.34
