COMPANY NAME,KENNAMETAL INDIA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,4716.3,,,,,,,,,
Market Capitalization,10356.69,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00,2023-06-30 00:00:00,2024-06-30 00:00:00,2025-06-30 00:00:00,2026-06-30 00:00:00
Sales,651.85,793.1,926.9,641.4,811.4,990.7,1077.1,1099.9,1170.3,1510.7
Raw Material Cost,344.15,445.6,523.8,355.6,437.1,545.7,580.1,602.0,648.2,1018.0
Change in Inventory,0.43,27.2,30.3,8.8,4.6,45.6,-20.0,14.3,21.5,225.0
Power and Fuel,9.13,11.8,11.4,10.3,11.9,14.0,14.6,15.2,15.7,
Other Mfr. Exp,53.73,56.2,64.7,46.1,58.3,72.1,75.1,78.4,92.7,
Employee Cost,122.87,123.3,130.7,109.2,122.1,145.8,149.1,152.2,158.9,187.2
Selling and admin,59.87,70.6,77.8,58.8,57.9,70.5,78.7,88.5,96.4,
Other Expenses,4.27,11.8,12.7,9.1,8.7,9.3,7.9,6.6,7.8,226.8
Other Income,0.36,0.1,14.0,14.6,7.5,9.4,5.1,24.2,14.5,10.8
Depreciation,28.26,28.1,28.0,34.2,37.8,35.7,38.9,43.6,46.0,47.9
Interest,,,0.5,1.1,0.3,,0.2,0.6,0.4,0.3
Profit before tax,30.36,73.0,121.6,40.4,89.4,152.6,117.6,151.3,140.2,266.3
Tax,5.99,20.7,35.3,7.9,22.8,38.5,29.9,40.8,37.3,70.3
Net profit,24.37,52.3,86.3,32.5,66.6,114.1,87.7,110.5,102.9,196.0
Dividend Amount,4.4,4.4,4.4,,44.0,52.8,44.0,66.0,88.0,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,268.8,302.4,270.4,287.0,289.6,323.4,296.0,334.0,403.1,477.6
Expenses,223.8,253.7,228.1,246.4,249.7,274.0,243.3,289.2,326.1,348.6
Other Income,17.7,2.6,2.9,3.2,4.5,3.7,2.4,2.5,4.4,1.5
Depreciation,10.9,11.3,11.5,11.4,11.5,11.6,11.7,11.9,12.2,12.1
Interest,0.1,,,,0.1,0.2,,0.1,,
Profit before tax,51.7,40.0,33.7,32.4,32.8,41.3,43.4,35.3,69.2,118.4
Tax,13.4,9.7,8.7,10.2,8.4,10.0,12,10.9,17.8,29.6
Net profit,38.3,30.3,25.0,22.2,24.4,31.3,31.4,24.4,51.4,88.8
Operating Profit,45.0,48.7,42.3,40.6,39.9,49.4,52.7,44.8,77.0,129.0
BALANCE SHEET,,,,,,,,,,
Report Date,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00,2023-06-30 00:00:00,2024-06-30 00:00:00,2025-06-30 00:00:00,2026-06-30 00:00:00
Equity Share Capital,21.98,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Reserves,371.93,416.8,496.9,528.2,551.4,624.3,666.3,711.5,725.3,831.7
Borrowings,,,10.0,13.0,,,2.7,3.0,2.5,1.9
Other Liabilities,143.52,198.9,225.8,125.3,191.4,183.5,160.0,190.9,216.9,409.3
Total,537.43,637.7,754.7,688.5,764.8,829.8,851.0,927.4,966.7,1264.9
Net Block,146.38,154.0,183.5,246.6,225.0,214.6,274.6,294.0,273.3,282.3
Capital Work in Progress,2.78,21.1,67.2,32.1,51.8,77.2,34.1,7.9,8.0,6.6
Investments,50.51,0.5,,2.0,2.0,,,,,
Other Assets,337.76,462.1,504.0,407.8,486.0,538.0,542.3,625.5,685.4,976.0
Total,537.43,637.7,754.7,688.5,764.8,829.8,851.0,927.4,966.7,1264.9
Receivables,110.16,142.7,144.5,80.3,113.1,136.8,142.0,178.1,190.5,269.4
Inventory,107.26,155.9,203.1,197.9,205.1,266.6,244.4,270.9,294.9,608.8
Cash & Bank,43.44,94.8,43.9,41.5,114.9,64.4,89.5,113.1,165.4,47.2
No. of Equity Shares,21978240.0,21978240.0,21978240.0,21978240.0,21978240.0,21978240.0,21978240.0,21978240.0,21978240.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00,2023-06-30 00:00:00,2024-06-30 00:00:00,2025-06-30 00:00:00,2026-06-30 00:00:00
Cash from Operating Activity,77.16,62.9,83.9,27.8,154.7,49.1,115.8,114.3,144.8,18.3
Cash from Investing Activity,-44.59,-55.2,-138.8,-31.9,-24.3,-47.6,-45.3,-23.4,-3.9,-48.0
Cash from Financing Activity,-5.3,-5.3,4.1,1.8,-57.3,-52.6,-44.7,-67.3,-89.2,-88.8
Net Cash Flow,27.27,2.4,-50.8,-2.3,73.1,-51.1,25.8,23.6,51.7,-118.5
PRICE:,618.55,748.95,1122.1,746.35,1216.85,1874.1,2645.95,3300.8,2339.9,3060.3
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
