COMPANY NAME,FORBES PRECISION TOOLS & MACHINE PARTS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,165.95,,,,,,,,,
Market Capitalization,856.27,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,,,228.5,232.66,251.01
Raw Material Cost,,,,,,,,81.79,74.78,93.32
Change in Inventory,,,,,,,,2.2,-5.04,12.52
Power and Fuel,,,,,,,,5.56,5.67,7.94
Other Mfr. Exp,,,,,,,,34.43,35.31,41.04
Employee Cost,,,,,,,,41.07,44.22,51.88
Selling and admin,,,,,,,0.01,13.93,13.64,12.45
Other Expenses,,,,,,,,2.54,2.8,3.96
Other Income,,,,,,,,1.06,4.31,3.73
Depreciation,,,,,,,,11.45,13.5,15.51
Interest,,,,,,,,1.16,1.13,1.66
Profit before tax,,,,,,,-0.01,39.83,40.88,39.5
Tax,,,,,,,,10.12,12.13,10.73
Net profit,,,,,,,-0.01,29.71,28.75,28.77
Dividend Amount,,,,,,,,,25.8,25.8
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,66.14,51.77,57.54,57.41,65.94,52.41,63.27,64.37,70.96,67.55
Expenses,47.52,42.08,46.04,44.08,49.34,44.0,48.69,52.64,52.73,52.07
Other Income,0.23,0.21,1.98,0.55,1.64,0.87,0.72,0.72,1.42,0.79
Depreciation,2.83,3.14,3.39,3.58,3.39,3.75,3.88,3.97,3.92,4.0
Interest,0.27,0.25,0.13,0.28,0.47,0.45,0.37,0.44,0.4,0.37
Profit before tax,15.75,6.51,9.96,10.02,14.38,5.08,11.05,8.04,15.33,11.9
Tax,4.95,1.68,2.61,2.58,5.26,1.27,2.75,2.45,4.27,2.87
Net profit,10.8,4.83,7.35,7.44,9.12,3.81,8.3,5.59,11.06,9.03
Operating Profit,18.62,9.69,11.5,13.33,16.6,8.41,14.58,11.73,18.23,15.48
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,,0.05,51.59,51.59,51.59
Reserves,,,,,,,-0.01,86.16,114.65,116.99
Borrowings,,,,,,,,8.83,22.48,16.64
Other Liabilities,,,,,,,0.01,56.02,61.31,66.1
Total,,,,,,,0.05,202.6,250.03,251.32
Net Block,,,,,,,,89.32,110.01,109.84
Capital Work in Progress,,,,,,,,4.69,8.2,3.56
Investments,,,,,,,,,43.96,23.23
Other Assets,,,,,,,0.05,108.59,87.86,114.69
Total,,,,,,,0.05,202.6,250.03,251.32
Receivables,,,,,,,,29.44,33.04,30.2
Inventory,,,,,,,,38.47,31.93,56.42
Cash & Bank,,,,,,,0.05,15.96,7.48,6.28
No. of Equity Shares,,,,,,,50000.0,51594464.0,51594464.0,51594464.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,,,9.46,51.32,27.55
Cash from Investing Activity,,,,,,,,-97.18,-70.77,4.1
Cash from Financing Activity,,,,,,,0.05,103.63,10.98,-33.39
Net Cash Flow,,,,,,,0.05,15.91,-8.47,-1.74
PRICE:,,,,,,,,,144.95,105.7
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,5.16,5.16
