COMPANY NAME,GULSHAN POLYOLS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,171.05,,,,,,,,,
Market Capitalization,1066.85,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00
Sales,,,,,,,1100.73,1179.73,1377.97,2019.67
Raw Material Cost,,,,,,,573.65,708.37,917.07,1459.96
Change in Inventory,,,,,,,0.15,9.75,33.56,63.85
Power and Fuel,,,,,,,138.06,157.97,164.08,192.98
Other Mfr. Exp,,,,,,,128.73,130.42,159.09,189.06
Employee Cost,,,,,,,36.3,32.68,32.0,42.16
Selling and admin,,,,,,,74.04,70.75,79.88,101.08
Other Expenses,,,,,,,-0.02,1.28,1.33,1.34
Other Income,,,,,,,2.05,7.06,12.21,3.28
Depreciation,,,,,,,32.41,28.73,32.37,37.38
Interest,,,,,,,4.96,6.13,10.12,28.41
Profit before tax,,,,,,,114.8,60.21,27.8,34.43
Tax,,,,,,,29.55,15.02,10.04,9.77
Net profit,,,,,,,85.25,45.18,17.76,24.67
Dividend Amount,,,,,,,10.4,2.6,1.87,1.87
Quarters,,,,,,,,,,
Report Date,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00
Sales,293.47,307.83,371.08,405.59,454.56,440.47,609.76,514.88,593.23,541.72
Expenses,281.65,291.61,360.35,386.28,431.05,424.23,583.03,486.0,556.65,499.87
Other Income,3.78,3.98,3.02,1.42,2.18,1.16,0.74,0.78,1.91,0.3
Depreciation,8.78,9.53,5.27,8.78,8.44,8.07,10.52,10.36,10.52,11.43
Interest,2.13,3.98,0.48,3.52,4.28,7.46,7.88,8.78,8.1,8.15
Profit before tax,4.69,6.69,8.0,8.43,12.97,1.87,9.07,10.52,19.87,22.57
Tax,0.31,4.51,3.37,1.85,3.29,0.64,2.32,3.52,6.72,6.82
Net profit,4.38,2.17,4.63,6.58,9.69,1.22,6.75,7.01,13.14,15.75
Operating Profit,11.82,16.22,10.73,19.31,23.51,16.24,26.73,28.88,36.58,41.85
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00
Equity Share Capital,,,,,,,5.2,5.2,6.24,6.24
Reserves,,,,,,,530.19,569.67,584.08,606.94
Borrowings,,,,,,,116.9,252.86,348.87,392.01
Other Liabilities,,,,,,,121.65,160.0,217.25,317.63
Total,,,,,,,773.94,987.73,1156.44,1322.82
Net Block,,,,,,,239.96,278.59,521.0,718.23
Capital Work in Progress,,,,,,,91.28,278.02,182.36,4.01
Investments,,,,,,,25.86,22.74,15.1,16.58
Other Assets,,,,,,,416.84,408.38,437.98,584.0
Total,,,,,,,773.94,987.73,1156.44,1322.82
Receivables,,,,,,,119.62,141.63,166.92,184.45
Inventory,,,,,,,107.9,157.37,150.4,289.92
Cash & Bank,,,,,,,123.08,5.77,9.58,3.59
No. of Equity Shares,,,,,,,51975489.0,51975489.0,62370586.0,62370586.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00
Cash from Operating Activity,,,,,,,60.93,15.44,66.28,41.68
Cash from Investing Activity,,,,,,,-136.22,-247.21,-158.29,-54.32
Cash from Financing Activity,,,,,,,169.86,124.31,87.6,13.24
Net Cash Flow,,,,,,,94.57,-107.45,-4.41,0.6
PRICE:,,,,,,,289.58,168.58,162.15,180.05
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,5.92,6.24,6.24,6.24
