COMPANY NAME,TRUALT BIOENERGY LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,423.95,,,,,,,,,
Market Capitalization,3635.48,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,,762.38,1223.4,1907.72,1727.51
Raw Material Cost,,,,,,,584.11,809.93,1324.44,1257.11
Change in Inventory,,,,,,,82.71,5.98,52.82,142.66
Power and Fuel,,,,,,,60.4,87.04,96.09,93.66
Other Mfr. Exp,,,,,,,47.43,65.73,58.46,74.42
Employee Cost,,,,,,,8.59,24.32,39.86,47.82
Selling and admin,,,,,,,38.96,53.17,125.8,103.46
Other Expenses,,,,,,,0.55,1.1,6.74,3.95
Other Income,,,,,,,,56.78,60.8,86.45
Depreciation,,,,,,,20.75,56.92,66.89,86.23
Interest,,,,,,,35.31,143.08,143.61,160.02
Profit before tax,,,,,,,48.99,44.87,159.45,129.95
Tax,,,,,,,13.53,13.07,12.8,33.09
Net profit,,,,,,,35.46,31.81,146.64,95.95
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,,197.4,388.22,415.11,906.99,303.89,114.86,713.24,595.52,626.88
Expenses,,183.84,370.96,290.52,753.27,262.35,119.41,579.24,466.22,494.12
Other Income,,15.08,16.61,15.43,13.69,22.74,14.76,17.62,31.39,14.52
Depreciation,,15.63,16.09,17.66,17.51,20.69,20.78,21.81,22.95,24.8
Interest,,34.6,34.04,35.97,39.0,37.79,38.6,40.13,43.5,44.03
Profit before tax,,-21.59,-16.26,86.39,110.9,5.8,-49.17,89.68,94.24,78.45
Tax,,-0.08,2.4,11.2,-0.8,1.07,-11.24,20.49,25.4,19.17
Net profit,,-21.51,-18.66,75.19,111.69,4.73,-37.94,69.33,67.87,57.15
Operating Profit,,13.56,17.26,124.59,153.72,41.54,-4.55,134.0,129.3,132.76
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,,61.08,61.08,70.63,85.75
Reserves,,,,,,,179.42,203.53,698.37,1434.58
Borrowings,,,,,,,1150.1,1684.69,1556.54,1651.51
Other Liabilities,,,,,,,465.37,469.02,704.19,606.5
Total,,,,,,,1855.97,2418.32,3029.73,3778.34
Net Block,,,,,,,1301.58,1426.68,1825.86,2185.38
Capital Work in Progress,,,,,,,9.62,201.25,2.78,67.71
Investments,,,,,,,,10.0,4.36,4.07
Other Assets,,,,,,,544.77,780.39,1196.73,1521.18
Total,,,,,,,1855.97,2418.32,3029.73,3778.34
Receivables,,,,,,,86.54,298.21,339.27,406.11
Inventory,,,,,,,153.49,159.48,210.21,528.43
Cash & Bank,,,,,,,4.78,23.4,149.78,89.77
No. of Equity Shares,,,,,,,61075820.0,61075820.0,70631624.0,85752591.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,,233.49,35.48,342.03,-295.63
Cash from Investing Activity,,,,,,,-1148.58,-383.67,-255.33,-413.45
Cash from Financing Activity,,,,,,,919.81,366.76,39.72,647.56
Net Cash Flow,,,,,,,4.72,18.57,126.43,-61.52
PRICE:,,,,,,,,,,403.4
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,6.11,6.11,7.06,8.58
