COMPANY NAME,RESTAURANT BRANDS ASIA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,87.76,,,,,,,,,
Market Capitalization,6246.08,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,1003.96,1490.27,2054.28,2437.06,2550.72,2822.64
Raw Material Cost,,,,,396.81,549.81,735.69,871.97,891.17,939.95
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,91.95,130.17,192.93,218.97,236.84,252.2
Other Mfr. Exp,,,,,56.65,73.38,110.64,121.32,114.94,115.92
Employee Cost,,,,,220.45,267.07,367.11,409.91,431.45,486.97
Selling and admin,,,,,195.5,350.92,506.84,542.69,582.6,660.69
Other Expenses,,,,,17.65,22.38,29.35,29.84,25.31,38.65
Other Income,,,,,26.34,-2.75,35.7,18.28,31.17,46.37
Depreciation,,,,,228.91,233.58,284.04,356.13,371.48,389.38
Interest,,,,,104.44,95.36,105.18,141.25,160.89,189.38
Profit before tax,,,,,-282.06,-235.15,-241.8,-236.74,-232.79,-204.13
Tax,,,,,,,,,,
Net profit,,,,,-245.81,-195.93,-221.23,-217.94,-216.2,-187.08
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,597.14,646.69,632.43,639.06,632.55,697.72,703.43,714.65,706.84,822.61
Expenses,527.9,583.54,569.18,569.5,559.37,624.95,632.47,625.14,611.84,722.42
Other Income,4.6,13.74,0.09,8.78,7.83,21.98,8.25,8.1,8.05,19.8
Depreciation,118.66,91.64,90.75,93.35,95.75,93.38,96.93,98.41,100.66,103.51
Interest,47.28,37.44,38.05,39.7,45.7,46.8,45.61,47.14,49.82,49.48
Profit before tax,-92.1,-52.19,-65.46,-54.71,-60.44,-45.43,-63.33,-47.94,-47.43,-33.0
Tax,,,,,,,,,,
Net profit,-85.26,-49.36,-60.17,-50.4,-56.28,-41.94,-58.6,-43.54,-43.01,-28.35
Operating Profit,69.24,63.15,63.25,69.56,73.18,72.77,70.96,89.51,95.0,100.19
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,382.98,492.75,494.55,496.37,582.07,582.88
Reserves,,,,,-298.09,547.78,330.89,130.21,326.5,138.23
Borrowings,,,,,901.28,886.84,1167.53,1429.77,1831.86,1967.0
Other Liabilities,,,,,977.23,454.76,500.24,652.26,722.25,694.21
Total,,,,,1963.4,2382.13,2493.21,2708.61,3462.68,3382.32
Net Block,,,,,1390.63,1513.51,1953.42,2320.25,2603.34,2800.93
Capital Work in Progress,,,,,47.45,18.06,34.96,48.91,33.92,41.49
Investments,,,,,124.29,402.26,146.86,82.99,23.55,137.86
Other Assets,,,,,401.03,448.3,357.97,256.46,801.87,402.04
Total,,,,,1963.4,2382.13,2493.21,2708.61,3462.68,3382.32
Receivables,,,,,8.56,13.41,16.86,25.42,33.65,46.18
Inventory,,,,,19.64,22.81,31.5,34.65,43.61,38.76
Cash & Bank,,,,,277.68,277.23,155.2,33.51,536.46,58.91
No. of Equity Shares,,,,,382979644.0,492748742.0,494554349.0,496369101.0,582067965.0,582876287.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,48.03,69.17,124.3,346.12,350.44,302.66
Cash from Investing Activity,,,,,-322.4,-1082.51,15.54,-218.8,-232.35,-485.58
Cash from Financing Activity,,,,,356.78,1112.28,-170.19,-251.07,384.88,-320.72
Net Cash Flow,,,,,82.4,98.94,-30.35,-123.75,502.96,-503.64
PRICE:,,,,,128.55,100.75,90.1,101.25,60.45,57.26
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,38.3,49.27,49.46,49.64,58.21,58.29
