COMPANY NAME,SPECIALITY RESTAURANTS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,142.0,,,,,,,,,
Market Capitalization,684.94,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,312.42,296.79,346.36,357.78,150.14,252.93,374.97,404.7,436.25,476.47
Raw Material Cost,100.94,95.34,108.91,113.48,45.2,75.52,113.99,122.77,131.04,137.73
Change in Inventory,,,,,,,,,,
Power and Fuel,18.82,19.08,20.04,20.38,8.86,11.02,15.22,15.56,18.21,
Other Mfr. Exp,22.13,22.37,26.15,27.78,16.35,19.82,24.18,24.42,25.02,
Employee Cost,84.34,76.46,81.88,82.02,33.83,46.61,73.48,90.78,97.79,103.46
Selling and admin,71.63,67.04,78.19,45.6,39.48,47.44,61.37,69.89,79.98,20.46
Other Expenses,19.57,17.66,18.74,11.84,7.28,15.66,10.22,10.83,11.61,131.72
Other Income,8.74,6.32,9.46,-16.94,20.42,13.2,32.56,21.31,19.24,14.67
Depreciation,32.66,29.66,28.71,57.49,32.24,27.35,31.72,41.9,49.0,56.0
Interest,0.02,0.01,,21.15,16.5,14.55,13.91,14.6,14.23,14.55
Profit before tax,-28.95,-24.51,-6.8,-38.9,-29.18,8.16,63.44,35.26,28.61,27.22
Tax,-3.43,22.26,1.01,-0.9,0.17,,-33.35,5.25,6.64,6.5
Net profit,-25.52,-46.77,-7.81,-38.0,-29.34,8.16,96.79,29.39,21.71,21.82
Dividend Amount,,,,,,,11.74,4.81,4.82,4.82
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,115.98,96.19,103.11,104.38,125.75,103.01,108.77,116.44,134.84,116.42
Expenses,92.45,82.29,87.17,89.07,99.64,87.77,90.91,97.16,106.4,98.89
Other Income,6.63,4.74,8.41,3.47,3.38,3.98,5.74,3.55,1.58,3.8
Depreciation,10.78,11.36,11.45,11.8,12.73,13.02,13.4,13.64,14.28,14.69
Interest,3.81,3.4,3.53,3.36,3.7,3.64,3.74,3.65,3.66,3.5
Profit before tax,15.57,3.88,9.37,3.62,13.06,2.56,6.46,5.54,12.08,3.14
Tax,1.4,0.5,1.73,0.77,3.7,0.44,1.34,1.08,3.8,0.29
Net profit,13.83,3.1,7.38,2.7,9.25,2.39,5.4,4.61,8.5,3.32
Operating Profit,23.53,13.9,15.94,15.31,26.11,15.24,17.86,19.28,28.44,17.53
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,46.96,46.96,46.96,46.96,46.96,46.96,46.96,48.1,48.24,48.24
Reserves,227.21,180.96,172.41,116.85,88.37,97.68,229.65,259.12,278.74,298.18
Borrowings,0.13,0.03,,,140.97,138.76,141.86,138.77,154.15,139.94
Other Liabilities,57.66,62.66,64.74,185.05,56.2,53.12,55.01,59.61,57.76,71.25
Total,331.96,290.61,284.11,348.86,332.5,336.52,473.48,505.6,538.89,557.61
Net Block,115.33,101.05,82.01,156.05,151.23,136.22,155.5,172.65,216.42,230.31
Capital Work in Progress,32.7,28.84,35.23,33.12,29.05,28.25,27.51,35.62,32.0,30.26
Investments,69.25,67.22,68.17,69.03,73.49,102.89,170.06,169.73,160.83,162.52
Other Assets,114.68,93.5,98.7,90.66,78.73,69.16,120.41,127.6,129.64,134.52
Total,331.96,290.61,284.11,348.86,332.5,336.52,473.48,505.6,538.89,557.61
Receivables,4.97,6.39,5.39,2.31,3.17,4.8,6.51,7.93,5.5,6.78
Inventory,7.14,7.05,6.68,7.38,5.81,5.24,6.84,7.69,8.29,10.31
Cash & Bank,3.89,5.3,11.07,1.75,7.32,1.88,6.51,11.12,16.84,16.53
No. of Equity Shares,46957657.0,46957657.0,46957657.0,46957657.0,46957657.0,46957657.0,46957657.0,48097657.0,48235657.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,3.31,8.81,15.62,59.87,21.29,53.97,80.3,62.31,74.18,85.1
Cash from Investing Activity,-4.52,-7.35,-9.83,-14.78,-4.81,-33.59,-70.67,-15.67,-27.29,-39.88
Cash from Financing Activity,-0.19,-0.11,-0.03,-54.41,-10.92,-25.82,-5.0,-42.0,-49.49,-49.47
Net Cash Flow,-1.4,1.35,5.77,-9.32,5.57,-5.44,4.63,4.64,-2.6,-4.24
PRICE:,85.8,123.15,104.3,22.8,38.0,161.55,212.45,176.15,130.73,84.0
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.81,4.82,4.82
