COMPANY NAME,UNITED FOODBRANDS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,771.95,,,,,,,,,
Market Capitalization,3017.27,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,503.48,586.34,739.02,846.97,507.08,860.55,1233.76,1254.51,1233.05,1338.7
Raw Material Cost,179.73,,,292.2,178.25,304.74,415.19,418.44,391.87,449.83
Change in Inventory,,,,,,,,,,
Power and Fuel,42.25,44.51,58.5,70.47,45.44,69.36,103.44,108.39,105.1,
Other Mfr. Exp,12.13,229.87,290.82,39.16,30.42,60.07,75.0,77.9,70.92,
Employee Cost,91.89,125.69,167.98,197.51,135.19,188.61,267.6,280.28,296.75,322.99
Selling and admin,87.66,44.43,65.39,70.23,65.16,96.01,131.04,135.73,144.07,
Other Expenses,26.21,18.16,27.66,13.0,6.13,8.03,10.91,21.6,13.06,372.93
Other Income,0.45,6.74,-6.74,20.02,48.01,26.77,11.85,17.57,15.91,14.82
Depreciation,33.24,70.27,89.54,133.96,121.17,127.26,145.0,167.9,176.49,189.99
Interest,14.4,53.57,56.4,75.59,84.87,65.3,71.7,75.86,77.86,86.04
Profit before tax,16.42,6.58,-24.01,-25.13,-111.54,-32.06,25.73,-14.02,-27.16,-68.26
Tax,7.7,12.39,14.38,7.8,-19.66,-6.87,6.58,-2.85,-0.13,-6.35
Net profit,9.03,-5.8,-38.39,-32.39,-90.46,-25.6,17.02,-13.41,-27.79,-59.13
Dividend Amount,,2.76,2.8,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,298.05,305.69,305.7,328.89,292.77,296.98,304.76,376.57,360.4,425.9
Expenses,243.32,254.79,260.12,267.37,239.49,250.96,267.02,321.76,306.0,356.04
Other Income,7.65,2.67,4.28,5.52,3.44,1.96,8.08,1.71,3.06,1.24
Depreciation,44.67,40.45,40.95,42.81,52.28,44.92,48.28,48.23,48.57,45.71
Interest,18.61,18.61,18.87,19.48,20.9,20.04,20.7,22.66,22.65,22.95
Profit before tax,-0.9,-5.49,-9.96,4.75,-16.46,-16.98,-23.16,-14.37,-13.76,2.44
Tax,-0.86,-1.15,-2.83,-0.31,4.16,-0.31,-0.66,-6.7,1.32,0.13
Net profit,-1.07,-4.86,-7.22,4.53,-20.23,-16.41,-22.22,-7.1,-13.41,3.09
Operating Profit,54.73,50.9,45.58,61.52,53.28,46.02,37.74,54.81,54.4,69.86
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,13.51,13.8,13.99,14.0,16.97,19.46,19.49,19.54,19.54,19.54
Reserves,133.48,131.19,117.64,-8.08,226.93,366.54,381.65,373.44,343.14,290.76
Borrowings,87.05,478.39,577.82,726.54,602.57,610.4,684.5,685.55,757.51,885.27
Other Liabilities,61.57,99.78,109.64,223.0,291.34,144.87,173.28,198.45,193.87,241.77
Total,295.61,723.16,819.09,955.46,1137.81,1141.27,1258.92,1276.98,1314.06,1437.34
Net Block,197.66,547.86,682.32,812.69,731.63,872.3,1011.62,1035.78,1060.83,1160.78
Capital Work in Progress,21.77,18.52,15.89,10.89,6.02,21.18,27.34,4.67,13.97,13.62
Investments,2.79,,,,,,,,12.06,
Other Assets,73.39,156.78,120.88,131.88,400.16,247.79,219.96,236.53,227.2,262.94
Total,295.61,723.16,819.09,955.46,1137.81,1141.27,1258.92,1276.98,1314.06,1437.34
Receivables,4.07,5.6,4.9,2.15,2.64,5.73,7.36,3.71,2.33,3.07
Inventory,16.07,18.98,19.27,14.93,20.15,35.76,42.07,38.68,47.09,43.68
Cash & Bank,5.27,43.62,11.98,14.7,245.49,85.34,42.56,35.98,17.11,27.66
No. of Equity Shares,27024014.0,27599014.0,27984014.0,27991788.0,33942920.0,38909166.0,38978401.0,38978401.0,38978401.0,
New Bonus Shares,,,,,,,,,,
Face value,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,54.2,127.55,122.25,181.05,67.93,59.81,227.59,220.51,193.35,222.96
Cash from Investing Activity,-75.16,-99.28,-129.15,-151.8,-7.18,-90.16,-151.79,-105.95,-89.9,-127.98
Cash from Financing Activity,25.15,7.3,-24.74,-26.54,170.05,-129.8,-118.58,-121.15,-122.5,-86.33
Net Cash Flow,4.19,35.56,-31.64,2.72,230.8,-160.15,-42.78,-6.59,-19.04,8.65
PRICE:,,,,,,1267.65,633.15,497.85,271.05,195.3
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.7,2.76,2.8,2.8,3.39,3.89,3.9,3.91,3.91,3.91
