COMPANY NAME,VENUS REMEDIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,1642.0,,,,,,,,,
Market Capitalization,2194.83,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,400.04,372.41,321.89,335.43,544.17,597.37,552.38,596.18,640.05,769.6
Raw Material Cost,223.58,204.84,189.67,168.45,347.94,383.5,322.95,357.35,373.81,398.74
Change in Inventory,-3.49,-0.24,7.72,-5.86,7.15,-3.48,-8.04,2.66,-4.81,11.47
Power and Fuel,4.14,4.29,4.86,4.73,4.58,4.71,5.52,6.35,6.36,
Other Mfr. Exp,5.54,4.85,5.93,6.3,6.96,8.5,9.18,12.78,17.65,
Employee Cost,36.22,41.26,44.05,47.98,48.47,56.18,61.33,71.51,80.49,88.68
Selling and admin,76.35,77.46,52.57,65.19,93.54,81.69,88.21,96.21,100.61,146.37
Other Expenses,,-0.01,,-3.9,-3.95,-2.8,-2.88,-4.96,-7.21,
Other Income,2.27,2.25,-2.87,-3.5,43.07,8.31,10.32,11.58,30.87,12.58
Depreciation,40.26,33.83,33.98,32.01,35.28,33.53,32.3,26.44,22.51,25.66
Interest,34.37,35.43,25.41,13.34,13.02,0.48,0.12,0.09,0.07,0.04
Profit before tax,-21.64,-27.53,-29.73,-8.03,48.55,36.41,37.93,44.65,71.82,134.16
Tax,-4.56,3.16,-1.15,1.96,-13.21,-4.32,11.36,16.15,26.51,31.37
Net profit,-17.08,-30.69,-28.57,-10.0,61.77,40.72,26.57,28.49,45.31,102.79
Dividend Amount,,,,,,,,,,13.37
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,195.16,108.61,170.1,176.52,194.97,137.18,192.75,180.26,259.4,178.86
Expenses,175.69,97.35,162.53,158.5,165.97,121.8,161.79,142.74,195.98,144.67
Other Income,3.92,1.59,7.93,12.28,6.76,3.41,1.71,2.52,4.95,2.62
Depreciation,5.91,5.98,6.41,5.41,4.71,6.18,6.17,6.56,6.75,6.77
Interest,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,
Profit before tax,17.46,6.85,9.07,24.88,31.04,12.6,26.49,33.47,61.61,30.04
Tax,6.95,5.63,5.56,5.28,10.04,3.0,6.36,7.89,14.11,7.07
Net profit,10.51,1.22,3.51,19.6,21.0,9.6,20.13,25.58,47.5,22.97
Operating Profit,19.47,11.26,7.57,18.02,29.0,15.38,30.96,37.52,63.42,34.19
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,12.34,12.34,12.34,12.34,12.34,13.37,13.37,13.37,13.37,13.37
Reserves,376.33,349.57,320.18,311.03,387.94,427.08,446.97,474.18,547.58,650.38
Borrowings,311.62,306.9,297.99,220.45,51.32,42.84,42.29,41.33,1.69,12.41
Other Liabilities,64.72,81.95,102.31,99.95,104.25,96.53,98.45,97.94,153.08,177.54
Total,765.01,750.76,732.82,643.77,555.85,579.82,601.08,626.82,715.72,853.7
Net Block,406.18,389.2,364.45,289.37,261.68,240.94,215.96,218.53,229.42,231.6
Capital Work in Progress,66.25,64.76,64.76,24.63,25.11,25.23,26.1,21.08,26.39,51.36
Investments,,,,,,,20.13,19.1,84.1,237.62
Other Assets,292.58,296.8,303.61,329.77,269.06,313.65,338.89,368.11,375.81,333.12
Total,765.01,750.76,732.82,643.77,555.85,579.82,601.08,626.82,715.72,853.7
Receivables,47.29,47.27,38.04,30.69,32.04,38.6,76.66,80.5,112.22,103.28
Inventory,140.6,138.17,142.73,141.12,119.99,125.64,119.94,121.69,100.49,129.37
Cash & Bank,3.56,3.98,2.81,2.13,31.42,50.4,54.45,68.09,80.1,29.61
No. of Equity Shares,12341988.0,12341988.0,12341988.0,12341988.0,12341988.0,13366988.0,13366988.0,13366988.0,13366988.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,58.93,31.19,45.33,77.6,131.84,41.1,36.63,37.29,86.44,155.77
Cash from Investing Activity,-18.32,8.46,-11.33,-4.69,57.34,-17.25,-58.1,-8.46,-76.86,-181.57
Cash from Financing Activity,-44.13,-39.23,-35.17,-73.0,-162.24,-9.48,-0.57,-1.08,-1.02,-3.12
Net Cash Flow,-3.51,0.42,-1.17,-0.09,26.94,14.38,-22.04,27.74,8.57,-28.92
PRICE:,97.65,65.45,33.0,22.0,274.8,270.3,162.45,325.85,299.45,820.05
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.23,1.23,1.23,1.23,1.23,1.34,1.34,1.34,1.34,1.34
