COMPANY NAME,GLAND PHARMA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,2875.0,,,,,,,,,
Market Capitalization,47427.92,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,2633.24,3462.88,4400.71,3624.6,5664.72,5616.5,6430.65
Raw Material Cost,,,,1108.93,1765.36,2072.53,1732.34,2045.2,1986.97,2246.35
Change in Inventory,,,,6.9,273.49,-36.69,46.92,-127.89,-103.41,3.42
Power and Fuel,,,,78.5,74.59,95.05,124.84,229.99,199.15,202.85
Other Mfr. Exp,,,,102.23,130.84,131.83,153.85,295.16,313.9,351.38
Employee Cost,,,,277.66,311.36,338.57,403.26,1256.89,1401.56,1628.84
Selling and admin,,,,98.54,128.48,180.47,187.93,286.86,267.38,297.85
Other Expenses,,,,18.82,23.52,35.24,44.45,89.66,75.18,76.87
Other Income,,,,139.17,134.78,223.76,183.92,170.24,213.58,291.6
Depreciation,,,,94.59,98.78,110.3,146.74,344.57,377.87,423.67
Interest,,,,7.18,3.41,5.24,7.45,26.2,42.0,33.28
Profit before tax,,,,992.86,1334.81,1618.55,1054.58,1132.54,1062.66,1464.58
Tax,,,,220.01,337.85,406.89,273.54,360.08,364.13,437.26
Net profit,,,,772.86,996.96,1211.66,781.04,772.46,698.53,1027.32
Dividend Amount,,,,,,,,329.4,296.64,329.6
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,1537.45,1401.71,1405.83,1384.05,1424.91,1505.62,1486.88,1695.36,1742.79,1800.27
Expenses,1178.8,1137.31,1108.78,1024.09,1077.4,1137.86,1172.99,1260.48,1229.77,1310.91
Other Income,42.15,51.43,59.66,58.49,44.03,57.53,84.16,38.82,111.47,61.23
Depreciation,92.61,91.96,93.83,96.33,95.76,101.05,106.31,107.65,108.66,111.26
Interest,9.96,5.62,6.11,22.82,7.45,11.5,7.82,3.93,10.03,4.36
Profit before tax,298.23,218.25,256.77,299.3,288.33,312.74,283.92,362.12,505.8,434.97
Tax,105.81,74.48,93.24,94.61,101.79,97.26,100.23,100.65,139.12,118.01
Net profit,192.42,143.76,163.53,204.69,186.54,215.48,183.68,261.48,366.68,316.96
Operating Profit,358.65,264.4,297.05,359.96,347.51,367.76,313.89,434.88,513.02,489.36
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,15.5,16.36,16.43,16.47,16.47,16.48,16.48
Reserves,,,,3630.74,5886.88,7141.19,7942.25,8707.37,9134.27,10341.47
Borrowings,,,,4.96,5.0,4.74,4.45,372.17,313.73,283.59
Other Liabilities,,,,434.83,587.84,671.27,814.37,1514.81,1708.38,1806.99
Total,,,,4086.03,6496.08,7833.63,8777.54,10610.82,11172.86,12448.53
Net Block,,,,968.1,954.23,1502.19,1570.55,3946.75,4147.24,4492.33
Capital Work in Progress,,,,188.47,337.81,190.75,177.22,237.88,150.56,342.18
Investments,,,,,,154.87,,,,
Other Assets,,,,2929.46,5204.04,5985.82,7029.77,6426.19,6875.06,7614.02
Total,,,,4086.03,6496.08,7833.63,8777.54,10610.82,11172.86,12448.53
Receivables,,,,601.79,670.97,1198.78,871.39,1558.69,1516.53,1891.38
Inventory,,,,756.28,1275.17,1185.67,1945.3,1655.24,1685.22,1743.89
Cash & Bank,,,,1325.19,3005.75,3093.44,3770.68,1839.43,2556.21,3359.11
No. of Equity Shares,,,,154949490.0,163592923.0,164302723.0,164700823.0,164708123.0,164756423.0,164756423.0
New Bonus Shares,,,,,,,,,,
Face value,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,700.94,604.93,790.77,363.97,996.8,914.73,1031.39
Cash from Investing Activity,,,,-760.97,-1520.42,-999.31,1211.19,-1749.19,1717.87,188.48
Cash from Financing Activity,,,,-6.87,1238.46,34.9,14.92,-799.42,-433.48,-416.97
Net Cash Flow,,,,-66.91,322.97,-173.64,1590.08,-1551.81,2199.12,802.9
PRICE:,,,,,2478.3,3272.65,1268.25,1845.25,1592.4,1696.1
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,15.49,16.36,16.43,16.47,16.47,16.48,16.48
