COMPANY NAME,LINCOLN PHARMACEUTICALS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,609.65,,,,,,,,,
Market Capitalization,1221.11,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,360.26,360.62,366.15,386.49,424.19,472.12,510.31,580.55,623.23,671.03
Raw Material Cost,224.23,195.49,164.92,191.33,193.75,232.15,245.64,284.04,282.48,318.6
Change in Inventory,6.64,2.98,-10.46,8.41,-3.99,13.57,4.24,5.7,-8.84,7.44
Power and Fuel,5.92,6.82,7.21,8.18,7.1,8.33,10.25,11.47,11.66,
Other Mfr. Exp,12.64,13.67,17.7,16.49,16.27,16.61,19.55,23.7,27.93,
Employee Cost,37.59,51.15,51.9,58.65,63.26,79.72,93.16,102.9,112.45,125.19
Selling and admin,36.71,40.96,44.28,50.88,51.0,50.9,54.46,61.0,75.28,
Other Expenses,2.74,2.97,2.17,3.7,1.45,2.36,1.95,2.94,2.92,137.0
Other Income,2.44,5.23,5.36,10.91,5.47,9.86,22.14,34.13,22.3,33.45
Depreciation,5.51,6.11,6.68,7.33,7.56,8.09,9.17,10.62,12.9,14.5
Interest,6.66,5.41,4.0,2.02,1.56,1.45,2.03,1.46,1.88,1.01
Profit before tax,37.34,46.25,62.19,67.23,83.72,95.94,100.48,122.25,109.19,115.62
Tax,9.2,11.59,13.45,15.77,21.47,26.58,27.58,28.93,26.85,27.73
Net profit,28.12,34.62,48.71,51.44,62.25,69.36,72.9,93.3,82.35,87.89
Dividend Amount,2.4,3.0,3.0,3.0,3.0,3.0,3.0,3.61,3.61,3.61
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,142.49,147.28,161.21,146.55,168.18,154.07,163.36,166.32,187.28,177.28
Expenses,124.11,124.55,132.83,122.88,141.46,130.26,137.93,142.73,162.42,149.84
Other Income,7.02,10.41,9.98,8.97,-6.88,15.27,7.23,15.15,-4.2,24.26
Depreciation,2.69,3.22,3.22,3.22,3.23,3.48,3.62,3.72,3.68,3.88
Interest,0.5,0.44,0.35,0.73,0.37,0.21,0.23,0.3,0.27,0.26
Profit before tax,22.21,29.48,34.79,28.69,16.24,35.39,28.81,34.72,16.71,47.56
Tax,3.62,5.8,8.45,7.92,4.67,7.71,8.83,6.12,5.07,11.32
Net profit,18.6,23.67,26.33,20.77,11.58,27.68,19.98,28.6,11.63,36.23
Operating Profit,18.38,22.73,28.38,23.67,26.72,23.81,25.43,23.59,24.86,27.44
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,20.0,20.0,20.0,20.0,20.03,20.03,20.03,20.03,20.03,20.03
Reserves,172.38,204.22,249.34,293.09,346.36,412.85,482.44,572.81,651.64,737.6
Borrowings,64.48,61.29,33.61,5.07,0.52,2.04,2.0,1.07,,4.42
Other Liabilities,48.48,61.73,63.03,71.23,85.45,99.44,82.94,106.38,125.33,128.35
Total,305.34,347.24,365.98,389.39,452.36,534.36,587.41,700.29,797.0,890.4
Net Block,102.71,116.58,120.91,122.72,110.64,131.88,150.53,179.33,181.97,190.95
Capital Work in Progress,6.63,0.29,2.1,0.04,1.69,16.05,6.71,3.48,4.47,5.23
Investments,10.33,11.06,18.16,34.3,80.67,96.81,91.33,138.92,173.72,208.54
Other Assets,185.67,219.31,224.81,232.33,259.36,289.62,338.84,378.56,436.84,485.68
Total,305.34,347.24,365.98,389.39,452.36,534.36,587.41,700.29,797.0,890.4
Receivables,90.67,109.44,122.47,101.34,113.35,115.94,136.33,161.77,166.4,161.45
Inventory,37.31,45.41,36.23,47.4,46.61,72.74,70.03,77.17,78.68,80.11
Cash & Bank,11.68,14.59,7.58,14.58,13.84,18.8,34.32,13.83,22.43,32.66
No. of Equity Shares,20000000.0,20000000.0,20000000.0,20000000.0,20029728.0,20029728.0,20029728.0,20029728.0,20029728.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,25.04,26.63,52.84,75.42,69.27,76.13,39.26,63.22,93.02,106.36
Cash from Investing Activity,-25.48,-11.77,-18.19,-30.88,-64.23,-78.08,-36.64,-57.34,-78.95,-98.4
Cash from Financing Activity,0.3,-11.41,-35.77,-37.76,-5.75,-2.56,-4.5,-5.18,-6.4,0.16
Net Cash Flow,-0.14,3.45,-1.11,6.77,-0.7,-4.5,-1.88,0.7,7.67,8.11
PRICE:,235.8,212.8,211.35,129.25,224.85,310.6,339.25,586.05,551.5,564.95
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
