COMPANY NAME,PITTI ENGINEERING LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,1093.0,,,,,,,,,
Market Capitalization,4115.54,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,525.06,518.17,953.83,1100.17,1244.16,1704.57,1912.81
Raw Material Cost,,,,337.45,346.93,694.26,781.43,763.97,1052.96,1203.24
Change in Inventory,,,,-7.16,11.66,16.11,-0.88,-7.06,36.44,43.56
Power and Fuel,,,,,6.2,7.93,10.56,39.09,39.05,44.47
Other Mfr. Exp,,,,,12.7,19.49,21.98,61.13,135.49,128.24
Employee Cost,,,,54.55,56.29,78.68,86.86,128.96,141.4,166.99
Selling and admin,,,,,27.93,39.61,57.02,69.03,113.43,97.67
Other Expenses,,,,48.17,0.13,-2.65,-9.94,-6.13,-12.45,0.01
Other Income,,,,3.67,18.89,16.43,17.83,48.49,38.78,39.9
Depreciation,,,,27.42,30.39,38.88,44.65,58.73,80.52,104.66
Interest,,,,34.12,29.61,39.61,44.65,51.42,67.79,83.41
Profit before tax,,,,19.86,38.54,70.56,79.91,119.39,161.6,167.58
Tax,,,,2.76,9.78,18.69,21.08,29.68,39.31,49.77
Net profit,,,,17.1,28.76,51.87,58.83,89.7,122.29,117.81
Dividend Amount,,,,,,6.49,8.66,4.81,5.65,9.42
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,335.9,391.45,429.36,414.98,468.78,456.56,477.73,477.42,501.09,529.09
Expenses,283.99,333.44,363.28,348.03,388.71,381.22,400.06,396.51,419.46,442.71
Other Income,31.53,3.36,25.89,6.02,3.52,7.4,21.32,6.88,4.51,0.85
Depreciation,15.6,16.85,20.1,21.1,22.47,25.65,25.75,26.62,26.65,28.38
Interest,14.1,16.94,18.69,13.21,18.94,20.55,19.37,21.48,22.01,22.63
Profit before tax,53.74,27.58,53.18,38.66,42.18,36.54,53.87,39.69,37.48,36.22
Tax,7.73,8.22,15.15,9.9,6.05,13.66,13.77,11.47,10.86,6.72
Net profit,46.0,19.36,38.02,28.76,36.14,22.88,40.09,28.22,26.61,29.5
Operating Profit,51.91,58.01,66.08,66.95,80.07,75.34,77.67,80.91,81.63,86.38
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,16.03,16.03,16.03,16.03,18.83,18.83
Reserves,,,,,219.76,267.89,318.01,456.89,879.82,968.07
Borrowings,,,,,317.58,392.77,356.43,627.74,689.84,810.58
Other Liabilities,,,,,147.85,279.88,287.49,290.38,415.56,340.3
Total,,,,,701.22,956.57,977.96,1391.04,2004.05,2137.78
Net Block,,,,,285.03,326.71,364.27,464.53,1026.99,1152.84
Capital Work in Progress,,,,,1.14,0.61,24.06,122.23,63.06,49.81
Investments,,,,,16.42,16.42,15.16,0.01,0.01,0.07
Other Assets,,,,,398.63,612.83,574.47,804.27,913.99,935.06
Total,,,,,701.22,956.57,977.96,1391.04,2004.05,2137.78
Receivables,,,,,171.77,204.26,181.45,214.19,254.55,206.25
Inventory,,,,,157.22,272.29,239.31,287.23,329.11,394.91
Cash & Bank,,,,,8.94,35.04,65.17,111.01,140.45,146.72
No. of Equity Shares,,,,,32058367.0,32058367.0,32058367.0,32058367.0,37661888.0,37661888.0
New Bonus Shares,,,,,,,,,,
Face value,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,31.71,87.91,222.16,80.02,288.54,204.91
Cash from Investing Activity,,,,,-66.45,-92.78,-103.53,-246.96,-536.22,-174.89
Cash from Financing Activity,,,,,28.4,12.23,-86.57,203.46,269.29,-9.22
Net Cash Flow,,,,,-6.34,7.36,32.06,36.52,21.61,20.8
PRICE:,,,,21.15,66.5,322.7,270.95,765.2,1047.05,688.3
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,3.21,3.21,3.21,3.21,3.21,3.77,3.77
