COMPANY NAME,RAMCO INDUSTRIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,323.25,,,,,,,,,
Market Capitalization,2807.15,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,712.06,798.64,897.75,826.31,1002.93,1183.91,1310.06,1298.52,1402.4,1443.5
Raw Material Cost,380.25,416.44,447.78,426.21,481.25,608.05,729.12,746.58,795.83,763.07
Change in Inventory,-10.73,-5.93,-7.12,21.86,-17.84,24.93,3.32,8.2,-5.71,-19.92
Power and Fuel,45.18,48.14,51.48,49.57,44.86,61.4,74.01,72.74,70.65,77.47
Other Mfr. Exp,44.76,49.36,59.53,62.84,61.49,78.52,78.59,77.22,202.35,217.65
Employee Cost,70.47,73.72,84.09,95.8,108.93,119.68,126.64,122.47,138.53,147.91
Selling and admin,79.83,104.18,134.52,126.29,120.36,157.64,169.77,165.58,60.83,62.26
Other Expenses,7.68,11.28,9.68,14.31,15.06,15.29,12.32,18.12,15.88,15.69
Other Income,54.99,54.17,34.14,58.46,44.39,29.84,31.61,34.55,52.8,57.98
Depreciation,21.48,23.1,24.61,25.77,27.62,29.31,31.48,34.51,33.22,34.16
Interest,33.54,21.63,15.06,14.6,9.49,8.53,19.11,24.5,16.78,17.51
Profit before tax,73.13,99.03,98.02,91.24,160.42,160.26,103.95,79.55,115.42,145.84
Tax,13.26,26.98,24.83,25.72,49.64,53.33,8.1,19.96,27.06,34.58
Net profit,59.87,72.05,73.19,65.51,110.78,106.93,95.84,59.6,88.36,111.26
Dividend Amount,4.34,4.34,4.34,4.34,8.67,8.67,8.68,6.51,0.09,0.11
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,311.13,492.59,280.94,272.17,345.28,463.57,272.67,308.28,397.21,531.38
Expenses,289.43,446.8,258.42,252.95,320.45,412.26,246.65,283.64,360.19,451.72
Other Income,1.77,1.19,35.64,12.72,3.52,1.06,34.24,12.32,10.9,10.98
Depreciation,8.81,8.17,8.28,8.44,8.33,8.46,8.56,8.62,8.52,8.79
Interest,6.16,3.8,3.12,4.49,5.38,4.53,3.94,4.6,4.44,2.7
Profit before tax,8.5,35.01,46.76,19.01,14.64,39.38,47.76,23.74,34.96,79.15
Tax,3.71,7.44,12.32,6.08,1.22,6.8,11.83,7.15,8.8,19.15
Net profit,4.79,27.57,34.44,12.93,13.42,32.58,35.93,16.59,26.16,60.0
Operating Profit,21.7,45.79,22.52,19.22,24.83,51.31,26.02,24.64,37.02,79.66
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,8.67,8.67,8.67,8.67,8.67,8.67,8.68,8.68,8.68,8.68
Reserves,581.06,655.51,726.51,776.04,892.44,998.38,1096.19,1167.62,1245.73,1336.21
Borrowings,336.13,212.54,187.42,237.68,152.47,223.88,307.95,243.7,258.04,171.47
Other Liabilities,186.13,196.74,203.49,239.25,282.6,292.91,242.76,221.11,247.59,238.03
Total,1111.99,1073.46,1126.09,1261.64,1336.18,1523.84,1655.58,1641.11,1760.04,1754.39
Net Block,396.41,394.65,414.69,438.72,447.46,498.11,536.66,537.9,531.83,529.95
Capital Work in Progress,2.5,4.6,0.91,18.78,34.08,17.35,11.29,5.2,4.37,13.72
Investments,240.82,246.88,259.62,280.58,337.4,396.81,399.75,440.86,537.53,525.17
Other Assets,472.26,427.33,450.87,523.56,517.24,611.57,707.88,657.15,686.31,685.55
Total,1111.99,1073.46,1126.09,1261.64,1336.18,1523.84,1655.58,1641.11,1760.04,1754.39
Receivables,73.18,87.04,93.25,78.18,88.93,110.34,60.82,68.23,99.0,88.59
Inventory,304.78,232.98,251.11,317.1,334.04,367.52,556.48,543.65,536.57,533.7
Cash & Bank,5.54,6.32,9.89,17.06,7.6,6.55,8.81,12.28,4.54,22.22
No. of Equity Shares,86663060.0,86663060.0,86663060.0,86663060.0,86663060.0,86663060.0,86809060.0,86809060.0,86800000.0,86800000.0
New Bonus Shares,,,,,,,,,,
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,-0.51,108.75,51.69,9.86,119.05,21.11,-37.01,86.81,48.18,94.22
Cash from Investing Activity,42.82,42.09,-4.28,-29.51,-25.03,-84.94,-16.41,15.84,-47.97,37.05
Cash from Financing Activity,-46.48,-150.05,-43.84,26.82,-103.48,62.78,55.69,-99.18,-8.05,-113.49
Net Cash Flow,-4.17,0.78,3.57,7.17,-9.46,-1.06,2.27,3.46,-7.84,17.78
PRICE:,239.2,229.95,213.05,114.2,256.65,210.8,124.05,201.0,226.66,233.8
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,8.67,8.67,8.67,8.67,8.67,8.67,8.68,8.68,8.68,8.68
