COMPANY NAME,VISAKA INDUSTRIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,93.37,,,,,,,,,
Market Capitalization,806.76,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,960.57,1012.33,1136.41,1050.38,1146.21,1415.78,1646.58,1520.51,1540.81,1675.59
Raw Material Cost,497.99,501.71,583.54,489.4,508.24,701.65,909.38,871.33,814.65,850.62
Change in Inventory,2.54,7.79,31.22,-23.82,-15.74,30.72,28.84,47.74,-28.11,-28.89
Power and Fuel,49.18,49.64,49.25,43.25,43.71,54.47,68.44,71.65,69.25,79.23
Other Mfr. Exp,63.82,63.43,90.58,90.14,77.92,112.42,145.19,136.65,137.83,153.4
Employee Cost,75.45,92.72,108.74,116.7,120.93,132.71,137.6,134.24,137.04,143.96
Selling and admin,113.46,119.65,155.36,139.41,153.12,201.57,224.49,212.66,204.3,215.23
Other Expenses,46.0,42.81,36.29,38.79,33.08,43.62,51.13,53.79,48.65,62.89
Other Income,5.69,4.57,11.78,6.62,8.59,9.89,7.79,10.85,8.06,66.81
Depreciation,34.08,34.84,35.35,40.97,39.99,37.62,50.19,57.96,63.48,64.97
Interest,19.6,18.26,19.95,17.41,12.81,11.56,22.33,36.33,44.24,32.96
Profit before tax,69.22,101.63,100.35,57.11,149.26,160.77,74.46,4.49,1.32,110.25
Tax,26.44,35.09,32.94,7.82,38.62,42.25,19.66,1.96,1.18,22.42
Net profit,42.78,66.56,67.41,49.3,110.64,118.53,54.79,2.53,0.14,87.83
Dividend Amount,9.55,11.14,11.14,23.88,24.78,25.98,17.32,4.33,4.33,10.39
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,391.21,456.4,307.35,350.96,426.1,505.18,323.99,366.99,479.43,588.85
Expenses,366.59,416.91,303.5,339.29,380.13,453.79,311.87,340.74,427.82,500.67
Other Income,3.87,1.81,1.86,1.85,2.53,38.44,1.47,2.25,24.65,2.01
Depreciation,16.51,16.05,15.79,15.77,15.86,15.91,16.14,16.3,16.63,16.65
Interest,9.4,10.99,11.2,11.25,10.79,8.92,8.09,8.42,7.53,5.83
Profit before tax,2.58,14.26,-21.28,-13.5,21.85,65.0,-10.64,3.78,52.1,67.71
Tax,0.77,3.78,-5.22,-3.19,5.81,12.63,-2.45,1.05,11.18,17.67
Net profit,1.81,10.49,-16.07,-10.31,16.04,52.37,-8.19,2.73,40.92,50.03
Operating Profit,24.62,39.49,3.85,11.67,45.97,51.39,12.12,26.25,51.61,88.18
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,15.92,15.92,15.92,15.92,16.52,17.32,17.32,17.32,17.32,17.32
Reserves,376.65,429.74,483.58,489.09,610.4,714.99,755.58,738.35,733.42,818.25
Borrowings,213.12,241.13,246.39,262.86,115.48,167.18,388.22,534.98,479.36,303.44
Other Liabilities,154.66,197.75,180.22,175.65,206.31,208.92,210.22,201.88,199.15,219.07
Total,760.35,884.54,926.11,943.52,948.71,1108.41,1371.34,1492.53,1429.25,1358.08
Net Block,326.84,321.57,418.65,406.01,396.17,460.52,614.89,738.0,711.3,676.89
Capital Work in Progress,11.7,69.03,1.16,8.78,5.09,48.66,36.43,28.44,9.65,4.85
Investments,,,,,0.02,2.42,11.74,14.31,14.31,14.31
Other Assets,421.81,493.94,506.3,528.73,547.43,596.81,708.28,711.78,693.99,662.03
Total,760.35,884.54,926.11,943.52,948.71,1108.41,1371.34,1492.53,1429.25,1358.08
Receivables,150.15,151.01,155.29,140.01,105.16,134.1,136.64,138.59,185.74,160.96
Inventory,196.02,241.8,272.44,303.93,249.27,293.01,380.57,425.32,364.83,351.66
Cash & Bank,38.3,22.92,20.2,19.26,116.54,27.17,31.39,38.88,19.57,27.55
No. of Equity Shares,15960360.0,15960360.0,15960360.0,15960360.0,16560360.0,17360360.0,17360360.0,86484168.0,86484168.0,86484168.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,152.72,87.99,70.91,74.03,294.01,55.46,30.1,4.91,119.11,182.64
Cash from Investing Activity,-61.92,-105.15,-48.54,-34.29,-53.73,-172.53,-214.11,-90.64,-38.68,36.21
Cash from Financing Activity,-127.81,1.16,-25.66,-40.09,-145.76,30.32,187.73,92.62,-99.55,-210.21
Net Cash Flow,-37.02,-16.0,-3.3,-0.35,94.52,-86.75,3.72,6.89,-19.12,8.64
PRICE:,54.16,129.37,81.75,26.95,94.63,117.37,68.38,106.4,57.09,51.5
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,7.94,7.94,7.94,7.94,8.24,8.64,8.64,8.64,8.64,8.64
