COMPANY NAME,AMBER ENTERPRISES INDIA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,7804.5,,,,,,,,,
Market Capitalization,27524.73,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1651.86,2117.58,2751.99,3962.79,3030.52,4206.4,6927.1,6729.27,9973.02,12186.48
Raw Material Cost,1398.49,1729.88,2330.11,3325.23,2525.56,3524.88,5925.01,5471.56,8315.21,10020.14
Change in Inventory,27.51,-16.78,17.17,22.99,15.5,-4.78,57.25,-28.37,129.66,72.34
Power and Fuel,20.42,21.64,27.57,33.43,25.06,35.8,57.13,66.94,99.99,
Other Mfr. Exp,39.19,75.2,84.76,114.94,95.86,117.22,197.63,247.14,366.89,
Employee Cost,43.66,46.97,59.05,106.89,102.33,150.6,212.65,259.44,325.96,459.28
Selling and admin,42.17,33.79,42.01,62.93,53.72,66.77,102.92,111.09,144.53,
Other Expenses,4.57,9.44,11.75,29.75,17.23,27.95,67.35,53.77,113.91,917.13
Other Income,8.81,8.72,9.31,5.62,28.04,30.22,48.93,53.88,70.81,81.09
Depreciation,40.11,49.02,62.31,84.77,92.3,107.91,139.12,186.53,228.31,322.56
Interest,63.86,54.17,24.98,42.71,41.87,46.44,111.82,166.98,208.73,284.39
Profit before tax,35.71,89.41,135.93,190.75,120.13,154.27,219.65,191.33,369.96,336.41
Tax,13.56,27.09,41.15,26.6,36.86,42.95,55.88,51.86,118.81,109.96
Net profit,22.14,62.31,93.66,158.4,81.59,109.19,157.2,132.88,243.56,177.65
Dividend Amount,5.01,,,10.06,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,1294.76,2805.46,2401.29,1684.7,2133.33,3753.7,3449.13,1647.01,2942.82,4147.52
Expenses,1216.26,2585.91,2210.71,1573.64,1983.6,3471.64,3199.32,1563.24,2705.35,3856.29
Other Income,5.21,18.04,20.68,17.82,15.98,19.09,29.67,15.63,-48.34,84.12
Depreciation,46.56,51.46,54.94,56.63,58.77,57.98,61.79,70.24,91.23,99.3
Interest,36.85,48.3,51.84,48.64,53.66,54.59,63.36,76.93,79.35,64.75
Profit before tax,0.3,137.83,104.48,23.61,53.28,188.58,154.33,-47.77,18.55,211.3
Tax,0.81,38.8,29.77,2.64,16.24,70.16,48.35,-15.63,27.89,49.35
Net profit,-0.48,94.67,72.37,19.2,35.87,116.07,103.87,-32.86,-27.24,133.88
Operating Profit,78.5,219.55,190.58,111.06,149.73,282.06,249.81,83.77,237.47,291.23
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,23.81,31.45,31.45,31.45,33.69,33.69,33.69,33.69,33.82,35.19
Reserves,338.85,861.31,954.7,1096.96,1570.45,1700.52,1875.08,2030.66,2251.97,4336.93
Borrowings,394.62,113.97,251.34,382.85,398.72,1068.57,1455.11,1538.95,2058.81,2701.59
Other Liabilities,493.23,721.28,1133.25,1387.64,1581.66,2106.84,2876.39,2986.89,4081.9,6693.17
Total,1250.51,1728.01,2370.74,2898.9,3584.52,4909.62,6240.27,6590.19,8426.5,13766.88
Net Block,556.77,710.02,809.45,1105.82,1144.03,1505.13,2221.54,2825.22,3039.84,5878.8
Capital Work in Progress,21.34,29.75,33.68,11.78,43.26,128.25,50.31,90.79,197.7,500.31
Investments,,5.71,,,108.07,225.41,193.44,217.3,235.73,37.84
Other Assets,672.4,982.53,1527.61,1781.3,2289.16,3050.83,3774.98,3456.88,4953.23,7349.93
Total,1250.51,1728.01,2370.74,2898.9,3584.52,4909.62,6240.27,6590.19,8426.5,13766.88
Receivables,310.09,378.57,787.16,854.2,1068.99,1314.91,1763.09,1569.26,1750.09,2246.27
Inventory,268.5,395.65,560.62,655.7,716.29,840.85,1091.28,840.84,1655.07,2452.02
Cash & Bank,35.24,133.81,44.67,120.27,289.93,562.59,559.45,691.29,726.77,465.55
No. of Equity Shares,23809825.0,31446540.0,31446540.0,31446540.0,33693731.0,33693731.0,33693731.0,33693731.0,33823506.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,141.73,127.03,-63.06,288.21,220.96,240.73,320.55,964.84,710.89,240.16
Cash from Investing Activity,-84.47,-151.99,-110.67,-320.45,-481.0,-677.6,-488.76,-1034.51,-952.91,-3074.01
Cash from Financing Activity,-46.48,127.78,93.17,63.4,369.99,555.49,192.81,-121.64,322.94,2682.61
Net Cash Flow,10.77,102.82,-80.56,31.16,109.95,118.62,24.6,-191.31,80.93,-151.24
PRICE:,,1069.4,816.6,1230.45,3315.85,3523.25,1824.6,3657.7,7210.85,6549.0
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.38,3.14,3.14,3.14,3.37,3.37,3.37,3.37,3.38,3.52
