COMPANY NAME,EPACK DURABLE LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,241.53,,,,,,,,,
Market Capitalization,2324.21,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,736.25,924.16,1538.83,1419.56,2170.87,1894.46
Raw Material Cost,,,,,654.96,798.45,1328.43,1247.74,1843.88,1612.21
Change in Inventory,,,,,5.87,4.11,4.35,57.81,26.15,4.71
Power and Fuel,,,,,3.5,5.2,10.21,11.03,17.61,
Other Mfr. Exp,,,,,14.86,21.79,40.93,33.42,80.41,
Employee Cost,,,,,16.99,23.26,33.38,48.2,69.25,70.1
Selling and admin,,,,,2.64,4.99,15.18,11.68,13.55,
Other Expenses,,,,,7.13,5.54,13.34,10.62,17.61,109.39
Other Income,,,,,3.41,2.94,-0.13,8.95,21.01,16.26
Depreciation,,,,,8.99,16.3,26.08,35.48,47.39,53.98
Interest,,,,,25.58,29.38,31.46,38.95,53.93,60.93
Profit before tax,,,,,10.88,26.3,44.04,49.2,74.4,8.82
Tax,,,,,3.07,8.86,12.07,13.83,19.26,5.56
Net profit,,,,,7.8,17.43,31.97,35.37,55.14,3.26
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,279.06,525.7,773.68,377.1,376.84,643.25,662.39,213.26,427.75,591.05
Expenses,255.67,470.81,722.17,368.19,353.66,572.36,608.04,214.36,398.39,567.38
Other Income,1.88,5.55,6.13,4.74,4.87,5.5,5.68,6.16,2.77,2.85
Depreciation,8.86,10.55,11.32,11.6,12.11,12.36,12.72,13.51,13.61,14.15
Interest,9.74,11.32,14.01,13.75,12.44,13.73,15.85,20.23,13.48,11.37
Profit before tax,6.67,38.57,32.31,-11.7,3.5,50.3,31.46,-28.68,5.04,1.0
Tax,1.78,10.74,8.9,-3.2,0.98,12.58,8.56,-6.43,2.45,0.97
Net profit,4.89,27.83,23.41,-8.49,2.51,37.72,22.89,-22.25,2.59,0.02
Operating Profit,23.39,54.89,51.51,8.91,23.18,70.89,54.35,-1.1,29.36,23.67
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,48.17,52.09,52.09,95.8,95.97,96.23
Reserves,,,,,20.74,69.78,261.53,796.4,855.88,864.1
Borrowings,,,,,262.27,415.42,524.88,386.09,416.18,738.97
Other Liabilities,,,,,189.18,539.38,625.65,489.48,644.78,806.33
Total,,,,,520.36,1076.67,1464.15,1767.77,2012.81,2505.63
Net Block,,,,,115.93,326.79,419.26,678.12,690.89,909.11
Capital Work in Progress,,,,,,8.49,91.52,26.63,58.22,88.63
Investments,,,,,,3.06,4.82,8.55,19.89,12.21
Other Assets,,,,,404.43,738.33,948.55,1054.47,1243.81,1495.68
Total,,,,,520.36,1076.67,1464.15,1767.77,2012.81,2505.63
Receivables,,,,,234.18,356.2,479.09,212.41,298.04,352.21
Inventory,,,,,140.47,277.3,293.67,378.16,580.72,836.59
Cash & Bank,,,,,11.54,58.97,75.46,107.06,44.24,15.78
No. of Equity Shares,,,,,48172261.0,52089012.0,52089012.0,95798691.0,95967729.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,47.42,-28.94,18.83,256.98,31.26,-139.56
Cash from Investing Activity,,,,,-6.69,-204.11,-217.5,-376.64,-94.57,-112.77
Cash from Financing Activity,,,,,-42.54,253.55,234.55,166.57,-29.37,253.87
Net Cash Flow,,,,,-1.81,20.5,35.87,46.91,-92.69,1.54
PRICE:,,,,,,,,151.35,368.75,197.9
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,4.82,5.21,5.21,9.58,9.6,9.62
