COMPANY NAME,VIRTUOSO OPTOELECTRONICS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,509.1,,,,,,,,,
Market Capitalization,1620.62,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,,,531.06,697.32,823.6
Raw Material Cost,,,,,,,,440.16,579.04,690.65
Change in Inventory,,,,,,,,3.83,3.53,-2.45
Power and Fuel,,,,,,,,3.88,5.4,
Other Mfr. Exp,,,,,,,,17.47,24.14,
Employee Cost,,,,,,,,12.95,20.55,29.85
Selling and admin,,,,,,,,8.76,16.13,
Other Expenses,,,,,,,,0.12,-0.17,17.15
Other Income,,,,,,,,1.22,5.04,2.39
Depreciation,,,,,,,,18.3,10.27,27.91
Interest,,,,,,,,20.11,25.38,33.47
Profit before tax,,,,,,,,14.36,25.15,24.51
Tax,,,,,,,,4.2,11.06,9.49
Net profit,,,,,,,,10.17,14.09,15.03
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,240.01,203.19,97.84,205.77,316.81
Expenses,,,,,,221.09,183.12,87.74,181.5,287.76
Other Income,,,,,,0.89,0.78,0.75,0.24,0.62
Depreciation,,,,,,3.47,4.26,4.83,5.52,13.29
Interest,,,,,,8.49,7.67,7.86,7.15,10.78
Profit before tax,,,,,,7.85,8.92,-1.84,11.84,5.6
Tax,,,,,,5.43,2.49,2.04,3.8,1.15
Net profit,,,,,,2.41,6.43,-3.88,8.03,4.45
Operating Profit,,,,,,18.92,20.07,10.1,24.27,29.05
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,,,26.34,29.49,31.83
Reserves,,,,,,,,183.24,252.32,380.39
Borrowings,,,,,,,,134.97,171.5,344.56
Other Liabilities,,,,,,,,111.25,158.71,212.38
Total,,,,,,,,455.8,612.02,969.16
Net Block,,,,,,,,130.55,208.55,452.0
Capital Work in Progress,,,,,,,,6.89,48.07,38.21
Investments,,,,,,,,100.22,41.77,102.13
Other Assets,,,,,,,,218.14,313.63,376.82
Total,,,,,,,,455.8,612.02,969.16
Receivables,,,,,,,,21.31,30.58,72.22
Inventory,,,,,,,,164.76,213.08,227.39
Cash & Bank,,,,,,,,0.09,2.36,1.01
No. of Equity Shares,,,,,,,,26338756.0,29488800.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,,,13.75,30.6,3.33
Cash from Investing Activity,,,,,,,,-150.08,-99.75,-185.58
Cash from Financing Activity,,,,,,,,136.07,71.42,180.9
Net Cash Flow,,,,,,,,-0.27,2.27,-1.35
PRICE:,,,,,,,,211.3,557.5,241.7
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,2.63,2.95,3.18
