COMPANY NAME,PG ELECTROPLAST LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,562.3,,,,,,,,,
Market Capitalization,16124.35,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,424.07,221.83,302.64,703.21,1097.72,2159.95,2746.5,4869.53,5288.02
Raw Material Cost,,370.16,193.61,265.24,553.33,913.12,1792.77,2278.99,4108.16,4453.55
Change in Inventory,,0.46,1.21,2.33,-3.19,29.08,28.26,72.72,215.91,98.26
Power and Fuel,,4.08,5.23,,16.13,20.62,28.68,31.92,49.94,
Other Mfr. Exp,,10.44,5.73,,11.45,15.51,33.7,45.06,110.5,
Employee Cost,,8.77,11.64,15.87,55.08,77.94,122.94,166.37,272.99,297.16
Selling and admin,,2.88,3.53,,11.1,17.78,24.69,32.19,63.6,
Other Expenses,,0.3,0.7,18.88,3.1,7.32,8.88,2.21,-3.89,248.6
Other Income,,2.97,3.97,6.58,1.74,19.14,3.87,12.33,35.02,54.79
Depreciation,,2.07,4.51,9.23,18.01,22.11,34.95,46.61,65.61,88.17
Interest,,5.66,10.64,11.12,18.44,22.5,47.93,51.73,88.85,101.65
Profit before tax,,23.14,-8.58,-8.79,15.12,49.04,97.54,176.47,364.7,251.94
Tax,,5.28,0.04,-3.8,3.5,11.63,20.07,39.45,73.77,58.33
Net profit,,17.86,-8.62,-5.0,11.61,37.42,77.44,134.9,287.8,196.57
Dividend Amount,,,,,,,,5.21,7.08,7.13
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,1076.57,1320.68,671.3,967.69,1909.86,1503.85,655.37,1412.13,1716.68,2033.96
Expenses,960.12,1190.05,614.9,882.53,1698.0,1382.61,625.28,1295.24,1597.93,1885.76
Other Income,3.39,3.91,4.14,7.2,19.86,18.18,14.59,9.23,12.79,8.03
Depreciation,13.57,15.07,15.45,16.39,18.7,20.83,21.65,21.98,23.72,26.52
Interest,15.75,18.33,15.03,22.4,33.09,33.9,16.71,25.02,26.01,35.29
Profit before tax,90.52,101.14,30.06,53.57,179.93,84.69,6.32,79.12,81.81,94.42
Tax,18.94,16.2,10.59,13.43,33.54,17.98,3.95,18.81,17.62,19.12
Net profit,69.55,83.7,19.33,39.54,145.23,66.98,2.76,61.96,64.86,76.22
Operating Profit,116.45,130.63,56.4,85.16,211.86,121.24,30.09,116.89,118.75,148.2
BALANCE SHEET,,,,,,,,,,
Report Date,,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,10.67,16.41,16.41,19.69,21.22,22.74,26.03,28.31,28.53
Reserves,,34.75,131.02,126.09,172.77,291.08,373.19,1012.06,2799.9,3020.05
Borrowings,,68.21,77.65,80.1,184.83,398.62,576.99,434.76,384.16,596.53
Other Liabilities,,46.17,62.5,65.43,202.77,358.46,536.17,836.85,1910.35,2301.57
Total,,159.8,287.58,288.03,580.06,1069.38,1509.09,2309.7,5122.72,5946.68
Net Block,,61.98,121.88,122.55,273.13,440.96,577.79,782.55,1136.39,1540.02
Capital Work in Progress,,17.47,20.91,22.14,6.01,4.89,1.98,65.41,75.79,312.44
Investments,,0.35,29.5,26.16,0.15,0.69,2.18,5.53,8.29,11.15
Other Assets,,80.0,115.29,117.18,300.77,622.84,927.14,1456.21,3902.25,4083.07
Total,,159.8,287.58,288.03,580.06,1069.38,1509.09,2309.7,5122.72,5946.68
Receivables,,32.91,17.73,35.36,147.26,213.33,437.87,553.03,980.39,1183.96
Inventory,,16.66,23.88,27.86,93.29,286.89,354.31,545.11,1318.09,1601.31
Cash & Bank,,6.03,11.86,4.57,17.41,39.18,39.63,182.42,979.66,389.37
No. of Equity Shares,,10469332.0,16414332.0,16414332.0,19693916.0,21224866.0,22742617.0,26026245.0,283093658.0,
New Bonus Shares,,,,,,,,,,
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,23.13,-23.31,,57.3,-79.43,45.74,188.46,-76.59,66.22
Cash from Investing Activity,,-50.21,-96.55,,-43.74,-161.0,-172.97,-401.33,-1201.38,-197.65
Cash from Financing Activity,,22.24,125.83,,-17.43,256.86,112.05,234.38,1329.01,81.78
Net Cash Flow,,-4.84,5.97,,-3.87,16.43,-15.18,21.51,51.04,-49.66
PRICE:,,,20.79,8.22,40.7,73.11,133.24,166.2,916.6,469.9
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,16.41,16.41,19.69,21.22,22.74,26.03,28.31,28.53
