COMPANY NAME,CAMLIN FINE SCIENCES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,103.13,,,,,,,,,
Market Capitalization,1981.09,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,533.93,720.6,892.17,1049.15,1187.1,1412.09,1681.56,1453.91,1628.69,1723.31
Raw Material Cost,294.26,424.79,495.45,553.17,566.17,772.9,916.28,717.11,918.99,911.87
Change in Inventory,33.75,2.35,20.65,19.39,-17.32,13.41,103.05,-52.75,95.47,-10.57
Power and Fuel,46.35,61.43,80.42,76.38,84.16,123.01,204.6,93.94,101.73,103.76
Other Mfr. Exp,31.04,34.7,49.84,54.87,60.09,125.05,157.69,160.42,167.38,179.86
Employee Cost,61.66,73.76,88.54,100.23,121.09,145.71,163.68,153.74,186.74,245.16
Selling and admin,71.19,75.45,82.13,95.62,91.47,82.28,95.52,80.94,104.31,137.23
Other Expenses,31.31,36.76,43.59,53.07,59.91,18.61,35.83,25.51,17.83,16.76
Other Income,14.5,11.67,13.79,3.43,4.98,32.8,-3.94,-142.43,-218.17,58.8
Depreciation,21.8,26.65,28.99,32.8,44.29,55.96,62.51,56.35,60.96,70.92
Interest,30.58,31.8,40.95,47.63,42.48,40.8,64.18,69.96,106.68,82.89
Profit before tax,-6.01,-30.72,16.7,58.2,105.1,93.98,80.38,-99.24,-158.63,23.09
Tax,-1.58,-6.76,13.69,28.37,39.74,33.6,40.57,5.63,-0.51,-0.46
Net profit,-11.17,-29.64,0.58,30.32,50.96,60.68,52.11,-92.75,-139.05,27.63
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,376.65,380.85,417.32,431.02,431.58,407.72,459.83,440.51,424.81,519.88
Expenses,345.17,351.95,365.82,375.12,369.52,387.42,426.77,419.68,403.63,510.6
Other Income,-95.5,-14.56,-150.98,-7.68,-22.18,-0.01,-4.36,-24.45,102.66,-10.2
Depreciation,13.37,14.55,16.51,14.48,17.14,16.13,18.83,16.32,20.82,19.16
Interest,16.12,23.27,26.32,34.07,14.93,14.86,18.91,17.26,22.98,14.01
Profit before tax,-93.51,-23.48,-142.31,-0.33,7.81,-10.7,-9.04,-37.2,80.04,-34.09
Tax,-11.72,11.17,-26.2,7.14,7.69,-0.02,5.91,-0.09,-6.24,-0.46
Net profit,-77.14,-33.95,-100.23,-4.14,-0.72,-9.96,-14.38,-36.23,88.2,-31.71
Operating Profit,31.48,28.9,51.5,55.9,62.06,20.3,33.06,20.83,21.18,9.28
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,10.37,12.12,12.13,12.13,12.75,15.7,15.71,16.75,18.79,19.21
Reserves,202.21,359.04,358.76,391.01,630.66,732.24,803.67,848.0,882.88,1021.67
Borrowings,330.86,372.81,460.89,538.51,549.99,646.27,800.54,683.03,651.8,720.1
Other Liabilities,125.94,272.53,254.9,290.33,281.9,395.57,425.08,424.43,467.01,559.01
Total,669.38,1016.5,1086.68,1231.98,1475.3,1789.78,2045.0,1972.21,2020.48,2319.99
Net Block,200.88,278.1,272.44,305.79,583.53,601.21,857.62,816.35,703.76,887.37
Capital Work in Progress,7.62,13.62,59.0,178.78,23.82,215.03,43.02,45.87,9.73,32.85
Investments,18.86,115.41,10.53,7.36,7.36,7.23,7.96,7.88,60.98,30.26
Other Assets,442.02,609.37,744.71,740.05,860.59,966.31,1136.4,1102.11,1246.01,1369.51
Total,669.38,1016.5,1086.68,1231.98,1475.3,1789.78,2045.0,1972.21,2020.48,2319.99
Receivables,144.89,205.35,209.32,252.8,270.71,299.68,304.59,285.15,328.22,373.02
Inventory,197.8,239.02,285.41,298.15,320.0,370.86,568.14,540.02,526.86,503.74
Cash & Bank,31.24,48.08,103.44,64.79,138.34,142.14,99.23,93.53,153.8,153.22
No. of Equity Shares,103709570.0,121229371.0,121253996.0,121253996.0,127498471.0,156984246.0,157093496.0,167465207.0,187921000.0,192092000.0
New Bonus Shares,,,,,,,,,,
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,-8.69,-15.41,-9.0,86.02,117.38,145.45,50.9,138.98,23.0,82.07
Cash from Investing Activity,-69.6,-148.59,-1.94,-90.12,-132.86,-249.13,-124.63,-66.5,-75.35,-52.95
Cash from Financing Activity,90.92,181.82,25.67,3.25,38.63,135.97,59.66,-85.97,76.17,-24.63
Net Cash Flow,12.62,17.82,14.74,-0.85,23.15,32.29,-14.07,-13.49,23.82,4.48
PRICE:,87.45,98.93,48.61,38.11,137.23,136.25,124.53,87.2,167.75,96.93
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,11.64,13.6,13.6,13.6,14.3,17.61,17.63,18.79,18.79,19.21
