COMPANY NAME,FINE ORGANIC INDUSTRIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,5152.0,,,,,,,,,
Market Capitalization,15796.02,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,778.33,855.81,1060.33,1038.08,1133.22,1876.26,3023.08,2122.95,2269.15,2365.8
Raw Material Cost,503.89,551.86,653.09,640.91,720.23,1230.37,2007.45,1083.29,1385.23,1446.51
Change in Inventory,6.2,-5.96,-2.06,31.6,-5.78,42.48,223.3,-133.75,56.67,29.94
Power and Fuel,28.55,32.57,43.01,49.88,52.76,77.91,98.34,89.69,103.79,100.52
Other Mfr. Exp,7.7,9.64,11.17,11.2,10.06,13.46,15.82,20.0,20.75,25.52
Employee Cost,64.44,51.69,62.91,72.56,79.82,89.5,105.64,119.9,135.48,164.27
Selling and admin,33.09,43.07,51.65,50.35,60.93,137.2,180.99,132.22,156.54,161.81
Other Expenses,1.96,2.61,2.85,9.37,5.69,6.82,8.83,12.27,11.98,17.3
Other Income,4.0,15.97,19.83,20.19,17.1,32.89,64.15,71.32,97.6,123.66
Depreciation,23.71,20.04,17.45,34.66,46.77,39.9,47.89,56.6,52.3,56.41
Interest,4.39,3.15,1.84,4.82,6.13,4.94,4.57,2.43,2.2,4.12
Profit before tax,120.8,151.19,234.13,216.12,162.15,351.53,841.0,544.12,555.15,542.94
Tax,42.93,55.86,94.53,51.32,41.81,91.82,222.9,132.23,144.66,125.87
Net profit,77.87,95.33,136.21,164.78,120.32,259.61,618.1,411.89,410.5,417.07
Dividend Amount,7.24,21.46,21.46,21.46,33.73,27.59,27.59,30.66,33.73,33.73
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,546.88,549.69,595.83,516.84,606.79,588.38,597.29,554.8,625.32,694.17
Expenses,403.38,410.34,445.57,414.11,487.23,465.53,463.17,460.92,496.39,520.15
Other Income,22.27,24.5,21.89,25.44,25.92,46.8,21.13,21.13,34.6,24.25
Depreciation,15.41,11.8,12.51,13.14,14.84,11.79,12.81,13.77,18.04,13.82
Interest,0.53,0.63,0.42,0.42,0.72,0.52,0.43,0.46,2.71,0.9
Profit before tax,149.83,151.42,159.22,114.61,129.92,157.34,142.01,100.78,142.78,183.55
Tax,35.28,38.16,41.77,31.93,32.8,40.25,33.46,26.85,25.3,45.41
Net profit,114.55,113.25,117.44,82.69,97.12,117.09,108.55,73.93,117.48,138.14
Operating Profit,143.5,139.35,150.26,102.73,119.56,122.85,134.12,93.88,128.93,174.02
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,4.83,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33,15.33
Reserves,323.49,380.25,484.91,603.56,716.06,943.87,1525.92,1905.72,2279.9,2649.19
Borrowings,40.26,53.61,128.27,124.72,89.17,58.53,28.52,4.23,2.8,68.2
Other Liabilities,76.13,80.62,73.88,108.45,127.06,218.63,236.83,182.49,205.75,266.09
Total,444.71,529.81,702.39,852.06,947.62,1236.36,1806.6,2107.77,2503.78,2998.81
Net Block,96.98,88.33,78.17,216.77,195.85,229.31,214.03,268.26,363.42,388.4
Capital Work in Progress,2.8,31.68,106.29,5.84,26.3,14.12,40.44,29.73,27.17,64.12
Investments,11.0,10.61,9.97,32.8,31.1,30.61,38.8,36.16,35.27,38.3
Other Assets,333.93,399.19,507.96,596.65,694.37,962.32,1513.33,1773.62,2077.92,2507.99
Total,444.71,529.81,702.39,852.06,947.62,1236.36,1806.6,2107.77,2503.78,2998.81
Receivables,110.41,146.49,155.62,132.33,161.63,301.37,350.65,311.31,333.48,351.13
Inventory,92.18,89.14,89.26,131.67,126.18,235.59,444.98,260.89,362.92,402.49
Cash & Bank,17.92,12.37,109.21,210.42,263.74,232.56,522.98,1048.51,949.95,1448.83
No. of Equity Shares,4829996.0,30659976.0,30659976.0,30659976.0,30659976.0,30659976.0,30659976.0,30659976.0,30659976.0,30659976.0
New Bonus Shares,,20439984.0,,,,,,,,
Face value,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,45.09,65.11,98.43,219.01,134.26,66.56,485.31,634.51,204.0,429.6
Cash from Investing Activity,-15.96,-51.51,-93.39,-84.74,-40.26,-31.68,-127.5,-395.75,-675.23,-430.21
Cash from Financing Activity,-55.31,-16.9,92.41,-36.73,-40.69,-68.19,-68.65,-58.53,-34.67,-0.22
Net Cash Flow,-26.19,-3.3,97.45,97.54,53.31,-33.31,289.16,180.23,-505.9,-0.83
PRICE:,,,1239.4,1906.05,2283.85,4005.65,4306.9,4034.85,4007.0,3957.1
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.48,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07,3.07
