COMPANY NAME,YASHO INDUSTRIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,4134.1,,,,,,,,,
Market Capitalization,4984.52,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,359.44,612.66,671.55,593.57,675.64,830.03
Raw Material Cost,,,,,222.18,409.13,472.57,344.06,460.43,496.93
Change in Inventory,,,,,-11.48,19.91,57.35,-36.05,70.37,-4.6
Power and Fuel,,,,,19.49,27.61,33.13,26.23,42.44,36.1
Other Mfr. Exp,,,,,12.65,20.57,15.16,21.76,29.65,33.01
Employee Cost,,,,,23.26,32.52,38.58,43.16,64.48,73.53
Selling and admin,,,,,18.37,44.22,46.65,15.97,22.18,28.63
Other Expenses,,,,,3.0,5.56,7.83,6.54,9.3,14.07
Other Income,,,,,10.08,10.33,11.04,7.41,1.87,1.29
Depreciation,,,,,11.99,18.68,19.84,15.62,50.06,54.77
Interest,,,,,16.4,13.78,15.58,14.87,60.32,55.72
Profit before tax,,,,,30.7,70.83,90.6,76.72,9.02,33.96
Tax,,,,,9.21,18.55,22.73,18.78,2.91,8.71
Net profit,,,,,21.48,52.29,67.87,57.94,6.11,25.26
Dividend Amount,,,,,0.54,0.57,0.57,0.57,0.6,0.6
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,172.03,174.46,167.07,149.3,184.81,198.64,183.3,201.83,246.26,307.74
Expenses,140.88,151.12,135.72,121.94,149.31,165.15,150.18,168.36,202.0,234.64
Other Income,0.3,0.49,0.41,0.32,0.64,0.38,0.3,0.15,0.46,1.31
Depreciation,3.97,11.72,12.35,13.01,12.98,13.18,13.31,14.34,13.95,14.16
Interest,4.47,14.15,14.51,16.54,15.13,14.94,14.11,13.62,14.23,11.28
Profit before tax,23.01,-2.04,4.9,-1.87,8.03,5.75,6.0,5.66,16.54,48.97
Tax,5.07,0.42,0.54,-1.05,3.0,2.1,1.15,1.17,4.29,12.92
Net profit,17.94,-2.46,4.36,-0.82,5.03,3.64,4.86,4.5,12.26,36.05
Operating Profit,31.15,23.34,31.35,27.36,35.5,33.49,33.12,33.47,44.26,73.1
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,10.9,11.4,11.4,11.4,12.06,12.06
Reserves,,,,,68.03,161.65,226.56,283.31,407.64,431.86
Borrowings,,,,,161.66,178.78,323.78,579.05,582.56,557.93
Other Liabilities,,,,,64.58,131.06,88.3,118.92,91.9,153.21
Total,,,,,305.17,482.89,650.04,992.68,1094.16,1155.06
Net Block,,,,,119.95,160.57,176.66,202.73,623.77,634.18
Capital Work in Progress,,,,,,0.53,124.42,461.19,1.45,10.04
Investments,,,,,0.14,0.14,,,,
Other Assets,,,,,185.08,321.65,348.96,328.76,468.94,510.84
Total,,,,,305.17,482.89,650.04,992.68,1094.16,1155.06
Receivables,,,,,71.51,130.68,102.87,119.98,133.99,181.17
Inventory,,,,,80.17,134.63,167.61,135.07,264.05,256.06
Cash & Bank,,,,,14.75,14.76,13.74,11.89,28.43,18.02
No. of Equity Shares,,,,,10899200.0,11399200.0,11399200.0,11399200.0,12057095.0,12057095.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,34.63,16.16,12.52,90.19,-40.85,151.29
Cash from Investing Activity,,,,,-13.56,-59.2,-134.05,-304.46,-11.1,-72.82
Cash from Financing Activity,,,,,-20.94,42.61,121.83,213.85,58.1,-81.2
Net Cash Flow,,,,,0.13,-0.43,0.3,-0.42,6.15,-2.73
PRICE:,,,,,341.75,1921.75,1500.5,1619.05,1719.55,1259.4
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,1.09,1.14,1.14,1.14,1.21,1.21
