COMPANY NAME,CAPILLARY TECHNOLOGIES INDIA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,535.3,,,,,,,,,
Market Capitalization,4269.79,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,170.91,223.07,322.68,525.1,598.26,734.6
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,,,,39.38,48.29,,,
Employee Cost,,,,,91.34,147.74,233.55,271.94,295.52,353.86
Selling and admin,,,,,28.86,79.61,98.52,2.49,2.04,107.66
Other Expenses,,,,,63.31,7.38,6.5,262.5,235.74,180.23
Other Income,,,,,10.11,-14.64,22.26,21.7,12.74,38.69
Depreciation,,,,,17.79,28.72,39.57,56.06,60.1,74.97
Interest,,,,,2.24,8.72,11.24,17.71,7.79,5.46
Profit before tax,,,,,-22.52,-103.12,-92.73,-63.9,9.81,51.11
Tax,,,,,0.31,-2.27,-5.01,-6.91,-3.47,-1.28
Net profit,,,,,-22.83,-100.84,-87.72,-56.99,13.28,52.39
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,159.0,152.08,179.33,184.04,191.35
Expenses,,,,,,136.04,124.55,160.68,159.06,159.95
Other Income,,,,,,0.34,-0.66,2.18,3.68,31.67
Depreciation,,,,,,12.84,16.5,19.1,19.08,19.52
Interest,,,,,,1.67,1.6,1.77,1.46,1.07
Profit before tax,,,,,,8.79,8.77,-0.04,8.12,42.48
Tax,,,,,,-1.47,-1.07,-0.32,0.12,-0.89
Net profit,,,,,,10.26,9.84,0.29,7.99,43.36
Operating Profit,,,,,,22.96,27.53,18.65,24.98,31.4
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,2.33,10.0,10.58,14.65,14.67,15.88
Reserves,,,,,10.27,106.14,155.86,524.31,553.58,1007.61
Borrowings,,,,,19.94,82.64,149.48,77.17,100.09,53.6
Other Liabilities,,,,,107.86,148.7,129.69,254.25,169.75,223.15
Total,,,,,140.4,347.48,445.61,870.38,838.09,1300.24
Net Block,,,,,27.43,215.49,202.94,298.15,294.96,460.18
Capital Work in Progress,,,,,0.35,0.36,5.5,3.11,,
Investments,,,,,,,,69.93,,136.45
Other Assets,,,,,112.62,131.63,237.17,499.19,543.13,703.61
Total,,,,,140.4,347.48,445.61,870.38,838.09,1300.24
Receivables,,,,,54.83,56.94,80.11,145.65,161.12,180.84
Inventory,,,,,,,,,,
Cash & Bank,,,,,38.58,29.19,46.2,180.67,214.07,359.05
No. of Equity Shares,,,,,2333379.0,50015000.0,52895000.0,73234353.0,73329138.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,1.18,7.16,-20.05,97.14,-46.2,149.91
Cash from Investing Activity,,,,,-14.35,-112.77,-99.51,-180.43,66.34,-613.95
Cash from Financing Activity,,,,,28.07,96.23,136.57,217.76,13.26,270.5
Net Cash Flow,,,,,14.91,-9.38,17.01,134.47,33.4,-193.54
PRICE:,,,,,,,,,,479.45
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.23,5.0,5.29,7.32,7.33,7.94
